ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,63.9501,46.6405,3.32025,1547581058619
1,63.9501,46.6405,3.32025,1547581059654
2,163.514,13.9345,13.0327,1547581060681
3,153.572,329.062,-1,1547581061683
4,322.101,95.0224,66.8131,1547581062677
5,180.795,127.345,72.0463,1547581063676
6,180.795,127.345,72.0463,1547581064672
7,172.555,123.777,71.4687,1547581065677
8,167.303,146.538,75.1538,1547581066674
9,192.729,103.471,68.181,1547581067683
10,192.729,103.471,68.181,1547581068686
11,162.284,117.986,70.531,1547581069667
12,144.346,102.279,67.988,1547581070663
13,165.635,116.597,70.3061,1547581071674
14,159.853,130.011,72.478,1547581072674
15,141.972,139.602,74.0308,1547581073677
16,164.704,143.852,74.719,1547581074682
17,195.582,130.777,72.6021,1547581075683
18,225.835,158.76,77.1326,1547581076672
19,250.727,156.462,76.7606,1547581077657
20,246.82,133.71,73.0769,1547581078666
21,217.689,99.4864,67.5359,1547581079675
22,203.369,165.623,78.2437,1547581080661
23,191.008,138.799,73.9009,1547581081660
24,157.321,167.417,78.5341,1547581082672
25,165.524,211.066,85.6011,1547581083678
26,190.632,250.369,91.9645,1547581084673
27,204.52,217.834,86.6969,1547581085670
28,191.929,245.294,91.1428,1547581086673
29,215.092,194.541,82.9256,1547581087671
30,221.999,155.949,76.6774,1547581088667
31,226.774,128.306,72.2019,1547581089673
32,238.781,139.606,74.0314,1547581090670
33,234.658,140.906,74.242,1547581091674
34,234.658,140.906,74.242,1547581092681
35,234.658,140.906,74.242,1547581093677
36,259.055,140.385,74.1576,1547581094674
37,259.505,172.347,79.3323,1547581095676
38,260.567,177.272,80.1298,1547581096684
39,239.361,155.213,76.5583,1547581097679
40,253.413,109.258,69.118,1547581098674
41,231.582,97.9166,67.2817,1547581099675
42,236.576,113.95,69.8776,1547581100684
43,194.697,127.126,72.0109,1547581101675
44,170.231,129.358,72.3722,1547581102676
45,155.157,145.269,74.9483,1547581103670
46,167.74,163.703,77.9328,1547581104680
47,134.68,104.46,68.3412,1547581105669
48,140.478,92.8071,66.4545,1547581106663
49,155.49,86.3378,48.8862,1547581107674
50,173.404,72.2316,16.1158,1547581108674
51,173.404,72.2316,16.1158,1547581109669
52,170.071,89.1786,61.3857,1547581110673
53,215.925,127.178,72.0193,1547581111675
54,239.95,157.779,76.9738,1547581112676
55,222.085,177.451,80.1588,1547581113685
56,209.456,180.218,80.6067,1547581114666
57,209.456,180.218,80.6067,1547581115670
58,190.838,161.746,77.616,1547581116676
59,152.342,159.917,77.3199,1547581117675
60,148.659,126.177,71.8572,1547581118672
61,135.958,127.666,72.0983,1547581119678
62,118.817,131.262,72.6806,1547581120673
63,117.724,176.115,79.9425,1547581121674
64,129.508,136.59,73.5431,1547581122681
65,120.157,144.39,74.806,1547581123676
66,140.792,143.659,74.6876,1547581124672
67,173.396,140.026,74.0995,1547581125677
68,167.455,98.7699,67.4199,1547581126675
69,154.04,138.003,73.772,1547581127677
70,164.89,131.256,72.6795,1547581128665
71,165.599,104.198,68.2986,1547581129657
72,168.332,120.465,70.9325,1547581130669
73,168.332,120.465,70.9325,1547581131669
74,151.448,133.106,72.9791,1547581132678
75,126.055,112.085,69.5757,1547581133666
76,106.149,145.201,74.9373,1547581134676
