ID,DATA,RISK,TIME_MS
0,77.5111,42.9674,1547581055503
1,77.5111,42.9674,1547581056556
2,106.237,43.5792,1547581056646
3,95.9613,16.5378,1547581057649
4,111.105,55.4794,1547581058659
5,101.029,30.8489,1547581059708
6,105.167,40.9627,1547581060732
7,101.55,32.122,1547581061737
8,108.671,49.5286,1547581062732
9,134.17,69.5231,1547581063730
10,133.622,69.4224,1547581064730
11,125.518,67.933,1547581065731
12,108.636,49.4429,1547581066733
13,86.1913,16.029,1547581067740
14,57.0171,72.306,1547581068738
15,80.704,33.6015,1547581069714
16,85.6267,17.9111,1547581070712
17,122.627,67.4017,1547581071723
18,138.665,70.3492,1547581072727
19,144.827,71.4818,1547581073732
20,149.04,72.256,1547581074736
21,190.327,79.8439,1547581075735
22,157.824,73.8704,1547581076722
23,157.824,73.8704,1547581077708
24,153.265,73.0324,1547581078720
25,196.069,80.8991,1547581079723
26,196.069,80.8991,1547581080709
27,199.226,81.4794,1547581081714
28,156.521,73.6308,1547581082725
29,198.895,81.4186,1547581083727
30,205.842,82.6952,1547581084723
31,155.112,73.372,1547581085723
32,132.195,69.1601,1547581086727
33,162.8,74.7849,1547581087719
34,135.919,69.8446,1547581088720
35,128.96,68.5656,1547581089725
36,142.195,70.9979,1547581090724
37,129.335,68.6345,1547581091725
38,103.649,37.2532,1547581092730
39,102.052,33.3482,1547581093729
40,104.02,38.1599,1547581094726
41,111.26,55.8568,1547581095730
42,129.816,68.7229,1547581096738
43,131.312,68.9978,1547581097730
44,119.011,66.7371,1547581098724
45,118.368,66.619,1547581099730
46,118.368,66.619,1547581100736
47,126.474,68.1087,1547581101727
48,119.532,66.8329,1547581102728
49,123.396,67.543,1547581103725
50,129.537,68.6717,1547581104732
51,138.651,70.3468,1547581105723
52,111.605,56.7012,1547581106716
53,130.221,68.7974,1547581107726
54,125.975,68.017,1547581108726
55,128.521,68.4849,1547581109719
56,117.445,66.4494,1547581110725
57,153.423,73.0615,1547581111726
58,153.423,73.0615,1547581112732
59,153.423,73.0615,1547581113735
60,170.088,76.1243,1547581114717
61,172.48,76.5638,1547581115722
62,182.852,78.4701,1547581116729
63,182.852,78.4701,1547581117722
64,192.431,80.2306,1547581118721
65,154.642,73.2855,1547581119730
66,115.788,66.1449,1547581120725
67,113.018,60.155,1547581121728
68,136.239,69.9034,1547581122734
69,168.722,75.8732,1547581123728
70,169.016,75.9272,1547581124725
71,162.24,74.6819,1547581125731
72,210.626,83.5746,1547581126728
73,188.318,79.4747,1547581127729
74,145.746,71.6506,1547581128709
75,165.729,75.3232,1547581129708
76,165.729,75.3232,1547581130718
77,190.289,79.8369,1547581131727
78,190.289,79.8369,1547581132728
79,190.289,79.8369,1547581133720
80,160.765,74.4108,1547581134730
81,160.765,74.4108,1547581135719
82,160.765,74.4108,1547581136708
83,173.844,76.8146,1547581137712
84,173.844,76.8146,1547581138723
85,188.431,79.4954,1547581139723
86,173.771,76.8012,1547581140723
87,131.011,68.9426,1547581141731
88,106.911,45.2258,1547581142732
89,81.2951,31.8677,1547581143724
90,94.5369,11.7897,1547581144715
91,89.7479,4.17375,1547581145720
92,105.279,41.2372,1547581146723
93,112.682,59.3334,1547581147720
94,123.756,67.6092,1547581148726
95,134.84,69.6463,1547581149724
96,142.908,71.1291,1547581150722
97,191.615,80.0806,1547581151737
98,182.921,78.4827,1547581152732
99,207.629,83.0237,1547581153724
100,207.629,83.0237,1547581154724
101,177.812,77.5438,1547581155715
102,175.665,77.1492,1547581156718
103,175.665,77.1492,1547581157714
104,125.69,67.9647,1547581158711
105,128.061,68.4003,1547581159723
106,102.717,34.9737,1547581160725
107,92.1045,3.68158,1547581161725
108,90.5828,1.39063,1547581162719
109,101.192,31.2461,1547581163711
110,102.201,33.7126,1547581164716
111,96.9332,19.7774,1547581165727
112,106.845,45.065,1547581166720
113,108.511,49.1381,1547581167711
114,108.356,48.7599,1547581168730
115,153.774,73.1261,1547581169721
116,140.488,70.6843,1547581170726
117,140.488,70.6843,1547581171731
118,127.218,68.2455,1547581172719
119,155.516,73.4463,1547581173719
120,156.924,73.7049,1547581174724
121,109.6,51.7994,1547581175727
122,123.44,67.5511,1547581176734
123,171.307,76.3483,1547581177734
124,142.406,71.0368,1547581178728
125,142.406,71.0368,1547581179735
126,142.406,71.0368,1547581180723
127,142.406,71.0368,1547581181714
128,122.868,67.446,1547581182727
129,124.132,67.6783,1547581183721
130,121.236,67.146,1547581184720
131,82.8087,27.4277,1547581185722
132,97.6133,22.4992,1547581186723
133,105.434,41.6163,1547581187725
134,108.2,48.3767,1547581188726
135,101.247,31.3819,1547581189710
136,123.305,67.5264,1547581190725
137,109.124,50.6374,1547581191728
138,110.849,54.8536,1547581192735
139,115.618,66.1135,1547581193753
140,123.08,67.485,1547581194731
141,117.697,66.4956,1547581195737
142,128.356,68.4546,1547581196755
143,140.378,70.6641,1547581197768
144,137.561,70.1464,1547581198741
145,142.335,71.0237,1547581231725
146,142.335,71.0237,1547581232724
147,132.058,69.135,1547581233722
148,106.756,44.8474,1547581234724
149,94.4175,11.3915,1547581235707
150,97.6232,22.5235,1547581236736
151,100.547,29.6714,1547581237727
152,118.944,66.7248,1547581238715
153,118.944,66.7248,1547581239717
154,141.298,70.8331,1547581240773
155,147.773,72.0231,1547581241806
156,147.96,72.0575,1547581242757
157,143.41,71.2213,1547581243730
158,120.271,66.9687,1547581244728
159,104.838,40.1593,1547581245722
