Service	Invocations	Failures
bloodpressure-0	329	47
bloodpressurefilter-0	328	45
bloodpressuretransfer-0	327	46
centralhub-0	321	33
ecg-0	338	30
ecgfilter-0	337	30
ecgtransfer-0	336	64
oximeter-0	332	28
oximeterfilter-0	331	40
oximetertransfer-0	330	61
thermometer-0	335	27
thermometerfilter-0	334	34
thermometertransfer-0	333	72

	bloodpressure-0	bloodpressurefilter-0	bloodpressuretransfer-0	centralhub-0	ecg-0	ecgfilter-0	ecgtransfer-0	oximeter-0	oximeterfilter-0	oximetertransfer-0	thermometer-0	thermometerfilter-0	thermometertransfer-0	
1	-	-	-	-	-	-	-	-	-	-	-	-	-	
2	-	-	-	-	-	-	-	-	-	-	-	-	-	
3	-	-	-	-	0	-	-	-	-	-	-	-	-	
4	-	-	-	-	0	1	-	-	-	-	-	-	-	
5	-	-	-	-	0	0	0	-	-	-	-	-	-	
6	-	-	-	-	0	0	0	-	-	-	0	-	-	
7	-	-	-	-	0	0	0	-	-	-	0	0	-	
8	-	-	-	-	0	0	0	-	-	-	0	0	0	
9	-	-	-	-	0	0	0	0	-	-	0	0	0	
10	-	-	-	-	0	0	0	0	0	-	0	1	0	
11	-	-	-	-	0	0	0	0	1	0	0	0	0	
12	0	-	-	-	0	0	0	0	0	0	0	0	0	
13	0	0	-	-	1	0	0	0	0	0	0	0	0	
14	0	0	0	-	0	0	0	0	1	0	0	0	0	
15	0	0	0	0	0	0	1	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	0	0	1	0	0	
17	0	1	0	0	0	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	0	0	0	0	1	
19	0	0	1	0	0	0	0	1	1	0	0	0	0	
20	0	0	0	0	1	0	0	0	0	0	0	0	0	
21	0	0	0	0	0	0	0	0	0	1	0	0	0	
22	0	0	0	0	0	0	1	0	1	0	0	0	0	
23	0	0	0	0	0	0	0	0	0	0	1	0	0	
24	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	0	0	0	1	0	0	0	0	0	0	0	0	1	
26	0	0	0	0	0	0	1	1	0	0	0	0	0	
27	0	0	0	0	0	0	1	0	0	0	0	0	0	
28	0	0	0	0	0	0	0	0	0	1	0	0	1	
29	0	0	0	0	0	0	1	0	0	0	0	0	1	
30	0	1	1	0	1	0	0	0	0	0	0	1	0	
31	0	1	1	0	0	0	0	0	0	0	0	0	0	
32	1	0	0	1	1	1	1	0	0	0	0	0	0	
33	0	0	0	0	0	0	0	0	0	0	0	0	0	
34	1	0	0	0	0	0	0	0	0	0	0	0	0	
35	1	0	0	0	1	0	0	0	0	0	0	0	0	
36	0	0	0	0	0	0	0	0	0	0	0	0	0	
37	0	0	0	0	0	0	1	0	0	0	0	0	0	
38	0	0	0	0	0	0	0	0	0	1	1	0	0	
39	0	0	0	1	0	0	0	0	0	1	0	0	0	
40	0	1	1	1	0	0	0	0	0	0	0	0	1	
41	0	0	0	0	0	0	0	1	1	1	0	0	0	
42	0	0	0	0	0	1	0	0	0	0	0	0	0	
43	0	0	0	0	0	0	0	0	0	1	0	0	0	
44	0	0	0	0	0	0	0	0	0	0	0	0	0	
45	0	0	0	0	0	0	0	0	0	0	0	1	0	
46	0	0	1	0	0	0	0	0	0	0	0	1	1	
47	0	0	0	1	1	0	0	0	0	0	0	0	0	
48	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	0	1	1	0	0	0	1	0	0	0	0	0	0	
50	0	0	1	0	0	0	0	0	0	0	1	0	1	
51	1	0	0	0	0	0	0	0	0	0	0	0	0	
