Service	Invocations	Failures
bloodpressure-0	193	138
bloodpressurefilter-0	192	120
bloodpressuretransfer-0	191	125
centralhub-0	174	128
ecg-0	202	151
ecgfilter-0	201	138
ecgtransfer-0	200	147
oximeter-0	196	132
oximeterfilter-0	195	135
oximetertransfer-0	194	127
thermometer-0	199	143
thermometerfilter-0	198	132
thermometertransfer-0	197	133

	bloodpressure-0	bloodpressurefilter-0	bloodpressuretransfer-0	centralhub-0	ecg-0	ecgfilter-0	ecgtransfer-0	oximeter-0	oximeterfilter-0	oximetertransfer-0	thermometer-0	thermometerfilter-0	thermometertransfer-0	
1	-	-	-	-	-	-	-	-	-	-	-	-	-	
2	-	-	-	-	-	-	-	-	-	-	-	-	-	
3	-	-	-	-	1	-	-	-	-	-	-	-	-	
4	-	-	-	-	1	1	-	-	-	-	-	-	-	
5	-	-	-	-	0	1	0	-	-	-	-	-	-	
6	-	-	-	-	1	0	1	-	-	-	1	-	-	
7	-	-	-	-	1	1	1	-	-	-	1	1	-	
8	-	-	-	-	0	0	0	-	-	-	1	1	1	
9	-	-	-	-	1	1	0	1	-	-	0	1	1	
10	-	-	-	-	1	0	1	1	1	-	1	0	1	
11	-	-	-	-	0	1	0	1	0	1	1	1	0	
12	1	-	-	-	1	1	1	1	1	0	1	1	1	
13	1	0	-	-	1	1	1	0	1	1	0	0	1	
14	1	0	1	-	1	0	1	1	1	1	1	1	1	
15	0	0	1	1	1	0	1	1	1	1	1	1	1	
16	1	0	0	0	1	1	1	1	1	0	1	0	1	
17	1	1	0	1	1	1	0	0	1	1	1	1	1	
18	0	0	1	1	0	1	1	1	1	1	0	1	1	
19	1	1	1	1	1	1	0	1	1	1	1	1	1	
20	1	1	1	0	1	1	1	0	1	0	1	1	0	
21	1	1	1	0	1	1	1	0	1	0	1	0	0	
22	1	1	1	1	1	1	1	1	1	1	0	1	1	
23	1	1	1	1	0	0	0	1	1	1	1	0	1	
24	1	1	1	1	1	0	0	1	1	1	1	0	0	
25	1	1	1	1	1	1	1	0	1	0	1	0	1	
26	1	1	0	1	1	1	1	1	1	1	1	0	1	
27	0	1	0	0	1	1	1	0	0	1	1	1	0	
28	1	0	0	1	1	0	1	0	1	1	1	0	1	
29	1	1	1	0	1	0	0	1	0	1	0	1	1	
30	1	0	1	0	1	1	1	0	0	0	0	1	1	
31	1	1	0	0	1	1	0	1	1	1	1	1	1	
32	1	1	1	1	1	1	1	0	1	1	1	0	1	
33	1	1	0	0	1	1	1	1	1	1	1	1	1	
34	1	1	0	1	0	1	1	1	0	1	1	0	1	
35	1	1	0	1	0	1	0	0	1	0	0	1	0	
36	1	0	1	1	1	0	1	1	1	1	1	1	0	
37	1	1	1	0	1	0	1	0	1	0	1	1	0	
38	1	1	1	0	1	1	1	1	0	1	1	0	1	
39	1	1	1	1	1	1	1	0	1	1	0	1	0	
40	0	0	1	1	1	1	1	0	1	1	1	0	1	
41	1	1	1	1	1	1	1	1	1	1	0	0	1	
42	1	0	1	1	1	0	1	1	1	0	1	1	1	
43	1	1	0	1	1	0	0	0	0	1	0	1	1	
44	0	1	1	1	1	1	1	0	1	1	0	1	0	
45	1	1	1	1	0	1	1	1	0	0	1	1	1	
46	1	1	1	1	0	0	1	0	1	1	1	1	1	
47	1	0	0	1	1	1	0	1	0	1	1	1	0	
48	0	1	0	1	1	1	1	1	1	1	1	1	0	
49	1	0	0	1	1	1	1	1	1	0	0	1	0	
50	0	1	1	0	0	1	0	1	1	0	1	1	1	
51	1	0	0	0	1	1	1	1	1	1	1	1	1	
