ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,22.2458,69.7559,14.8779,1547247357139
1,22.2458,69.7559,14.8779,1547247358153
2,22.2458,69.7559,14.8779,1547247359160
3,120.599,181.1,80.7495,1547247360169
4,67.1736,123.532,71.4289,1547247361174
5,178.394,111.601,69.4973,1547247362177
6,108.354,101.747,67.9018,1547247363162
7,119.362,111.971,69.5572,1547247364157
8,143.635,96.099,66.9875,1547247365148
9,172.636,91.1017,66.1784,1547247366148
10,192.794,106.935,68.7419,1547247367152
11,208.379,118.326,70.586,1547247368148
12,247.671,152.382,76.1,1547247369146
13,245.308,166.833,78.4396,1547247370146
14,207.116,166.105,78.3218,1547247371150
15,152.33,146.733,75.1854,1547247372146
16,131.088,150.321,75.7662,1547247373148
17,89.7267,110.595,69.3344,1547247374149
18,89.7267,110.595,69.3344,1547247375150
19,95.8312,92.8937,66.4685,1547247376149
20,126.965,88.332,57.6608,1547247377154
21,158.529,77.231,18.6155,1547247378155
22,183.916,118.424,70.6019,1547247379149
23,190.351,115.044,70.0547,1547247380147
24,168.091,106.311,68.6408,1547247381151
25,154.249,134.561,73.2147,1547247382146
26,174.038,174.63,79.7019,1547247383148
27,162.26,148.631,75.4926,1547247384146
28,162.466,134.562,73.2148,1547247385150
29,185.847,152.315,76.0891,1547247386153
30,217.012,112.191,69.5929,1547247387150
31,221.423,87.8458,55.5214,1547247388149
32,226.133,95.7772,66.9354,1547247389145
33,215.991,151.945,76.0292,1547247390145
34,202.152,141.662,74.3643,1547247391150
35,166.145,156.083,76.6992,1547247392151
36,114.372,186.531,81.6288,1547247393147
37,85.9744,172.232,79.3137,1547247394150
38,128.481,124.556,71.5948,1547247395150
39,107.961,124.039,71.511,1547247396150
40,100.669,127.29,72.0374,1547247397152
41,134.322,95.3429,66.865,1547247398148
42,141.617,79.1428,19.5714,1547247399149
43,141.617,79.1428,19.5714,1547247400147
44,153.465,132.04,72.8065,1547247401147
45,171.456,158.738,77.129,1547247402148
46,220.913,187.045,81.712,1547247403150
47,215.087,223.303,87.5824,1547247404148
48,215.978,232.847,89.1277,1547247405148
49,168.822,187.969,81.8617,1547247406150
50,146.211,183.928,81.2073,1547247407151
51,122.713,136.592,73.5434,1547247408149
52,135.75,127.642,72.0944,1547247409149
53,144.975,132.227,72.8368,1547247410148
54,165.394,129.51,72.3968,1547247411146
55,152.878,109.941,69.2286,1547247412148
56,182.885,125.278,71.7117,1547247413146
57,182.057,90.875,66.1417,1547247414149
58,215.767,80.5072,23.2316,1547247415151
59,211.414,91.617,66.2618,1547247416149
60,257.02,131.91,72.7854,1547247417152
61,213.361,164.335,78.0352,1547247418151
62,194.475,173.985,79.5976,1547247419146
63,194.475,173.985,79.5976,1547247420149
64,170.975,173.416,79.5054,1547247421150
65,186.274,167.178,78.4955,1547247422148
66,195.924,122.415,71.2482,1547247423151
67,177.935,113.657,69.8301,1547247424150
68,156.489,103.11,68.1226,1547247425147
69,143.567,107.323,68.8047,1547247426150
70,105.52,128.148,72.1763,1547247427160
71,61.1296,129.715,72.4301,1547247428153
72,109.075,139.211,73.9676,1547247429150
73,107.743,171.667,79.2223,1547247430149
74,99.2728,153.786,76.3272,1547247431148
75,148.493,123.684,71.4536,1547247432145
76,176.126,173.389,79.501,1547247469173
77,163.553,138.712,73.8867,1547247470173
78,178.609,126.563,71.9197,1547247471153
79,193.613,143.834,74.716,1547247472150
80,149.346,180.505,80.6532,1547247473147
81,175.994,169,78.7904,1547247474168
82,160.559,156.678,76.7954,1547247475179
83,181.01,154.672,76.4707,1547247476178
84,179.412,194.12,82.8575,1547247477154
85,181.234,165.46,78.2173,1547247478149
86,116.291,174.686,79.7111,1547247479147
87,116.539,208.986,85.2644,1547247480147
88,126.238,224.476,87.7724,1547247481149
89,131.021,203.239,84.3339,1547247482146
90,115.326,185.051,81.3892,1547247483149
91,142.921,142.589,74.5145,1547247484147
92,151.872,144.776,74.8685,1547247485150
93,129.029,127.166,72.0174,1547247486148
94,129.029,127.166,72.0174,1547247487148
95,137.455,133.475,73.0388,1547247488147
96,159.706,165.441,78.2143,1547247489148
97,167.834,164.141,78.0037,1547247490151
98,202.787,155.993,76.6846,1547247491154
99,178.486,184.258,81.2607,1547247492155
100,176.7,162.695,77.7697,1547247493150
101,181.13,198.047,83.4934,1547247494150
102,174.683,226.716,88.1349,1547247495145
103,134.722,221.376,87.2705,1547247496149
104,167.06,187.457,81.7787,1547247497149
105,132.675,200.304,83.8588,1547247498150
106,160.513,155.824,76.6572,1547247499149
107,148.313,115.676,70.157,1547247500148
108,160.854,91.8838,66.305,1547247501148
109,159.904,133.725,73.0794,1547247502149
110,168.737,113.777,69.8496,1547247503148
111,176.155,131.336,72.6925,1547247504148
112,159.524,177.298,80.1339,1547247505146
113,144.081,190.632,82.2927,1547247506149
114,118.192,167.897,78.6119,1547247507150
115,97.966,153.85,76.3376,1547247508150
116,97.966,153.85,76.3376,1547247509151
117,100.037,149.4,75.6171,1547247510174
118,146.59,123.616,71.4426,1547247511185
119,190.667,115.677,70.1573,1547247512182
120,240.307,94.2428,66.6869,1547247513159
121,272.492,108.683,69.0249,1547247514156
122,217.271,88.1803,56.9931,1547247515146
123,183.672,71.7004,15.8502,1547247516150
124,151.326,86.2864,48.6604,1547247517167
