ID,DATA,RISK,TIME_MS
0,78.9216,38.8299,1547247355067
1,80.2055,35.064,1547247355097
2,152.904,72.9661,1547247356164
3,152.904,72.9661,1547247357147
4,90.6577,1.14101,1547247358168
5,99.2847,26.5848,1547247359178
6,108.633,49.4368,1547247360187
7,104.601,39.5814,1547247361194
8,87.5184,11.6055,1547247362197
9,73.5871,54.4778,1547247363180
10,78.0998,41.2406,1547247364176
11,78.0998,41.2406,1547247365166
12,104.408,39.1085,1547247366170
13,109.002,50.3391,1547247367171
14,109.002,50.3391,1547247368165
15,118.404,66.6256,1547247369164
16,137.533,70.1412,1547247370167
17,132.646,69.243,1547247371166
18,98.1916,23.9127,1547247372164
19,98.1916,23.9127,1547247373167
20,95.167,13.8901,1547247374169
21,95.167,13.8901,1547247375167
22,82.8521,27.3006,1547247376167
23,78.1287,41.156,1547247377174
24,112.291,58.379,1547247378174
25,136.246,69.9046,1547247379167
26,138.877,70.3882,1547247380166
27,147.025,71.8857,1547247381167
28,153.336,73.0456,1547247382165
29,107.21,45.9586,1547247383165
30,132.312,69.1817,1547247384165
31,168.233,75.7834,1547247385170
32,191.479,80.0556,1547247386172
33,193.141,80.361,1547247387169
34,229.125,86.9743,1547247388166
35,190.392,79.8558,1547247389163
36,158.734,74.0375,1547247390164
37,136.293,69.9133,1547247391168
38,133.406,69.3828,1547247392168
39,108.087,48.1024,1547247393164
40,108.087,48.1024,1547247394166
41,97.8865,23.1669,1547247395169
42,117.435,66.4475,1547247396171
43,117.435,66.4475,1547247397172
44,123.357,67.5359,1547247398167
45,101.379,31.7046,1547247399165
46,102.614,34.7236,1547247400164
47,107.905,47.6578,1547247401163
48,107.905,47.6578,1547247402168
49,92.4759,4.91983,1547247403169
50,92.4759,4.91983,1547247404165
51,121.472,67.1895,1547247405167
52,147.891,72.0449,1547247406170
53,147.891,72.0449,1547247407169
54,148.73,72.1991,1547247408167
55,169.652,76.0441,1547247409166
56,155.803,73.499,1547247410164
57,155.803,73.499,1547247411164
58,162.567,74.742,1547247412165
59,162.567,74.742,1547247413162
60,158.585,74.0103,1547247414169
61,158.585,74.0103,1547247415171
62,178.194,77.6141,1547247416169
63,154.666,73.29,1547247417172
64,172.346,76.5392,1547247418168
65,135.339,69.738,1547247419164
66,135.339,69.738,1547247420165
67,135.339,69.738,1547247421167
68,128.839,68.5433,1547247422166
69,114.465,63.6916,1547247423169
70,139.86,70.5689,1547247424168
71,141.696,70.9062,1547247425163
72,159.577,74.1925,1547247426169
73,159.956,74.2621,1547247427180
74,172.395,76.5482,1547247428173
75,172.395,76.5482,1547247429168
76,178.217,77.6183,1547247430166
77,180.997,78.1291,1547247431165
78,165.907,75.3559,1547247432162
79,199.834,81.5911,1547247433168
80,199.834,81.5911,1547247434169
81,199.834,81.5911,1547247435191
82,185.285,78.9173,1547247436196
83,183.914,78.6652,1547247437189
84,213.373,84.0793,1547247438186
85,213.373,84.0793,1547247439190
86,213.373,84.0793,1547247440192
87,210.144,83.486,1547247441196
88,177.916,77.563,1547247442194
89,206.362,82.7909,1547247443193
90,196.071,80.8996,1547247444193
91,196.071,80.8996,1547247445194
92,153.105,73.003,1547247446194
93,146.182,71.7308,1547247447194
94,143.503,71.2385,1547247448194
95,148.703,72.1941,1547247449195
96,145.285,71.5658,1547247450198
97,169.666,76.0467,1547247451197
98,187.923,79.402,1547247452196
99,187.923,79.402,1547247453185
100,201.727,81.9391,1547247454189
101,201.727,81.9391,1547247455190
102,169.879,76.0859,1547247456195
103,152.328,72.8603,1547247457191
104,174.393,76.9154,1547247458190
105,174.393,76.9154,1547247459191
106,190.092,79.8007,1547247460193
107,200.465,81.707,1547247461193
108,200.465,81.707,1547247462193
109,194.953,80.694,1547247463194
110,194.026,80.5237,1547247464193
111,165.004,75.19,1547247465192
112,174.361,76.9096,1547247466191
113,197.744,81.2071,1547247467195
114,197.744,81.2071,1547247468190
115,227.284,86.6361,1547247469194
116,223.69,85.9755,1547247470193
117,204.49,82.4468,1547247471173
118,168.916,75.9089,1547247472168
119,168.916,75.9089,1547247473163
120,123.741,67.6064,1547247474188
121,123.741,67.6064,1547247475197
122,140.696,70.7225,1547247476198
123,176.849,77.3669,1547247477173
124,176.849,77.3669,1547247478165
125,199.737,81.5733,1547247479165
126,195.154,80.7309,1547247480166
127,195.154,80.7309,1547247481165
128,180.966,78.1234,1547247482163
129,180.966,78.1234,1547247483164
130,159.104,74.1056,1547247484165
131,159.104,74.1056,1547247485168
132,128.958,68.5652,1547247486166
133,94.1372,10.4574,1547247487167
134,94.1372,10.4574,1547247488166
135,76.451,46.077,1547247489166
136,115.754,66.1385,1547247490170
137,107.979,47.8384,1547247491172
138,135.609,69.7875,1547247492174
139,176.967,77.3886,1547247493170
140,176.967,77.3886,1547247494166
141,200.238,81.6653,1547247495164
142,176.223,77.2519,1547247496168
143,176.223,77.2519,1547247497168
144,148.46,72.1494,1547247498168
145,121.861,67.2609,1547247499168
146,92.0191,3.39686,1547247500166
147,92.0191,3.39686,1547247501166
148,116.509,66.2773,1547247502168
149,144.002,71.3301,1547247503167
150,153.256,73.0308,1547247504164
151,180.389,78.0175,1547247505163
152,183.944,78.6708,1547247506168
153,174.96,77.0197,1547247507169
154,134.858,69.6496,1547247508167
155,161.902,74.6199,1547247509170
156,161.902,74.6199,1547247510193
157,161.902,74.6199,1547247511207
158,138.834,70.3804,1547247512202
159,175.014,77.0297,1547247513178
160,175.014,77.0297,1547247514176
161,175.014,77.0297,1547247515164
162,176.897,77.3757,1547247516170
163,205.878,82.7019,1547247517187
164,204.385,82.4274,1547247518171
165,217.294,84.8,1547247519169
166,176.872,77.371,1547247552184
167,176.872,77.371,1547247553193
168,177.581,77.5014,1547247554191
169,182.814,78.4631,1547247555193
170,182.814,78.4631,1547247556191
171,159.804,74.2342,1547247557194
172,147.228,71.9229,1547247558196
173,147.228,71.9229,1547247559193
174,147.228,71.9229,1547247560194
175,157.678,73.8436,1547247561195
176,131.782,69.0843,1547247562190
177,133.499,69.3998,1547247563192
178,149.085,72.2643,1547247564195
179,141.625,70.8932,1547247565196
180,126.113,68.0424,1547247566188
181,134.897,69.6568,1547247567184
182,134.897,69.6568,1547247568183
183,138.105,70.2462,1547247569186
184,138.105,70.2462,1547247570187
185,137.725,70.1765,1547247571187
186,121.464,67.188,1547247572191
187,111.211,55.7383,1547247573187
188,111.211,55.7383,1547247574193
189,108.371,48.7957,1547247575197
190,108.371,48.7957,1547247576204
191,108.371,48.7957,1547247577203
192,80.019,35.6109,1547247578171
193,55.2403,73.169,1547247579161
194,59.9416,70.8855,1547247580170
195,105.901,42.7571,1547247581173
196,110.752,54.6149,1547247582170
197,113.618,61.6216,1547247583170
198,113.618,61.6216,1547247584167
199,131.926,69.1107,1547247585168
200,140.495,70.6856,1547247586168
201,140.495,70.6856,1547247587167
202,137.918,70.212,1547247588165
203,137.918,70.212,1547247589165
204,127.368,68.2731,1547247590167
205,125.934,68.0094,1547247591169
206,125.934,68.0094,1547247592167
207,99.1195,26.1809,1547247593168
208,121.377,67.172,1547247594166
209,77.6261,42.6301,1547247595169
210,77.6261,42.6301,1547247596170
211,101.007,30.7958,1547247597166
212,125.285,67.8902,1547247598163
213,142.47,71.0485,1547247599167
214,137.273,70.0935,1547247600168
215,137.273,70.0935,1547247601172
216,137.273,70.0935,1547247602170
217,145.515,71.6082,1547247603167
218,121.932,67.274,1547247604171
219,91.3109,1.03639,1547247605171
220,106.428,44.046,1547247606172
221,106.428,44.046,1547247607174
222,95.7803,15.9342,1547247608171
223,123.36,67.5364,1547247609167
224,144.216,71.3694,1547247610166
225,144.216,71.3694,1547247611168
226,157.394,73.7913,1547247612168
227,157.394,73.7913,1547247613168
228,160.026,74.2751,1547247614167
229,156.242,73.5796,1547247615169
230,144.677,71.4542,1547247616170
231,154.404,73.2418,1547247617170
232,150.103,72.4514,1547247618170
233,141.441,70.8594,1547247619166
234,150.571,72.5373,1547247620164
235,144.41,71.4051,1547247621165
236,129.948,68.7472,1547247622167
237,152.563,72.9034,1547247623172
238,139.881,70.5727,1547247624170
239,140.24,70.6387,1547247625171
240,145.093,71.5306,1547247626168
241,135.419,69.7528,1547247627167
242,135.419,69.7528,1547247628166
243,135.419,69.7528,1547247629168
244,127.389,68.2769,1547247630170
245,177.96,77.571,1547247631168
246,177.96,77.571,1547247632169
247,183.283,78.5493,1547247633169
248,200.297,81.6762,1547247634168
249,200.297,81.6762,1547247635168
250,210.983,83.6401,1547247636170
251,194.801,80.6662,1547247637170
252,166.223,75.4139,1547247638167
253,166.223,75.4139,1547247639164
254,154.078,73.1819,1547247640163
255,142.784,71.1063,1547247641168
256,120.605,67.03,1547247642175
257,101.703,32.4954,1547247643193
258,85.7444,17.5186,1547247644193
259,72.403,57.9512,1547247645194
260,57.2583,72.1888,1547247646189
261,57.2583,72.1888,1547247647183
262,61.683,70.0397,1547247648194
263,80.287,34.8249,1547247649193
264,100.987,30.747,1547247650197
265,113.227,60.6648,1547247651195
266,129.768,68.7141,1547247652193
267,156.859,73.6929,1547247653195
268,156.859,73.6929,1547247654192
269,154.14,73.1933,1547247655189
270,149.607,72.3601,1547247656195
271,155.057,73.3618,1547247657195
272,155.057,73.3618,1547247658192
273,155.057,73.3618,1547247659190
274,138.177,70.2596,1547247660195
275,115.432,66.0794,1547247661192
