ID,DATA,RISK,TIME_MS
0,103.643,-1,1547232944991
1,103.643,-1,1547232945976
2,20.1005,78.4258,1547232947006
3,107.159,-1,1547232948003
4,8.14971,71.038,1547232948985
5,50.3973,97.1547,1547232949988
6,41.9951,91.9606,1547232950988
7,44.816,93.7045,1547232951984
8,23.4209,80.4784,1547232952992
9,28.6181,83.6912,1547232953999
10,35.3425,87.8481,1547232954988
11,34.4824,87.3164,1547232955991
12,41.5148,91.6637,1547232956986
13,52.9897,98.7572,1547232957984
14,55.0746,21.328,1547232958991
15,60.6529,45.8728,1547232959996
16,52.0433,98.1722,1547232960993
17,46.6256,94.8231,1547232961985
18,46.6256,94.8231,1547232962987
19,40.6296,91.1165,1547232963983
20,44.1372,93.2848,1547232964982
21,39.2903,90.2885,1547232965990
22,40.6278,91.1153,1547232966992
23,36.208,88.3831,1547232967985
24,36.4083,88.5069,1547232968988
25,27.8716,83.2297,1547232969988
26,22.4778,79.8954,1547232970986
27,18.7747,77.6062,1547232971992
28,21.1978,79.1041,1547232972989
29,38.7789,89.9724,1547232973986
30,46.3776,94.6698,1547232974988
31,46.3776,94.6698,1547232975984
32,51.4101,97.7808,1547232976979
33,73.143,10.6938,1547232977986
34,71.4346,12.6462,1547232978984
35,50.2455,97.0609,1547232979989
36,54.6214,99.766,1547232980989
37,60.2711,44.1927,1547232981982
38,50.3537,97.1277,1547232982982
39,55.7495,24.2976,1547232983987
40,55.7495,24.2976,1547232984990
41,54.2344,99.5267,1547232985984
42,45.152,93.9122,1547232986989
43,41.974,91.9475,1547232987992
44,38.0498,89.5217,1547232988987
45,41.8324,91.86,1547232989987
46,57.0021,29.8094,1547232990985
47,61.6548,50.2811,1547232991984
48,72.0148,11.9831,1547232992993
49,72.0148,11.9831,1547232993990
50,70.8344,13.3321,1547232994987
51,72.2846,11.6748,1547232995990
52,70.5661,13.6388,1547232996989
53,60.1488,43.6548,1547232997990
54,52.158,98.2431,1547232998989
55,61.3579,48.9746,1547232999987
56,65.9073,18.9631,1547233000988
57,68.3026,16.2256,1547233001984
58,75.5845,7.90348,1547233002986
59,68.9113,15.5299,1547233003990
60,59.802,42.1289,1547233004985
61,52.9414,98.7274,1547233005987
62,39.4135,90.3647,1547233006993
63,43.8093,93.0821,1547233007988
64,43.8093,93.0821,1547233008991
65,46.9605,95.0301,1547233009987
66,40.6661,91.139,1547233010985
67,40.6661,91.139,1547233011988
68,37.404,89.1225,1547233012986
69,44.6049,93.5739,1547233013987
70,32.8251,86.2919,1547233014987
71,40.1109,90.7958,1547233015985
72,44.9253,93.772,1547233016987
73,37.3836,89.1098,1547233017987
74,36.4067,88.5059,1547233018985
75,46.8323,94.9509,1547233019985
76,46.8323,94.9509,1547233020986
77,28.6927,83.7373,1547233021983
78,28.6927,83.7373,1547233022990
79,29.0078,83.9321,1547233023992
80,32.3645,86.0071,1547233024981
81,24.4243,81.0986,1547233025981
82,18.2018,77.252,1547233026993
83,26.1657,82.1751,1547233027987
84,29.984,84.5355,1547233028987
85,37.234,89.0174,1547233029994
86,37.234,89.0174,1547233030991
87,51.5061,97.8401,1547233031987
88,49.9574,96.8828,1547233032985
89,60.8804,46.8736,1547233033987
90,62.4861,53.9387,1547233034991
91,63.3045,57.5396,1547233035993
92,57.8011,33.3248,1547233036978
93,67.1169,17.5807,1547233037977
94,53.867,99.2996,1547233038991
95,58.8052,37.743,1547233039988
96,48.3974,95.9184,1547233040990
97,48.3974,95.9184,1547233041988
98,48.9499,96.2599,1547233042983
99,48.0741,95.7186,1547233043984
100,51.8239,98.0366,1547233044990
101,41.6994,91.7778,1547233045989
102,47.3525,95.2725,1547233046989
103,38.171,89.5966,1547233047994
104,38.171,89.5966,1547233048992
105,27.3194,82.8884,1547233049988
106,19.5,78.0546,1547233050987
107,21.718,79.4257,1547233051981
108,27.9672,83.2888,1547233052985
109,33.3002,86.5856,1547233053990
