ID,DATA,RISK,TIME_MS
0,44.7558,80.1884,1547232943869
1,42.2572,70.7493,1547232943960
2,33.873,44.345,1547232944999
3,6.90342,92.6628,1547232945984
4,32.357,61.0627,1547232947014
5,32.7995,56.1832,1547232948012
6,31.8607,66.1374,1547232948995
7,36.6113,7.71275,1547232949999
8,46.5461,86.952,1547232950998
9,50.7749,-1,1547232951992
10,48.6821,95.0211,1547232953004
11,48.6821,95.0211,1547232954007
12,49.3326,97.4788,1547232954996
13,44.8079,80.3855,1547232956000
14,40.5125,57.973,1547232956995
15,40.5125,57.973,1547232957993
16,39.1023,37.2207,1547232959000
17,36.8257,3.40332,1547232960006
18,35.3747,27.7851,1547232961001
19,35.4184,27.3031,1547232961994
20,36.5448,9.04998,1547232962994
21,36.5741,8.46002,1547232963991
22,36.5741,8.46002,1547232964991
23,39.0895,37.0335,1547232966000
24,38.4638,27.8248,1547232967001
25,38.9821,35.4525,1547232967994
26,41.9864,69.7266,1547232968998
27,42.7196,72.4961,1547232969996
28,42.9414,73.3343,1547232970995
29,47.8338,91.8165,1547232972002
30,48.5525,94.5316,1547232972998
31,43.4085,75.0987,1547232973994
32,42.8469,72.9772,1547232974997
33,42.3731,71.1872,1547232975991
34,38.0968,22.425,1547232976989
35,37.743,15.0359,1547232977994
36,38.4693,27.9054,1547232978993
37,35.7019,24.1767,1547232979997
38,34.313,39.4936,1547232980997
39,34.313,39.4936,1547232981991
40,28.1453,70.0863,1547232982990
41,27.5355,70.7344,1547232983998
42,29.4942,68.6527,1547232984999
43,30.2717,67.8263,1547232985994
44,34.9551,32.4121,1547232986999
45,43.29,74.6511,1547232988000
46,43.9826,77.2677,1547232988995
47,43.9826,77.2677,1547232989996
48,41.4072,67.5382,1547232990994
49,40.1633,52.8349,1547232991994
50,40.1633,52.8349,1547232993001
51,36.5775,8.39205,1547232993999
52,32.4052,60.5319,1547232994995
53,31.2094,66.8296,1547232995997
54,32.158,63.2579,1547232996998
55,25.5995,72.792,1547232998000
56,24.4851,73.9765,1547232998998
57,29.4633,68.6855,1547232999997
58,29.5722,68.5697,1547233000997
59,29.5722,68.5697,1547233001992
60,32.9943,54.0353,1547233002995
61,40.0921,51.7863,1547233004001
62,45.0801,81.4138,1547233004993
63,43.5235,75.5331,1547233005997
64,44.9546,80.9397,1547233007002
65,43.2019,74.3184,1547233007998
66,37.4834,9.81619,1547233009000
67,35.48,26.6241,1547233009995
68,35.48,26.6241,1547233010995
69,30.38,67.7112,1547233011997
70,32.4277,60.2836,1547233012995
71,31.6061,66.408,1547233013997
72,37.4622,9.39158,1547233014995
73,37.0682,1.47144,1547233015994
74,40.8405,62.7994,1547233016996
75,37.0189,0.480622,1547233017996
76,40.3787,56.0039,1547233018994
77,41.7616,68.8771,1547233019995
78,33.8074,45.069,1547233020994
79,35.0349,31.5324,1547233021992
80,37.696,14.0904,1547233022999
81,34.2011,40.7268,1547233024000
82,34.3223,39.3907,1547233024990
83,38.9773,35.3819,1547233025991
84,41.6095,68.3027,1547233027002
85,42.1851,70.4771,1547233027996
86,44.0836,77.6492,1547233028996
87,38.0209,21.3075,1547233030002
88,38.0209,21.3075,1547233030999
89,38.4153,27.1119,1547233031994
90,32.8948,55.1322,1547233032993
91,30.7229,67.3467,1547233033996
92,28.5612,69.6442,1547233035000
93,33.6978,46.2778,1547233036002
94,36.897,1.97064,1547233036986
95,38.4125,27.0696,1547233037986
96,35.95,21.4414,1547233038999
97,35.5402,25.9604,1547233039998
98,29.564,68.5784,1547233040999
99,30.8472,67.2146,1547233041996
100,34.3787,38.7689,1547233042991
101,40.5731,58.8648,1547233043993
102,41.895,69.3812,1547233044999
103,50.7991,-1,1547233045998
104,49.6604,98.7171,1547233046999
105,49.1773,96.8919,1547233048003
106,48.8871,95.7959,1547233049000
107,44.6546,79.8061,1547233049997
108,42.9453,73.3491,1547233050996
109,44.3304,78.5813,1547233051991
110,39.1455,37.8569,1547233052994
111,34.5651,36.7127,1547233053997
112,38.1943,23.8588,1547233054997
113,38.1943,23.8588,1547233055998
114,36.5954,8.03235,1547233056995
115,32.5721,58.6906,1547233057997
116,38.4904,28.2164,1547233058998
117,38.4904,28.2164,1547233059994
118,42.5553,71.8755,1547233060993
119,41.0109,66.0412,1547233062001
120,40.4196,56.6066,1547233063000
121,40.3212,55.1587,1547233063994
122,35.7626,23.508,1547233064994
123,35.7626,23.508,1547233065998
124,34.1994,40.7457,1547233066993
125,37.3956,8.05165,1547233067996
126,35.4921,26.4908,1547233068999
127,38.1595,23.3465,1547233069993
128,38.6259,30.2109,1547233070999
129,37.075,1.6079,1547233071999
130,37.075,1.6079,1547233072996
131,35.335,28.2229,1547233074000
132,33.6478,46.8293,1547233074999
133,28.8566,69.3303,1547233075994
134,28.6141,69.588,1547233076994
135,29.5021,68.6442,1547233077989
136,28.3846,69.8319,1547233078987
137,31.713,66.2944,1547233079996
138,31.4097,66.6168,1547233081015
139,33.8021,45.1268,1547233082036
140,34.0862,41.9941,1547233083039
141,33.9107,43.93,1547233084025
142,33.206,51.7012,1547233084994
143,36.0282,19.4331,1547233085986
144,38.9212,34.5566,1547233086999
145,41.5943,68.2452,1547233088000
146,43.3185,74.7586,1547233088999
147,43.3185,74.7586,1547233089998
148,43.3185,74.7586,1547233090989
149,44.5457,79.3949,1547233091993
150,43.5596,75.6697,1547233092996
151,41.5044,67.9057,1547233093991
152,36.6125,7.68748,1547233094993
153,36.6125,7.68748,1547233095996
154,35.2553,29.1015,1547233096995
155,37.4513,9.17095,1547233097992
156,41.761,68.8748,1547233098996
157,41.761,68.8748,1547233135992
158,39.3731,41.2056,1547233136994
159,39.0853,36.9703,1547233137995
160,38.7593,32.1736,1547233138997
161,35.5904,25.4064,1547233140000
162,32.4084,60.4966,1547233140996
163,33.4499,49.0115,1547233141993
164,35.1483,30.2819,1547233142996
165,39.4161,41.8389,1547233143999
166,35.4792,26.6329,1547233144998
167,35.4792,26.6329,1547233145991
168,32.9902,54.0805,1547233146995
169,32.9499,54.5253,1547233147990
170,32.9499,54.5253,1547233148989
171,33.4591,48.91,1547233149994
172,30.3614,67.7309,1547233150993
173,30.3614,67.7309,1547233151998
174,30.3614,67.7309,1547233152998
175,34.0763,42.104,1547233153993
176,39.1117,37.3597,1547233154992
177,39.1117,37.3597,1547233155992
178,41.3471,67.3111,1547233156989
179,41.7761,68.9319,1547233157985
180,41.7761,68.9319,1547233158987
181,42.3901,71.2515,1547233159990
182,45.2821,82.177,1547233160993
183,39.8933,48.8616,1547233161995
184,37.751,15.1957,1547233162995
185,36.9538,0.828879,1547233163996
186,34.6991,35.2356,1547233164998
187,31.8408,66.1586,1547233165998
188,31.8408,66.1586,1547233166996
189,34.5496,36.8844,1547233167991
190,34.5496,36.8844,1547233168993
191,34.5496,36.8844,1547233169995
192,34.5496,36.8844,1547233170996
193,35.6854,24.3594,1547233171996
194,34.2391,40.3085,1547233172998
195,35.328,28.3004,1547233173998
196,37.5814,11.7879,1547233174995
197,37.1936,3.99236,1547233175997
198,34.6314,35.982,1547233176999
199,34.6313,35.9832,1547233177996
200,27.7137,70.545,1547233178992
201,27.0418,71.2592,1547233180002
202,28.9975,69.1806,1547233181000
203,29.7633,68.3667,1547233181994
204,31.4329,66.5921,1547233182995
205,42.1969,70.5215,1547233183993
206,41.0006,66.0022,1547233184993
207,39.8586,48.3506,1547233185994
208,39.8586,48.3506,1547233187003
209,41.4942,67.8671,1547233187996
210,41.5125,67.936,1547233188991
211,38.2698,24.9707,1547233189993
212,41.4814,67.8186,1547233190988
213,41.4814,67.8186,1547233191987
214,41.4814,67.8186,1547233192989
215,44.5739,79.5016,1547233193986
216,41.6029,68.2775,1547233194981
217,41.6029,68.2775,1547233195989
218,40.0463,51.1132,1547233197000
219,43.198,74.3035,1547233197997
220,40.1646,52.8532,1547233198993
221,40.0574,51.2762,1547233199991
222,45.6226,83.4632,1547233200994
223,45.8381,84.2773,1547233201996
224,44.2448,78.2582,1547233202994
225,41.3638,67.3742,1547233203994
226,42.886,73.1248,1547233205001
227,39.4327,42.0826,1547233206003
228,39.6326,45.0254,1547233207000
229,39.4709,42.6451,1547233208002
230,39.4709,42.6451,1547233208996
231,39.4709,42.6451,1547233209989
232,42.5183,71.7357,1547233210993
233,36.9383,1.14056,1547233211994
234,33.4951,48.5129,1547233212989
235,33.4951,48.5129,1547233213995
236,36.2751,14.4705,1547233214995
