first_timestamp,second_timestamp,diff,average,std_dev
"1,54724584555972E+018","1,54724584555983E+018",106240,"112888,421052632","49409,9561830766"
"1,54724584656854E+018","1,54724584656865E+018",100864,,
"1,54724584754856E+018","1,54724584754863E+018",75520,,
"1,54724584857123E+018","1,54724584857131E+018",75264,,
"1,54724584959498E+018","1,54724584959511E+018",127744,,
"1,5472458506126E+018","1,54724585061271E+018",114176,,
"1,54724585260086E+018","1,54724585260096E+018",99584,,
"1,54724585266359E+018","1,54724585266368E+018",89600,,
"1,54724585367008E+018","1,5472458536702E+018",123648,,
"1,54724585467586E+018","1,54724585467599E+018",133376,,
"1,54724585567068E+018","1,54724585567077E+018",90880,,
"1,54724585666913E+018","1,54724585666925E+018",115200,,
"1,54724585767762E+018","1,54724585767773E+018",107008,,
"1,54724585867595E+018","1,54724585867607E+018",113920,,
"1,54724585967656E+018","1,54724585967667E+018",110848,,
"1,54724586067802E+018","1,54724586067816E+018",135424,,
"1,54724586167181E+018","1,54724586167191E+018",95744,,
"1,54724586266294E+018","1,54724586266303E+018",91136,,
"1,54724586366134E+018","1,54724586366143E+018",89600,,
"1,54724586466003E+018","1,54724586466011E+018",81664,,
"1,54724586566308E+018","1,54724586566317E+018",90112,,
"1,54724586666309E+018","1,54724586666318E+018",88576,,
"1,54724586765972E+018","1,5472458676598E+018",76800,,
"1,54724586866238E+018","1,54724586866246E+018",81152,,
"1,54724586966979E+018","1,5472458696699E+018",115200,,
"1,54724587067633E+018","1,54724587067644E+018",115200,,
"1,54724587167851E+018","1,54724587167864E+018",122880,,
"1,54724587267744E+018","1,54724587267756E+018",117248,,
"1,54724587367484E+018","1,54724587367495E+018",116992,,
"1,54724587467485E+018","1,54724587467494E+018",98560,,
"1,54724587566729E+018","1,54724587566736E+018",77568,,
"1,54724587666389E+018","1,54724587666398E+018",96768,,
"1,54724587766802E+018","1,5472458776681E+018",79616,,
"1,54724587866492E+018","1,54724587866501E+018",86784,,
"1,54724587967184E+018","1,54724587967195E+018",109056,,
"1,54724588067242E+018","1,54724588067251E+018",86528,,
"1,54724588166965E+018","1,54724588166976E+018",113408,,
"1,54724588267288E+018","1,54724588267297E+018",81152,,
"1,54724588367224E+018","1,54724588367235E+018",113920,,
"1,54724588467747E+018","1,54724588467757E+018",109312,,
"1,54724588567527E+018","1,54724588567561E+018",341760,,
"1,54724588666699E+018","1,54724588666708E+018",84736,,
"1,54724588765812E+018","1,5472458876582E+018",80896,,
"1,54724588866599E+018","1,5472458886661E+018",112896,,
"1,54724588967343E+018","1,54724588967352E+018",89600,,
"1,54724589066609E+018","1,54724589066616E+018",77056,,
"1,54724589265864E+018","1,54724589265871E+018",76544,,
"1,54724589272265E+018","1,54724589272273E+018",77312,,
"1,54724589373204E+018","1,54724589373215E+018",106752,,
"1,54724589473582E+018","1,54724589473593E+018",105216,,
"1,54724589573049E+018","1,54724589573066E+018",163072,,
"1,54724589673189E+018","1,547245896732E+018",112128,,
"1,54724589773609E+018","1,5472458977362E+018",111360,,
"1,54724589873787E+018","1,54724589873798E+018",109568,,
"1,54724589973433E+018","1,54724589973443E+018",104960,,
"1,54724590073913E+018","1,54724590073925E+018",123136,,
"1,54724590173012E+018","1,54724590173022E+018",104192,,
"1,54724590273052E+018","1,54724590273061E+018",99840,,
"1,54724590373038E+018","1,54724590373049E+018",104704,,
"1,5472459047309E+018","1,54724590473101E+018",108032,,
"1,54724590573114E+018","1,54724590573122E+018",77568,,
"1,5472459067263E+018","1,54724590672638E+018",79616,,
"1,54724590772328E+018","1,54724590772336E+018",81664,,
"1,54724590872597E+018","1,54724590872608E+018",104192,,
"1,54724590972962E+018","1,54724590972972E+018",102144,,
"1,54724591072592E+018","1,54724591072601E+018",89344,,
"1,54724591272151E+018","1,54724591272161E+018",96256,,
"1,5472459127813E+018","1,54724591278139E+018",88832,,
"1,54724591378522E+018","1,54724591378533E+018",108800,,
"1,54724591478542E+018","1,54724591478551E+018",89088,,
"1,54724591578507E+018","1,54724591578518E+018",110080,,
"1,54724591678767E+018","1,54724591678776E+018",97792,,
"1,54724591778688E+018","1,547245917787E+018",114432,,
"1,5472459187888E+018","1,54724591878891E+018",104704,,
"1,54724592078608E+018","1,5472459207862E+018",119040,,
"1,54724592178122E+018","1,54724592178134E+018",121600,,
"1,54724592184542E+018","1,54724592184552E+018",100096,,
"1,54724592284848E+018","1,54724592284858E+018",105984,,
"1,54724592385008E+018","1,54724592385017E+018",90624,,
"1,5472459248507E+018","1,54724592485081E+018",114688,,
"1,54724592585098E+018","1,54724592585109E+018",116736,,
"1,54724592684937E+018","1,54724592684947E+018",98048,,
