ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,68.7379,11.3015,14.3493,1547232514168
1,149.035,227.781,88.3074,1547232515185
2,174.465,329.585,-1,1547232516210
3,255.034,281.689,97.0354,1547232517209
4,176.325,178.829,80.3818,1547232518209
5,176.325,178.829,80.3818,1547232519197
6,214.175,220.518,87.1314,1547232520198
7,206.53,185.122,81.4006,1547232521199
8,195.791,131.039,72.6443,1547232522207
9,171.958,78.7746,19.3873,1547232523208
10,127.45,118.11,70.5511,1547232524200
11,111.105,106.511,68.6733,1547232525198
12,97.1705,159.78,77.2977,1547232526198
13,97.1705,159.78,77.2977,1547232527203
14,95.9729,170.039,78.9587,1547232528204
15,90.5672,217.983,86.7211,1547232529202
16,120.732,178.958,80.4026,1547232530204
17,113.671,184.951,81.373,1547232531204
18,137.388,155.111,76.5418,1547232532200
19,160.634,153.527,76.2853,1547232533202
20,170.83,121.443,71.0907,1547232534203
21,167.547,171.403,79.1795,1547232535202
22,167.547,171.403,79.1795,1547232536211
23,167.356,150.817,75.8465,1547232537204
24,182.643,161.231,77.5327,1547232538195
25,182.643,161.231,77.5327,1547232539207
26,169.546,146.901,75.2125,1547232540208
27,169.546,146.901,75.2125,1547232541207
28,197.596,140.357,74.1531,1547232542199
29,197.96,107.134,68.7741,1547232543199
30,197.96,107.134,68.7741,1547232544199
31,176.711,126.436,71.8992,1547232545197
32,135.521,106.509,68.6729,1547232546203
33,132.048,119.561,70.7861,1547232547201
34,82.706,121.84,71.155,1547232548206
35,74.7215,127.231,72.0279,1547232549203
36,118.308,113.034,69.7294,1547232550205
37,137.862,134.406,73.1895,1547232551209
38,172.436,126.846,71.9655,1547232552208
39,222.773,156.29,76.7327,1547232553211
40,246.184,156.071,76.6972,1547232554211
41,203.215,186.467,81.6185,1547232555201
42,203.215,186.467,81.6185,1547232556201
43,204.51,155.766,76.6479,1547232557199
44,162.798,171.912,79.262,1547232558202
45,122.34,188.57,81.959,1547232559204
46,147.777,177.23,80.123,1547232560197
47,149.387,167.434,78.537,1547232561208
48,153.151,202.66,84.2403,1547232562208
49,153.151,202.66,84.2403,1547232563201
50,190.625,179.537,80.4964,1547232564198
51,176.965,175.548,79.8507,1547232565202
52,146.718,175.068,79.7729,1547232566208
53,163.633,176.306,79.9733,1547232567204
54,174.765,171.318,79.1658,1547232568205
55,160.753,172.718,79.3925,1547232569201
56,182.809,131.54,72.7255,1547232570201
57,171.271,155.306,76.5733,1547232571208
58,214.897,149.446,75.6246,1547232572214
59,204.77,125.343,71.7223,1547232573203
60,185.895,184.925,81.3688,1547232574210
61,165.772,181.718,80.8495,1547232575210
62,165.999,153.578,76.2936,1547232576202
63,125.252,169.557,78.8807,1547232577208
64,126.192,159.84,77.3075,1547232578204
65,149.092,143.266,74.624,1547232579205
66,149.092,143.266,74.624,1547232580194
67,163.468,152.436,76.1087,1547232581204
68,148.998,182.944,81.048,1547232582202
69,188.183,141.433,74.3272,1547232583198
70,179.102,149.53,75.6382,1547232584203
71,146.447,146.867,75.207,1547232585204
72,170.374,160.158,77.3589,1547232586203
73,181.229,163.147,77.8429,1547232587196
74,143.519,157.615,76.9471,1547232588205
75,146.798,158.605,77.1075,1547232589205
76,174.102,135.864,73.4256,1547232590207
77,197.358,114.58,69.9796,1547232591202
78,203.868,80.8873,24.9042,1547232592201
79,203.868,80.8873,24.9042,1547232593207
80,202.563,115.755,70.1698,1547232594208
81,204.44,109.481,69.154,1547232631206
82,162.901,134.095,73.1392,1547232632201
83,145.784,167.808,78.5974,1547232633205
84,132.092,173.562,79.5291,1547232634206
85,132.584,150.848,75.8516,1547232635203
86,132.584,150.848,75.8516,1547232636210
87,140.603,151.225,75.9127,1547232637211
88,156.588,117.384,70.4335,1547232638205
89,140.263,76.577,18.2885,1547232639206
90,147.113,86.3815,49.0786,1547232640201
91,138.57,69.1515,14.5758,1547232641202
92,129.687,85.7628,46.3563,1547232642206
93,132.181,79.5193,19.7596,1547232643210
94,132.181,79.5193,19.7596,1547232644203
95,147.592,90.6819,66.1104,1547232645202
96,149.729,70.4397,15.2198,1547232646207
97,168.952,97.1532,67.1581,1547232647205
98,200.068,95.5137,66.8927,1547232648202
99,236.871,88.2727,57.4,1547232649207
100,206.635,84.5142,40.8625,1547232650207
101,199.234,94.203,66.6805,1547232651213
102,199.234,94.203,66.6805,1547232652207
103,199.234,94.203,66.6805,1547232653208
104,186.599,92.3191,66.3755,1547232654210
105,173.672,65.3483,12.6742,1547232655209
106,153.602,64.9263,12.4632,1547232656208
107,153.602,64.9263,12.4632,1547232657205
108,179.025,50.3882,5.1941,1547232658200
109,186.19,45.8695,2.93475,1547232659200
110,186.19,45.8695,2.93475,1547232660197
111,198.888,27.0672,6.46642,1547232661206
112,198.888,27.0672,6.46642,1547232662204
113,198.888,27.0672,6.46642,1547232663202
114,171.888,24.7433,7.62833,1547232664197
115,178.757,72.6685,16.3343,1547232665196
116,168.256,121.983,71.1781,1547232666199
117,192.567,142.553,74.5085,1547232667201
118,216.828,200.915,83.9577,1547232668202
119,267.776,222.627,87.4729,1547232669201
120,290.523,192.931,82.665,1547232670197
