ID,DATA,RISK,TIME_MS
0,74.9755,50.4053,1547232512116
1,146.327,71.7574,1547232512145
2,104.819,40.1126,1547232513199
3,261.611,92.9448,1547232514177
4,138.7,70.3556,1547232515208
5,155.32,73.4102,1547232516229
6,142.633,71.0785,1547232517229
7,147.914,72.049,1547232518227
8,144.102,71.3486,1547232519218
9,135.231,69.7182,1547232520216
10,118.706,66.6812,1547232521219
11,118.411,66.6269,1547232522227
12,141.364,70.8453,1547232523225
13,135.618,69.7892,1547232524221
14,148.221,72.1055,1547232525214
15,161.413,74.53,1547232526218
16,205.562,82.6439,1547232527222
17,201.307,81.8618,1547232528222
18,181.195,78.1655,1547232529221
19,174.624,76.9579,1547232530222
20,162.364,74.7048,1547232531221
21,162.364,74.7048,1547232532220
22,119.458,66.8194,1547232533221
23,91.372,1.24002,1547232534221
24,71.0323,61.972,1547232535224
25,93.0997,6.999,1547232536232
26,105.294,41.2743,1547232537220
27,105.098,40.7942,1547232538215
28,106.939,45.2951,1547232539225
29,161.077,74.4682,1547232540229
30,161.077,74.4682,1547232541227
31,135.167,69.7064,1547232542218
32,135.167,69.7064,1547232543220
33,128.053,68.3989,1547232544216
34,128.053,68.3989,1547232545218
35,128.224,68.4303,1547232546221
36,128.224,68.4303,1547232547222
37,128.548,68.4899,1547232548227
38,128.548,68.4899,1547232549222
39,111.81,57.2027,1547232550225
40,114.888,64.7261,1547232551228
41,134.716,69.6236,1547232552229
42,136.445,69.9413,1547232553233
43,143.116,71.1673,1547232554232
44,155.597,73.4611,1547232555219
45,150.908,72.5993,1547232556220
46,121.772,67.2446,1547232557218
47,121.177,67.1352,1547232558222
48,108.394,48.853,1547232559219
49,83.6089,25.0807,1547232560217
50,89.0423,6.52563,1547232561229
51,101.92,33.0269,1547232562227
52,108.139,48.2295,1547232563219
53,108.139,48.2295,1547232564217
54,113.433,61.1695,1547232565221
55,132.927,69.2947,1547232566227
56,139.555,70.5128,1547232567223
57,132.24,69.1683,1547232568225
58,118.885,66.7139,1547232569221
59,119.217,66.775,1547232570221
60,84.4293,22.6742,1547232571228
61,77.1011,44.17,1547232572233
62,90.733,0.890043,1547232573224
63,98.1699,23.8598,1547232574230
64,128.559,68.492,1547232575229
65,135.065,69.6877,1547232576222
66,136.923,70.029,1547232577228
67,116.145,66.2104,1547232578226
68,111.02,55.2704,1547232579222
69,65.694,68.0915,1547232580215
70,73.6758,54.2176,1547232581223
71,70.1825,64.4645,1547232582219
72,94.4191,11.3969,1547232583218
73,104.151,38.4812,1547232584222
74,116.654,66.304,1547232585223
75,104.799,40.0633,1547232586222
76,108.187,48.3464,1547232587215
77,98.4038,24.4315,1547232588224
78,92.6914,5.63803,1547232589225
79,94.5606,11.8687,1547232590225
80,98.5019,24.6713,1547232591220
81,104.619,39.6244,1547232592220
82,97.013,21.0317,1547232593227
83,93.3436,7.81198,1547232594227
84,117.117,66.389,1547232595220
85,151.422,72.6938,1547232596223
