ID,DATA,RISK,TIME_MS
0,96.8,16.3429,1547232513217
1,44.3115,93.3926,1547232514195
2,44.1598,93.2988,1547232515227
3,52.4985,98.4536,1547232516249
4,47.8673,95.5907,1547232517252
5,46.9227,95.0068,1547232518247
6,44.6224,93.5848,1547232519239
7,36.6981,88.6861,1547232520237
8,31.7563,85.6311,1547232521241
9,34.2038,87.1442,1547232522251
10,39.0813,90.1593,1547232523248
11,33.5738,86.7547,1547232524241
12,46.6021,94.8086,1547232525233
13,53.5594,99.1095,1547232526238
14,60.7962,46.5032,1547232527244
15,46.581,94.7956,1547232528243
16,46.581,94.7956,1547232529242
17,56.4563,27.4076,1547232530241
18,47.0929,95.112,1547232531239
19,35.7003,88.0693,1547232532242
20,29.9428,84.5101,1547232533241
21,22.1109,79.6685,1547232534239
22,13.3347,74.2433,1547232535246
23,13.8498,74.5617,1547232536251
24,25.3824,81.6909,1547232537240
25,27.2709,82.8584,1547232538238
26,29.4761,84.2216,1547232539245
27,32.0639,85.8213,1547232540250
28,29.2917,84.1076,1547232541249
29,24.9976,81.453,1547232542237
30,26.4454,82.3481,1547232543239
31,27.2679,82.8565,1547232544236
32,39.3435,90.3214,1547232545236
33,52.9432,98.7285,1547232546238
34,58.7426,37.4674,1547232547241
35,63.6689,59.1432,1547232548246
36,80.9219,1.80354,1547232549245
37,79.9432,2.92205,1547232550247
38,74.5576,9.07707,1547232551248
39,74.5576,9.07707,1547232552251
40,70.6391,13.5553,1547232553254
41,60.6272,45.7599,1547232554251
42,49.0328,96.3112,1547232555240
43,39.74,90.5665,1547232556239
44,42.4845,92.2631,1547232557238
45,34.8751,87.5591,1547232558244
46,41.589,91.7096,1547232559239
47,41.589,91.7096,1547232560238
48,43.9622,93.1766,1547232561250
49,37.5111,89.1887,1547232562244
50,27.3209,82.8893,1547232563237
51,29.772,84.4045,1547232564236
52,24.9732,81.438,1547232565243
53,27.376,82.9233,1547232566247
54,47.8049,95.5521,1547232567246
55,59.8218,42.2161,1547232568246
56,73.524,10.2583,1547232569241
57,79.3089,3.64699,1547232570244
58,69.9992,14.2867,1547232571253
59,69.9992,14.2867,1547232572254
60,64.5971,63.2272,1547232573246
61,53.938,99.3435,1547232574253
62,45.0649,93.8583,1547232575248
63,45.9266,94.391,1547232576243
64,45.9266,94.391,1547232577247
65,42.4531,92.2438,1547232578247
66,32.0508,85.8132,1547232579238
67,32.0508,85.8132,1547232580236
68,36.0373,88.2776,1547232581245
69,28.5312,83.6375,1547232582238
70,28.5312,83.6375,1547232583238
71,20.3596,78.586,1547232584242
72,22.0133,79.6082,1547232585244
73,28.8587,83.8399,1547232586240
74,33.3618,86.6237,1547232587238
75,41.2356,91.4911,1547232588244
76,41.2356,91.4911,1547232589246
77,39.1302,90.1896,1547232590246
78,43.4654,92.8695,1547232591239
79,41.3419,91.5568,1547232592240
80,37.4696,89.163,1547232593248
81,39.8837,90.6554,1547232594245
82,49.3357,96.4984,1547232595239
83,46.2877,94.6142,1547232596244
84,47.6019,95.4266,1547232597239
85,51.8546,98.0556,1547232598229
86,44.3053,93.3887,1547232599238
87,48.555,96.0158,1547232600242
88,48.258,95.8322,1547232601233
89,43.8329,93.0967,1547232602236
90,43.8329,93.0967,1547232603239
91,43.8329,93.0967,1547232604237
92,35.8518,88.1629,1547232605242
93,32.0296,85.8001,1547232606239
94,32.0296,85.8001,1547232607235
95,22.8851,80.1471,1547232608239
96,22.8851,80.1471,1547232609244
97,31.7649,85.6365,1547232610238
98,38.8108,89.9921,1547232611243
99,42.73,92.4149,1547232612243
100,52.193,98.2648,1547232613239
101,51.8005,98.0221,1547232614239
102,51.8005,98.0221,1547232615246
103,52.5365,98.4771,1547232616244
104,54.2234,99.5199,1547232617236
105,56.2106,26.3268,1547232618243
106,48.2194,95.8083,1547232619246
107,48.0578,95.7085,1547232620251
108,40.7754,91.2066,1547232621246
109,28.3497,83.5253,1547232622246
110,17.9025,77.067,1547232623244
