ID,DATA,RISK,TIME_MS
0,44.7405,80.1307,1547232512130
1,42.6948,72.4026,1547232512207
2,29.0036,69.174,1547232513227
3,29.0036,69.174,1547232514204
4,2.41791,97.4302,1547232515237
5,30.2167,67.8847,1547232516258
6,26.5307,71.8023,1547232517262
7,26.6009,71.7278,1547232518256
8,26.9068,71.4025,1547232519247
9,35.3868,27.6523,1547232520246
10,35.3868,27.6523,1547232521251
11,35.5652,25.6845,1547232522260
12,38.9306,34.6939,1547232523256
13,36.7651,4.62179,1547232524249
14,37.2177,4.47632,1547232525243
15,36.6711,6.51067,1547232526247
16,40.7675,61.7254,1547232527254
17,33.5287,48.1423,1547232528252
18,37.5361,10.8768,1547232529250
19,37.3144,6.41963,1547232530249
20,37.3144,6.41963,1547232531248
21,37.3144,6.41963,1547232532250
22,36.9783,0.335045,1547232533250
23,37.1529,3.17393,1547232534247
24,42.2099,70.5706,1547232535255
25,38.6799,31.0053,1547232536261
26,40.3289,55.2719,1547232537249
27,40.3289,55.2719,1547232538247
28,39.1652,38.1465,1547232539255
29,37.8353,16.8904,1547232540260
30,39.8498,48.2212,1547232541257
31,39.0464,36.3987,1547232542246
32,39.9189,49.2384,1547232543247
33,41.9046,69.4173,1547232544245
34,39.6944,45.9347,1547232545244
35,37.7801,15.7817,1547232546247
36,40.6136,59.4607,1547232547250
37,38.233,24.4289,1547232548255
38,35.8628,22.4024,1547232549254
39,36.9399,1.10667,1547232550256
40,38.1093,22.6077,1547232551259
41,35.8852,22.1553,1547232552261
42,36.7977,3.96531,1547232553264
43,40.7954,62.1359,1547232554260
44,40.6025,59.2975,1547232555250
45,44.8809,80.6613,1547232556247
46,44.7071,80.0046,1547232557247
47,45.8979,84.503,1547232558252
48,45.5483,83.1824,1547232559247
49,48.5458,94.5063,1547232560248
50,42.3264,71.0109,1547232561259
51,44.6535,79.802,1547232562253
52,39.9414,49.5698,1547232563245
53,34.9638,32.3168,1547232564244
54,34.9638,32.3168,1547232565253
55,31.0321,67.0181,1547232566256
56,31.185,66.8555,1547232567255
57,28.1614,70.0692,1547232568256
58,32.2125,62.6564,1547232569249
59,32.2125,62.6564,1547232570252
60,34.553,36.8469,1547232571265
61,36.6743,6.44644,1547232572262
62,38.9489,34.964,1547232573255
63,43.8757,76.8637,1547232574263
64,43.4671,75.3202,1547232575257
65,41.7362,68.7812,1547232576252
66,42.5425,71.8272,1547232577255
67,38.7673,32.292,1547232578256
68,32.2286,62.4786,1547232579246
69,35.0543,31.318,1547232580244
70,35.069,31.1565,1547232581253
71,33.1762,52.0293,1547232582247
72,31.1793,66.8617,1547232583247
73,28.3184,69.9023,1547232584251
74,24.1527,74.3297,1547232585254
75,26.4982,71.8369,1547232586248
76,25.8659,72.5089,1547232587246
77,28.8311,69.3574,1547232588254
78,36.3345,13.2763,1547232589255
79,36.3345,13.2763,1547232590254
80,37.37,7.53855,1547232591248
81,37.37,7.53855,1547232592250
82,36.5438,9.06918,1547232593257
83,35.4034,27.4686,1547232594254
84,33.538,48.0401,1547232595247
85,33.538,48.0401,1547232596253
86,36.2355,15.2667,1547232597247
87,37.0142,0.38498,1547232598239
88,37.2959,6.04898,1547232599248
89,41.3973,67.5009,1547232600250
90,49.0934,96.5752,1547232601242
91,38.0673,21.9897,1547232602245
92,33.3416,50.205,1547232603247
93,30.8441,67.218,1547232604246
94,26.2392,72.1121,1547232605250
95,25.1566,73.2627,1547232606247
96,32.7763,56.4397,1547232607244
97,38.3485,26.1287,1547232608248
98,41.558,68.108,1547232609252
99,43.2549,74.5185,1547232610247
100,37.4732,9.61136,1547232611252
101,29.6812,68.4538,1547232612253
102,29.3098,68.8486,1547232613249
103,28.2694,69.9544,1547232614248
104,31.8591,66.1391,1547232615255
105,33.2837,50.8438,1547232616251
106,41.1371,66.5179,1547232617246
107,40.7689,61.7462,1547232618252
108,44.4836,79.1601,1547232619256
109,41.8053,69.0421,1547232620259
110,44.7158,80.0373,1547232621255
111,48.0618,92.6777,1547232622255
112,46.0633,85.1281,1547232623252
113,41.5003,67.8899,1547232624247
114,42.2321,70.6544,1547232625247
115,43.2605,74.5395,1547232626246
116,42.6003,72.0455,1547232627243
117,48.0872,92.7739,1547232628253
118,52.1153,-1,1547232629254
119,49.8869,99.5728,1547232630255
120,51.1074,-1,1547232631253
121,50.3604,-1,1547232632248
122,48.5679,94.5898,1547232633255
123,48.1795,93.1224,1547232634254
124,46.5601,87.005,1547232635255
125,38.6579,30.6809,1547232636262
126,38.8209,33.0808,1547232637261
127,38.4483,27.5973,1547232638258
128,38.4483,27.5973,1547232639256
129,35.9548,21.3884,1547232640252
130,38.7085,31.4259,1547232641254
131,37.8526,17.2389,1547232642258
132,34.2919,39.7263,1547232643256
133,32.5479,58.9584,1547232644250
134,29.4151,68.7367,1547232645251
135,27.556,70.7126,1547232646257
