ID,DATA,RISK,TIME_MS
0,33.0022,53.9487,1547247355082
1,29.1406,69.0284,1547247355172
2,29.9472,68.1711,1547247356208
3,29.9472,68.1711,1547247357192
4,48.7322,95.2104,1547247358211
5,36.4711,10.5305,1547247359224
6,36.6525,6.8849,1547247360234
7,37.5231,10.6141,1547247361241
8,39.6209,44.8527,1547247362228
9,37.1638,3.39347,1547247363213
10,37.5323,10.8009,1547247364203
11,37.3783,7.70409,1547247365193
12,37.1098,2.30814,1547247366197
13,39.5214,43.3885,1547247367198
14,40.7629,61.6586,1547247368193
15,38.9245,34.6051,1547247369191
16,42.0464,69.9529,1547247370194
17,42.0464,69.9529,1547247371194
18,46.1608,85.4962,1547247372192
19,44.8341,80.4843,1547247373195
20,44.9241,80.8245,1547247374197
21,44.9241,80.8245,1547247375195
22,46.3964,86.3865,1547247376195
23,46.3964,86.3865,1547247377202
24,43.407,75.0933,1547247378202
25,43.407,75.0933,1547247379194
26,43.407,75.0933,1547247380194
27,40.3657,55.8135,1547247381194
28,39.489,42.9122,1547247382192
29,39.0756,36.8285,1547247383193
30,37.4842,9.83289,1547247384193
31,40.9941,-1,1547247385199
32,43.5196,75.5184,1547247386199
33,42.8955,73.1609,1547247387196
34,44.0096,77.3698,1547247388193
35,46.7702,87.7984,1547247389189
36,46.7702,87.7984,1547247390192
37,45.7149,83.8117,1547247391196
38,43.081,73.8617,1547247392194
39,43.081,73.8617,1547247393192
40,43.081,73.8617,1547247394195
41,43.821,76.6573,1547247395198
42,43.821,76.6573,1547247396200
43,43.821,76.6573,1547247397198
44,43.9332,77.0812,1547247398194
45,44.7004,79.9794,1547247399193
46,41.7057,68.6659,1547247400191
47,44.0846,77.653,1547247401191
48,43.5333,75.5704,1547247402196
49,43.615,75.879,1547247403197
50,39.8964,48.9071,1547247404193
51,40.4305,56.7662,1547247405194
52,37.8544,17.2739,1547247406198
53,37.8544,17.2739,1547247407197
54,37.8544,17.2739,1547247408194
55,37.8544,17.2739,1547247409195
56,37.5742,11.6426,1547247410192
57,36.5495,8.95431,1547247411192
58,36.5495,8.95431,1547247412192
59,38.6059,29.9169,1547247413192
60,38.1027,22.511,1547247414198
61,38.1027,22.511,1547247415197
62,39.7333,46.5062,1547247416197
63,39.8139,47.6932,1547247417201
64,40.1058,51.9889,1547247418196
65,38.7381,31.8621,1547247419191
66,42.4535,71.4909,1547247420195
67,40.3176,55.1053,1547247421195
68,39.8577,48.3379,1547247422196
69,41.3669,67.3861,1547247423199
70,45.063,81.349,1547247424195
71,45.063,81.349,1547247425191
72,43.1413,74.0895,1547247426202
73,43.1365,74.0711,1547247427206
74,42.2658,70.782,1547247428199
75,42.7753,72.7069,1547247429195
76,43.5877,75.7756,1547247430194
77,43.5877,75.7756,1547247431190
78,45.692,83.7254,1547247432190
79,45.692,83.7254,1547247433195
80,46.0341,85.0179,1547247434215
81,46.0341,85.0179,1547247435238
82,47.0976,89.0353,1547247436244
83,43.7038,76.2142,1547247437243
84,43.7038,76.2142,1547247438238
85,40.955,64.4842,1547247439239
86,31.916,66.0786,1547247440242
87,26.0213,72.3438,1547247441243
88,25.5247,72.8716,1547247442245
89,25.4852,72.9135,1547247443241
90,25.4852,72.9135,1547247444240
91,26.7295,71.591,1547247445243
92,33.002,53.9509,1547247446241
93,42.8483,72.9824,1547247447242
94,42.8483,72.9824,1547247448243
95,46.879,88.2094,1547247449247
96,47.5118,90.6,1547247450245
97,45.8375,84.2752,1547247451244
98,48.2955,93.5607,1547247452238
99,44.0523,77.5308,1547247453235
100,43.1533,74.1345,1547247454237
101,43.1533,74.1345,1547247455240
102,44.6817,79.9088,1547247456241
103,46.05,85.0777,1547247457238
104,46.05,85.0777,1547247458237
105,45.9954,84.8716,1547247459238
106,50.0563,-1,1547247460240
107,48.2422,93.3593,1547247461242
108,47.6259,91.0313,1547247462241
109,49.1883,96.9337,1547247463243
110,46.6814,87.4629,1547247464242
111,44.2349,78.2207,1547247465237
112,44.2349,78.2207,1547247466239
113,44.2349,78.2207,1547247467239
114,47.678,91.2281,1547247468235
115,46.1793,85.5662,1547247469240
116,42.7723,72.6952,1547247470222
117,43.4927,75.417,1547247471202
118,43.2306,74.4266,1547247472195
119,39.1319,37.6567,1547247473208
120,40.9268,64.0694,1547247474236
121,41.3337,67.2607,1547247475245
122,41.0841,66.3177,1547247476227
123,41.0841,66.3177,1547247477200
124,42.5333,71.7926,1547247478193
125,41.5704,68.155,1547247479192
126,40.0233,50.7749,1547247480193
127,38.5619,29.2692,1547247481193
128,37.8396,16.9778,1547247482192
129,38.431,27.3424,1547247483193
130,38.0725,22.0662,1547247484194
131,36.7158,5.61158,1547247485195
132,36.3544,12.8765,1547247486194
133,36.3544,12.8765,1547247487194
134,40.581,58.9818,1547247488192
135,40.8822,63.4139,1547247489194
136,40.8822,63.4139,1547247490197
137,40.8822,63.4139,1547247491201
138,44.3433,78.6304,1547247492201
139,44.3433,78.6304,1547247493198
140,44.3433,78.6304,1547247494193
141,48.4215,94.037,1547247495192
142,42.1207,70.2339,1547247496196
143,41.5665,68.14,1547247497196
144,38.5242,28.7144,1547247498196
145,35.5422,25.9379,1547247499194
146,31.4464,66.5778,1547247500193
147,39.7296,46.453,1547247501194
148,36.8414,3.08726,1547247502195
149,40.6771,60.3956,1547247503195
150,40.1639,52.8432,1547247504191
151,41.3554,67.3425,1547247505192
152,43.8438,76.7432,1547247506195
153,44.2188,78.1599,1547247507196
154,40.0006,50.4396,1547247508197
155,43.7094,76.2355,1547247509215
156,43.7472,76.3782,1547247510242
157,43.3953,75.049,1547247511252
158,42.7828,72.7351,1547247512230
159,42.7828,72.7351,1547247513208
160,44.3577,78.6848,1547247514202
161,41.2345,66.8858,1547247515191
162,42.7297,72.5343,1547247516208
163,42.7297,72.5343,1547247517215
164,40.3852,56.1003,1547247518199
165,33.1987,51.7808,1547247519195
166,32.2883,61.8204,1547247520197
167,26.1842,72.1706,1547247521217
168,18.3186,80.5304,1547247522243
169,10.5242,88.8145,1547247523250
170,17.483,81.4185,1547247524232
171,17.8756,81.0012,1547247525203
172,23.8521,74.6493,1547247526196
173,23.8521,74.6493,1547247527197
174,28.5633,69.642,1547247528194
175,28.3663,69.8514,1547247529194
176,22.2038,76.401,1547247530195
177,22.2038,76.401,1547247567234
178,21.6012,77.0415,1547247568231
179,18.7241,80.0994,1547247569230
180,23.4025,75.1271,1547247570230
181,33.31,50.5544,1547247571238
182,39.8349,48.0018,1547247572236
183,41.1164,66.4398,1547247573235
184,46.785,87.8545,1547247574240
185,44.9658,80.9819,1547247575247
186,40.6966,60.6828,1547247576253
187,42.4413,71.4451,1547247577231
188,41.6659,68.5155,1547247578197
189,38.3944,26.8039,1547247579191
190,38.3944,26.8039,1547247580199
191,35.2332,29.3461,1547247581200
192,40.0176,50.6899,1547247582198
193,35.9467,21.4773,1547247583198
194,37.1549,3.21486,1547247584194
195,36.8851,2.20996,1547247585195
196,37.364,7.41776,1547247586197
197,36.7863,4.1948,1547247587196
198,40.0652,51.3906,1547247588192
199,40.0652,51.3906,1547247589192
200,39.1055,37.268,1547247590195
201,39.1055,37.268,1547247591196
202,39.1055,37.268,1547247592196
203,39.1055,37.268,1547247593194
204,44.3299,78.5796,1547247594195
205,39.4304,42.0488,1547247595198
206,30.3905,67.7,1547247596197
207,30.4756,67.6095,1547247597194
208,31.076,66.9714,1547247598191
209,26.6715,71.6527,1547247599195
210,33.7221,46.0096,1547247600197
211,34.3271,39.338,1547247601202
212,36.5944,8.05199,1547247602198
213,38.985,35.4944,1547247603195
214,36.2285,15.4064,1547247604199
215,36.7783,4.35618,1547247605199
216,42.5312,71.7847,1547247606200
217,37.6245,12.6524,1547247607201
218,33.0883,52.9985,1547247608201
219,33.0883,52.9985,1547247609194
220,35.7023,24.1731,1547247610194
221,28.2679,69.956,1547247611196
222,28.2679,69.956,1547247612196
223,28.2679,69.956,1547247613195
