ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,5.63734,44.9076,2.45379,1547236630776
1,65.9464,95.8296,66.9438,1547236631795
2,221.466,54.7069,7.35346,1547236632819
3,149.123,70.4283,15.2142,1547236633821
4,143.138,92.1626,66.3501,1547236634813
5,182.462,88.5844,58.7712,1547236635819
6,219.042,114.814,70.0175,1547236636804
7,228.14,122.792,71.3092,1547236637803
8,229.688,176.215,79.9586,1547236638810
9,189.24,139.308,73.9833,1547236639805
10,190.957,168.994,78.7894,1547236640812
11,169.772,141.31,74.3074,1547236641813
12,169.772,141.31,74.3074,1547236642811
13,164.366,165.913,78.2906,1547236643812
14,157.238,123.472,71.4192,1547236644812
15,188.03,136.517,73.5313,1547236645814
16,153.424,149.928,75.7027,1547236646809
17,171.253,147.585,75.3234,1547236647811
18,148.977,116.806,70.34,1547236648814
19,157.611,109.755,69.1985,1547236649808
20,136.783,115.306,70.0971,1547236650803
21,136.783,115.306,70.0971,1547236651808
22,198.395,85.861,46.7883,1547236652806
23,197.606,85.0092,43.0404,1547236653817
24,192.697,120.029,70.8618,1547236654817
25,171.781,126.167,71.8556,1547236655811
26,174.851,107.407,68.8183,1547236656812
27,151.442,115.343,70.1032,1547236657816
28,136.012,120.267,70.9005,1547236658816
29,143.201,91.9501,66.3157,1547236659813
30,160.604,87.4778,53.9025,1547236660817
31,189.673,119.706,70.8095,1547236661814
32,191.06,129.623,72.4152,1547236662811
33,191.06,129.623,72.4152,1547236663811
34,164.37,142.909,74.5662,1547236664816
35,164.37,142.909,74.5662,1547236665813
36,197.711,171.924,79.2638,1547236666813
37,197.711,171.924,79.2638,1547236667804
38,219.058,194.779,82.9642,1547236668807
39,169.123,169.547,78.8791,1547236669809
40,169.123,169.547,78.8791,1547236670799
41,131.589,151.907,76.023,1547236671804
42,171.327,155.529,76.6095,1547236672803
43,152.42,177.616,80.1854,1547236673802
44,135.382,150.746,75.8351,1547236674803
45,140.595,178.803,80.3776,1547236675809
46,154.635,196.156,83.1871,1547236676811
47,140.124,216.45,86.4728,1547236677815
48,140.124,216.45,86.4728,1547236678814
49,123.763,154.248,76.4021,1547236679808
50,125.432,158.669,77.1178,1547236680812
51,182.501,146.905,75.2132,1547236681815
52,224.353,113.699,69.837,1547236682815
53,224.353,113.699,69.837,1547236683810
54,224.353,113.699,69.837,1547236684808
55,225.557,97.3877,67.1961,1547236685812
56,225.557,97.3877,67.1961,1547236686810
57,222.464,117.281,70.4169,1547236687810
58,194.65,122.544,71.2691,1547236688808
59,150.723,147.414,75.2955,1547236689811
60,119.15,177.366,80.145,1547236690813
61,140.505,152.052,76.0465,1547236691817
62,139.815,125.25,71.7071,1547236692814
63,202.242,104.914,68.4146,1547236693808
64,198.405,83.6286,36.9661,1547236694819
65,186.344,67.3812,13.6906,1547236695813
66,187.592,75.2923,17.6461,1547236696808
67,170.595,93.6937,66.598,1547236697803
68,143.782,102.483,68.0211,1547236698803
69,146.639,110.496,69.3184,1547236699815
70,146.639,110.496,69.3184,1547236700813
71,165.251,136.693,73.5598,1547236701805
72,118.681,135.92,73.4346,1547236702813
73,154.279,134.277,73.1687,1547236703813
74,122.534,140.897,74.2404,1547236704805
75,155.58,123.889,71.4867,1547236705813
