ID,DATA,RISK,TIME_MS
0,82.6729,27.8263,1547236628722
1,174.432,76.9226,1547236628753
2,339.706,-1,1547236629809
3,71.8312,59.6285,1547236630785
4,182.078,78.3278,1547236631816
5,182.541,78.4129,1547236632841
6,179.044,77.7702,1547236633841
7,155.102,73.3701,1547236634833
8,209.039,83.2828,1547236635836
9,198.356,81.3194,1547236636821
10,222.387,85.7359,1547236637823
11,197.996,81.2534,1547236638826
12,167.432,75.6361,1547236639825
13,115.73,66.1341,1547236640832
14,129.962,68.7498,1547236641830
15,129.962,68.7498,1547236642830
16,111.87,57.3484,1547236643832
17,125.583,67.9449,1547236644832
18,125.583,67.9449,1547236645833
19,138.183,70.2607,1547236646830
20,180.891,78.1097,1547236647830
21,181.092,78.1466,1547236648835
22,181.092,78.1466,1547236649824
23,226.499,86.4916,1547236650824
24,226.499,86.4916,1547236651824
25,229.779,87.0946,1547236652828
26,229.779,87.0946,1547236653838
27,227.119,86.6057,1547236654837
28,181.832,78.2826,1547236655830
29,186.101,79.0671,1547236656830
30,149.546,72.3491,1547236657836
31,142.669,71.085,1547236658834
32,162.098,74.6559,1547236659832
33,178.408,77.6534,1547236660837
34,138.191,70.2622,1547236661831
35,124.853,67.8108,1547236662832
36,107.901,47.6479,1547236663831
37,90.5262,1.5795,1547236664835
38,90.5262,1.5795,1547236665834
39,83.7406,24.6943,1547236666830
40,90.7524,0.825433,1547236667824
41,83.2556,26.117,1547236668828
42,97.5153,22.2597,1547236669826
43,103.163,36.0646,1547236670820
44,133.026,69.3129,1547236671824
45,131.292,68.9942,1547236672819
46,168.075,75.7544,1547236673820
47,175.541,77.1265,1547236674821
48,160.492,74.3607,1547236675828
49,135.972,69.8543,1547236676832
50,136.274,69.9098,1547236677837
51,104.351,38.9688,1547236678832
52,98.3633,24.3324,1547236679829
53,101.17,31.1942,1547236680833
54,92.8392,6.1307,1547236681837
55,90.1825,2.72485,1547236682832
56,84.5779,22.2381,1547236683828
57,72.1735,58.6243,1547236684828
58,72.1735,58.6243,1547236685828
59,71.893,59.4471,1547236686830
60,74.6632,51.3214,1547236687827
61,74.962,50.4447,1547236688826
62,88.0614,9.79528,1547236689831
63,103.846,37.7347,1547236690833
64,104.936,40.3983,1547236691837
65,132.608,69.2362,1547236692830
66,136.96,70.036,1547236693830
67,135.37,69.7436,1547236694838
68,135.355,69.7409,1547236695833
69,167.815,75.7066,1547236696828
70,167.815,75.7066,1547236697820
71,135.223,69.7166,1547236698824
72,152.559,72.9028,1547236699839
73,150.266,72.4814,1547236700831
74,150.068,72.4449,1547236701825
75,117.751,66.5056,1547236702833
76,113.621,61.6284,1547236703831
77,113.621,61.6284,1547236704825
78,95.4628,14.8761,1547236705834
79,112.448,58.7616,1547236706837
80,108.599,49.354,1547236707838
81,108.599,49.354,1547236708836
82,140.934,70.7662,1547236709834
83,179.607,77.8738,1547236710835
84,199.529,81.535,1547236711834
85,201.137,81.8305,1547236712835
86,211.016,83.6463,1547236713831
87,183.287,78.55,1547236714830
88,165.105,75.2084,1547236715834
89,165.105,75.2084,1547236716825
90,137.051,70.0525,1547236717824
91,137.051,70.0525,1547236718833
92,143.417,71.2226,1547236719833
93,130.453,68.84,1547236720835
94,170.268,76.1574,1547236721831
95,152.68,72.925,1547236722831
96,151.113,72.637,1547236723829
97,133.476,69.3956,1547236724825
98,154.823,73.3189,1547236725825
99,108.971,50.2627,1547236726836
100,104.688,39.793,1547236727831
101,148.296,72.1192,1547236728824
102,139.875,70.5715,1547236729822
103,174.174,76.8751,1547236730828
104,202.493,82.0799,1547236731837
105,209.389,83.3472,1547236732833
106,209.389,83.3472,1547236733833
107,163.554,74.9235,1547236734831
108,174.657,76.9639,1547236735830
109,160.536,74.3689,1547236736834
110,160.536,74.3689,1547236737829
111,127.826,68.3572,1547236738832
112,166.288,75.4259,1547236739831
113,192.887,80.3144,1547236740837
114,192.993,80.3339,1547236741832
115,176.493,77.3015,1547236742831
116,176.493,77.3015,1547236743823
117,209.489,83.3655,1547236744829
118,153.269,73.0333,1547236745829
119,139.767,70.5517,1547236746825
120,139.767,70.5517,1547236747826
121,139.767,70.5517,1547236748837
122,177.708,77.5248,1547236749834
123,167.006,75.5579,1547236750831
124,167.006,75.5579,1547236751828
125,138.936,70.399,1547236752833
126,147.487,71.9705,1547236753831
127,172.318,76.5341,1547236754831
128,117.061,66.3789,1547236755834
129,117.061,66.3789,1547236756828
130,101.94,33.0761,1547236757822
131,142.088,70.9783,1547236758827
132,155.049,73.3603,1547236759837
133,114.18,62.9962,1547236760833
134,102.49,34.421,1547236761831
135,136.92,70.0286,1547236762834
136,136.92,70.0286,1547236763835
137,120.984,67.0997,1547236764835
138,115.495,66.091,1547236765835
139,168.99,75.9225,1547236766838
140,183.556,78.5995,1547236767835
141,183.556,78.5995,1547236768835
142,157.185,73.7529,1547236769830
143,158.536,74.0012,1547236770831
144,159.923,74.2562,1547236771834
145,104.296,38.8347,1547236772835
146,107.456,46.5582,1547236773834
147,119.021,66.7389,1547236806829
148,114.666,64.1836,1547236807830
149,115.415,66.0763,1547236808836
150,124.561,67.7571,1547236809836
151,155.662,73.473,1547236810833
152,164.532,75.1032,1547236811830
153,142.153,70.9903,1547236812830
154,156.808,73.6836,1547236813832
155,164.268,75.0546,1547236814833
156,140.785,70.7388,1547236815835
157,134.881,69.6537,1547236816831
158,137.088,70.0594,1547236817835
159,155.679,73.4761,1547236818834
160,202.727,82.1228,1547236819831
161,195.543,80.8025,1547236820834
162,195.543,80.8025,1547236821835
163,184.857,78.8386,1547236822835
164,225.146,86.2431,1547236823834
165,184.24,78.7253,1547236824832
166,169.402,75.9983,1547236825832
167,168.811,75.8896,1547236826830
168,166.023,75.3772,1547236827830
169,166.023,75.3772,1547236828836
170,171.108,76.3117,1547236829834
171,175.731,77.1614,1547236830828
172,143.578,71.2521,1547236831831
173,151.34,72.6788,1547236832836
174,157.232,73.7616,1547236833836
175,157.232,73.7616,1547236834836
176,136.855,70.0165,1547236835833
177,125.351,67.9024,1547236836831
178,126.871,68.1817,1547236837824
179,118.386,66.6224,1547236838823
180,160.214,74.3096,1547236839827
181,129.334,68.6343,1547236840827
182,129.334,68.6343,1547236841837
183,146.853,71.8541,1547236842833
184,139.178,70.4436,1547236843828
185,150.068,72.4449,1547236844830
186,104.131,38.4304,1547236845832
187,108.777,49.7872,1547236846834
188,133.669,69.4311,1547236847831
189,153.179,73.0167,1547236848831
190,153.162,73.0135,1547236849837
191,145.993,71.6959,1547236850836
192,145.587,71.6214,1547236851833
193,115.178,66.0328,1547236852835
194,114.844,64.6188,1547236853836
195,91.4695,1.56505,1547236854837
196,138.413,70.3028,1547236855833
197,129.829,68.7253,1547236856831
198,124.307,67.7105,1547236857832
199,107.221,45.9855,1547236858834
200,107.972,47.8203,1547236859827
201,82.1822,29.2657,1547236860824
202,96.4192,18.0641,1547236861833
203,107.641,47.0111,1547236862832
204,123.424,67.5481,1547236863834
205,169.992,76.1067,1547236864829
206,167.257,75.6039,1547236865827
207,192.276,80.202,1547236866832
208,200.546,81.7219,1547236867832
209,192.088,80.1675,1547236868833
210,180.565,78.0499,1547236869823
211,166.142,75.3992,1547236870823
212,160.158,74.2992,1547236871830
213,144.671,71.453,1547236872834
214,159.564,74.1901,1547236873835
215,159.564,74.1901,1547236874836
216,138.291,70.2805,1547236875834
217,131.735,69.0756,1547236876833
218,117.538,66.4664,1547236877837
219,148.626,72.18,1547236878825
220,123.178,67.503,1547236879827
221,128.173,68.421,1547236880834
222,129.431,68.6522,1547236881834
223,148.937,72.237,1547236882835
224,109.142,50.6806,1547236883834
225,123.012,67.4725,1547236884835
226,122.641,67.4043,1547236885832
227,121.258,67.1501,1547236886834
228,97.729,22.7821,1547236887836
229,122.389,67.358,1547236888837
230,120.902,67.0847,1547236889837
231,126.948,68.1958,1547236890836
232,141.868,70.9379,1547236891834
233,167.767,75.6977,1547236892830
234,158.624,74.0174,1547236893827
235,153.018,72.9871,1547236894833
236,144.277,71.3807,1547236895834
237,134.359,69.5578,1547236896827
238,123.384,67.5408,1547236897838
239,116.513,66.278,1547236898838
240,151.073,72.6296,1547236899832
241,148.223,72.1058,1547236900833
242,148.223,72.1058,1547236901835
243,151.159,72.6454,1547236902837
244,158.554,74.0046,1547236903835
245,158.554,74.0046,1547236904830
246,174.471,76.9298,1547236905832
247,163.174,74.8535,1547236906832
248,164.556,75.1076,1547236907838
249,158.79,74.0479,1547236908838
250,163.735,74.9568,1547236909839
251,141.992,70.9608,1547236910834
252,126.49,68.1117,1547236911836
253,155.293,73.4052,1547236912837
254,155.293,73.4052,1547236913843
255,155.293,73.4052,1547236914838
256,163.073,74.835,1547236915834
257,127.772,68.3472,1547236916835
258,160.353,74.3352,1547236917835
259,160.353,74.3352,1547236918836
260,157.607,73.8305,1547236919839
261,135.932,69.847,1547236920834
262,131.773,69.0825,1547236921836
263,151.092,72.6331,1547236922836
264,124.26,67.7018,1547236923834
265,117.758,66.5069,1547236924831
266,105.697,42.2601,1547236925833
267,113.472,61.2638,1547236926837
268,95.4506,14.8354,1547236927833
269,89.8778,3.74064,1547236928837
270,124.657,67.7748,1547236929837
271,170.996,76.2912,1547236930835
