ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,236628807,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236629819,1012
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236630795,1988
3,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236631829,3022
4,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236632855,4048
5,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236633854,5047
6,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236634846,6039
7,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236635846,7039
8,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236636830,8023
9,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236637835,9028
10,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236638834,10027
11,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236639837,11030
12,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236640842,12035
13,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236641840,13033
14,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236642841,14034
15,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236643843,15036
16,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236644843,16036
17,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236645843,17036
18,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236646840,18033
19,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236647842,19035
20,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236648845,20038
21,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236649836,21029
22,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236650834,22027
23,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236651832,23025
24,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236652839,24032
25,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236653849,25042
26,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236654847,26040
27,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236655840,27033
28,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236656844,28037
29,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236657847,29040
30,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236658843,30036
31,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236659843,31036
32,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236660849,32042
33,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236661843,33036
34,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236662841,34034
35,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236663842,35035
36,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236664845,36038
37,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236665844,37037
38,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236666839,38032
39,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236667836,39029
40,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236668839,40032
41,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236669834,41027
42,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236670830,42023
43,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236671832,43025
44,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236672829,44022
45,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236673832,45025
46,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236674833,46026
47,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236675838,47031
48,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236676843,48036
49,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236677846,49039
50,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236678843,50036
51,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236679840,51033
52,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236680845,52038
53,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236681849,53042
54,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236682840,54033
55,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236683837,55030
56,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236684838,56031
57,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236685837,57030
58,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236686842,58035
59,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236687838,59031
60,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236688838,60031
61,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236689843,61036
62,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236690845,62038
63,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236691850,63043
64,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236692838,64031
65,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236693841,65034
66,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236694849,66042
67,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236695843,67036
68,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236696838,68031
69,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236697828,69021
70,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236698835,70028
71,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236699850,71043
72,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236700839,72032
73,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236701836,73029
74,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236702845,74038
75,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236703839,75032
76,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236704838,76031
77,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236705846,77039
78,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236706848,78041
79,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236707850,79043
80,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236708846,80039
81,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236709846,81039
82,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236710846,82039
83,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236711845,83038
84,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236712844,84037
85,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236713843,85036
86,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236714842,86035
87,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236715844,87037
88,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236716835,88028
89,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236717836,89029
90,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236718845,90038
91,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236719846,91039
92,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236720845,92038
93,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236721844,93037
94,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236722842,94035
95,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236723840,95033
96,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236724836,96029
97,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236725837,97030
98,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236726845,98038
99,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236727842,99035
100,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236728833,100026
101,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236729831,101024
102,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236730839,102032
103,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236731848,103041
104,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236732844,104037
105,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236733843,105036
106,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236734840,106033
107,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236735841,107034
108,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236736843,108036
109,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236737841,109034
110,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236738842,110035
111,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236739841,111034
112,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236740847,112040
113,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236741844,113037
114,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236742840,114033
115,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236743837,115030
116,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236744840,116033
117,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236745839,117032
118,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236746834,118027
119,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236747840,119033
120,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236748847,120040
121,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236749844,121037
122,0.832302,0.00369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,236750843,122036
123,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236751840,123033
124,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236752845,124038
125,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236753842,125035
126,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236754842,126035
127,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236755844,127037
128,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236756839,128032
129,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236757831,129024
130,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236758841,130034
131,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236759850,131043
132,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236760846,132039
133,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236761845,133038
134,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236762844,134037
135,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236763845,135038
136,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236764845,136038
137,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236765847,137040
138,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236766850,138043
139,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236767848,139041
140,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236768847,140040
141,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236769841,141034
142,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236770842,142035
143,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236771846,143039
144,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236772846,144039
145,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236773846,145039
146,0.912511,0.00512244,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,236774849,146042
147,0.786357,0.00353662,FALSE,FALSE,TRUE,TRUE,NORMAL STATE,236775848,147041
148,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236776844,148037
149,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236777846,149039
150,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236778842,150035
151,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236779842,151035
152,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236780848,152041
153,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236781834,153027
154,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236782826,154019
155,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236783828,155021
156,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236784832,156025
157,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236785840,157033
158,0.912511,0.00512244,TRUE,FALSE,TRUE,TRUE,NORMAL STATE,236786844,158037
159,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236787841,159034
160,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236788843,160036
161,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236789845,161038
162,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236790827,162020
163,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236791837,163030
164,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236792848,164041
165,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236793839,165032
166,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236794839,166032
167,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236795850,167043
168,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236796852,168045
169,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236797848,169041
170,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236798843,170036
171,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236799840,171033
172,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236800849,172042
173,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236801846,173039
174,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236802846,174039
175,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236803848,175041
176,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236804847,176040
177,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236805840,177033
178,0.786357,0.00353662,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,236806838,178031
179,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236807842,179035
180,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236808848,180041
181,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236809848,181041
182,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236810844,182037
183,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236811841,183034
184,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236812842,184035
185,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236813843,185036
186,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236814846,186039
187,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236815844,187037
188,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236816842,188035
189,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236817849,189042
190,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236818845,190038
191,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236819842,191035
192,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236820845,192038
193,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236821845,193038
194,0.912511,0.00512244,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,236822845,194038
195,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236823846,195039
196,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236824846,196039
197,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236825844,197037
198,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236826842,198035
199,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236827841,199034
200,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236828847,200040
201,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236829843,201036
202,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236830838,202031
203,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236831842,203035
204,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236832846,204039
205,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236833846,205039
206,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236834846,206039
207,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236835845,207038
208,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236836841,208034
209,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236837832,209025
210,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236838834,210027
211,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236839836,211029
212,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236840837,212030
213,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236841849,213042
214,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236842843,214036
215,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236843838,215031
216,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236844841,216034
217,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236845843,217036
218,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236846845,218038
219,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236847841,219034
220,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236848843,220036
221,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236849849,221042
222,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236850847,222040
223,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236851845,223038
224,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236852849,224042
225,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236853848,225041
226,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236854846,226039
227,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236855842,227035
228,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236856841,228034
229,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236857842,229035
230,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236858848,230041
231,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236859837,231030
232,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236860836,232029
233,0.931326,0.00527848,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,236861844,233037
234,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236862846,234039
235,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236863846,235039
236,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236864839,236032
237,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236865839,237032
238,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236866843,238036
239,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236867846,239039
240,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236868844,240037
241,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236869835,241028
242,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236870834,242027
243,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236871843,243036
244,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236872845,244038
245,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236873848,245041
246,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236874849,246042
247,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236875845,247038
248,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236876846,248039
249,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236877846,249039
250,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236878837,250030
251,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236879838,251031
252,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236880844,252037
253,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,236881848,253041
