ID,DATA,RISK,TIME_MS
0,96.0341,15.4676,1547236629828
1,14.4775,74.9497,1547236630805
2,54.8832,99.9278,1547236631840
3,33.659,86.8074,1547236632866
4,44.8877,93.7488,1547236633861
5,40.5448,91.064,1547236634854
6,42.7828,92.4476,1547236635854
7,39.8525,90.6361,1547236636839
8,42.4212,92.224,1547236637843
9,45.2267,93.9583,1547236638843
10,31.1647,85.2655,1547236639845
11,37.2939,89.0544,1547236640851
12,30.2127,84.677,1547236641851
13,21.2676,79.1473,1547236642850
14,14.0929,74.712,1547236643851
15,20.4334,78.6315,1547236644851
16,23.7906,80.7069,1547236645852
17,26.1503,82.1657,1547236646848
18,31.8228,85.6723,1547236647850
19,31.8228,85.6723,1547236648854
20,32.0682,85.824,1547236649845
21,25.7185,81.8987,1547236650842
22,22.0269,79.6166,1547236651842
23,21.5341,79.312,1547236652848
24,15.8879,75.8216,1547236653858
25,17.0596,76.5459,1547236654856
26,29.3703,84.1562,1547236655849
27,34.5805,87.377,1547236656852
28,52.3338,98.3518,1547236657856
29,54.8095,99.8823,1547236658853
30,67.882,16.7063,1547236659852
31,64.4881,62.7474,1547236660857
32,51.7011,97.9607,1547236661853
33,45.8602,94.35,1547236662849
34,52.7497,98.6089,1547236663851
35,45.2991,94.0031,1547236664854
36,40.4161,90.9845,1547236665852
37,43.5733,92.9362,1547236666849
38,48.7463,96.1341,1547236667844
39,48.7463,96.1341,1547236668848
40,61.1368,48.002,1547236669844
41,73.1041,10.7381,1547236670839
42,77.8768,5.28362,1547236671842
43,82.0607,0.502086,1547236672839
44,64.6719,63.5563,1547236673841
45,55.0184,21.0811,1547236674841
46,38.7859,89.9767,1547236675847
47,32.9483,86.368,1547236676852
48,38.4855,89.7911,1547236677854
49,41.9405,91.9268,1547236678852
50,41.9405,91.9268,1547236679849
51,42.777,92.4439,1547236680854
52,42.777,92.4439,1547236681857
53,45.3474,94.033,1547236682850
54,53.0626,98.8023,1547236683846
55,48.2145,95.8053,1547236684848
56,52.846,98.6684,1547236685848
57,59.9435,42.7514,1547236686851
58,55.0627,21.2758,1547236687848
59,46.5246,94.7606,1547236688846
60,41.6274,91.7333,1547236689851
61,33.8125,86.9023,1547236690854
62,20.4566,78.6459,1547236691858
63,24.0291,80.8543,1547236692848
64,31.7481,85.6261,1547236693850
65,31.7481,85.6261,1547236694858
66,36.9847,88.8633,1547236695851
67,56.7009,28.4838,1547236696847
68,49.9296,96.8656,1547236697837
69,52.7228,98.5923,1547236698845
70,64.402,62.3688,1547236699859
71,63.4302,58.0929,1547236700848
72,63.4302,58.0929,1547236701844
73,50.9451,97.4933,1547236702853
74,50.9451,97.4933,1547236703847
75,59.6569,41.4902,1547236704846
76,59.6569,41.4902,1547236705855
77,68.7349,15.7316,1547236706857
78,53.746,99.2248,1547236707859
79,50.7793,97.3909,1547236708855
80,57.2079,30.7148,1547236709854
81,55.8972,24.9478,1547236710856
82,50.2343,97.0539,1547236711854
83,47.9608,95.6485,1547236712853
84,47.2775,95.2261,1547236713852
85,36.3733,88.4853,1547236714851
86,33.5719,86.7535,1547236715852
87,23.8732,80.758,1547236716843
88,30.3008,84.7314,1547236717845
89,28.5281,83.6356,1547236718854
90,24.6731,81.2525,1547236719854
91,24.6731,81.2525,1547236720853
92,33.1607,86.4993,1547236721852
93,33.1607,86.4993,1547236722850
94,40.7209,91.1729,1547236723849
95,38.6282,89.8792,1547236724844
96,33.3113,86.5924,1547236725845
97,40.3636,90.952,1547236726854
98,42.0121,91.9711,1547236727851
99,33.5525,86.7415,1547236728842
100,27.9401,83.272,1547236729839
101,27.9401,83.272,1547236730850
102,41.3095,91.5368,1547236731856
103,46.2516,94.5919,1547236732853
104,37.5842,89.2339,1547236733851
105,55.2998,22.319,1547236734851
106,53.6988,99.1956,1547236735849
107,40.3381,90.9363,1547236736853
108,40.3381,90.9363,1547236737851
109,26.9669,82.6705,1547236738851
110,41.0403,91.3704,1547236775859
111,30.3186,84.7424,1547236776853
112,39.4748,90.4026,1547236777855
113,44.5166,93.5193,1547236778851
114,53.4732,99.0562,1547236779850
115,49.2321,96.4344,1547236780856
116,43.4394,92.8534,1547236781843
117,44.5847,93.5614,1547236782834
118,43.1565,92.6786,1547236783836
119,43.026,92.5979,1547236784841
120,43.026,92.5979,1547236785848
121,30.564,84.8941,1547236786853
122,30.7838,85.03,1547236787850
123,31.3147,85.3582,1547236788851
124,31.7776,85.6443,1547236789854
125,23.3689,80.4463,1547236790839
126,30.5276,84.8716,1547236791845
127,43.6193,92.9647,1547236792856
128,49.7872,96.7775,1547236793848
129,49.3067,96.4805,1547236794848
130,49.3358,96.4985,1547236795860
131,46.7273,94.886,1547236796860
132,45.5843,94.1794,1547236797857
133,32.6981,86.2134,1547236798852
134,33.347,86.6145,1547236799849
135,34.55,87.3582,1547236800857
136,32.7669,86.2559,1547236801855
137,20.3669,78.5904,1547236802854
138,20.3669,78.5904,1547236803857
139,21.3003,79.1675,1547236804855
140,30.4065,84.7968,1547236805850
141,31.1663,85.2664,1547236806847
142,31.1663,85.2664,1547236807851
143,33.7099,86.8388,1547236808857
144,38.2691,89.6573,1547236809856
145,44.3735,93.4309,1547236810852
146,45.0624,93.8568,1547236811850
147,57.0922,30.2057,1547236812851
148,54.0283,99.3993,1547236813854
149,55.2916,22.2832,1547236814854
150,53.892,99.3151,1547236815852
151,52.2054,98.2724,1547236816852
152,42.8498,92.489,1547236817857
153,41.0353,91.3673,1547236818854
154,41.0353,91.3673,1547236819851
155,43.8321,93.0962,1547236820854
156,46.557,94.7807,1547236821854
157,42.8108,92.4649,1547236822854
158,44.1208,93.2747,1547236823855
159,59.6756,41.5727,1547236824857
160,58.304,35.5378,1547236825854
161,49.8031,96.7873,1547236826851
162,56.4525,27.391,1547236827850
163,56.3642,27.0026,1547236828856
164,46.2078,94.5648,1547236829851
165,46.2078,94.5648,1547236830846
166,46.1432,94.5249,1547236831852
167,40.9189,91.2953,1547236832856
168,36.0089,88.26,1547236833854
169,47.9878,95.6652,1547236834855
170,58.7749,37.6096,1547236835855
171,57.2578,30.9341,1547236836850
172,61.9962,51.7832,1547236837842
173,57.6275,32.561,1547236838843
174,49.4121,96.5456,1547236839846
175,30.653,84.9491,1547236840846
176,36.5,88.5636,1547236841859
177,47.683,95.4767,1547236842852
178,55.6762,23.9751,1547236843847
179,60.7035,46.0953,1547236844851
180,72.1391,11.841,1547236845853
181,70.5768,13.6265,1547236846854
182,57.056,30.0466,1547236847850
183,50.6314,97.2994,1547236848851
184,37.369,89.1008,1547236849858
185,35.7346,88.0905,1547236850856
186,30.4438,84.8198,1547236851854
187,32.4031,86.031,1547236852858
188,32.5375,86.1141,1547236853857
189,43.9125,93.1459,1547236854855
190,43.9125,93.1459,1547236855851
191,55.2289,22.0074,1547236856850
192,52.9276,98.7189,1547236857851
193,62.8803,55.6735,1547236858855
194,60.1079,43.4747,1547236859847
195,60.8512,46.7453,1547236860845
196,46.9641,95.0324,1547236861853
197,46.9641,95.0324,1547236862854
198,45.2917,93.9985,1547236863854
199,40.6797,91.1474,1547236864849
200,46.8962,94.9904,1547236865847
201,38.0608,89.5285,1547236866852
202,33.7069,86.837,1547236867856
203,41.4453,91.6207,1547236868853
204,32.6579,86.1885,1547236869844
205,25.2779,81.6264,1547236870843
206,21.448,79.2588,1547236871851
207,21.448,79.2588,1547236872855
208,25.4289,81.7197,1547236873856
209,24.7298,81.2875,1547236874857
210,24.7298,81.2875,1547236875854
211,30.3129,84.7389,1547236876854
212,35.583,87.9967,1547236877855
213,52.3787,98.3796,1547236878845
214,52.3787,98.3796,1547236879846
215,53.4581,99.0468,1547236880853
216,45.9971,94.4346,1547236881857
217,49.5906,96.656,1547236882856
