ID,DATA,RISK,TIME_MS
0,33.6969,46.2877,1547236628736
1,51.3464,-1,1547236628817
2,41.5323,68.0111,1547236629837
3,55.0002,-1,1547236630813
4,46.0103,84.9279,1547236631851
5,46.0103,84.9279,1547236632877
6,46.0103,84.9279,1547236633871
7,47.1953,89.4046,1547236634865
8,44.085,77.6545,1547236635864
9,42.8364,72.9375,1547236636849
10,39.811,47.6499,1547236637851
11,36.4486,10.9827,1547236638852
12,35.7674,23.4549,1547236639853
13,35.7674,23.4549,1547236640860
14,34.4807,37.6441,1547236641859
15,35.4377,27.0907,1547236642858
16,34.0402,42.5013,1547236643859
17,38.2882,25.2412,1547236644860
18,31.6464,66.3652,1547236645861
19,31.6464,66.3652,1547236646857
20,32.2497,62.2469,1547236647858
21,33.3031,50.6294,1547236648862
22,35.2488,29.1734,1547236649854
23,32.6231,58.1284,1547236650851
24,41.4716,67.7816,1547236651851
25,44.8354,80.4894,1547236652857
26,43.0069,73.5816,1547236653867
27,45.2551,82.0748,1547236654864
28,43.8689,76.838,1547236655859
29,41.1859,66.7022,1547236656862
30,38.9526,35.0186,1547236657866
31,41.2899,67.0953,1547236658862
32,40.4697,57.344,1547236659861
33,41.089,66.3363,1547236660866
34,40.8812,63.3983,1547236661861
35,42.2102,70.5719,1547236662857
36,41.8452,69.1931,1547236663861
37,39.7908,47.3524,1547236664862
38,38.1941,23.8565,1547236665861
39,38.1941,23.8565,1547236666857
40,38.1941,23.8565,1547236667852
41,38.4478,27.5896,1547236668857
42,36.6204,7.52872,1547236669852
43,34.9483,32.4872,1547236670847
44,31.4737,66.5488,1547236671850
45,32.8635,55.4772,1547236672849
46,33.5743,47.6394,1547236673850
47,37.5324,10.8015,1547236674851
48,30.4436,67.6436,1547236675856
49,34.408,38.4456,1547236676860
50,34.7456,34.7229,1547236677863
51,36.5375,9.19559,1547236678860
52,32.9084,54.9823,1547236679858
53,40.8934,63.579,1547236680864
54,40.8934,63.579,1547236681864
55,43.3696,74.952,1547236682859
56,47.3567,90.0143,1547236683855
57,47.6622,91.1683,1547236684857
58,41.6273,68.3699,1547236685858
59,40.0628,51.3555,1547236686860
60,39.3038,40.1864,1547236687857
61,37.7961,16.1027,1547236688855
62,36.7073,5.78362,1547236689860
63,42.7075,72.4505,1547236690863
64,44.1148,77.7669,1547236691866
65,40.7437,61.3749,1547236692856
66,42.6125,72.0917,1547236693861
67,42.6125,72.0917,1547236694867
68,43.2444,74.4789,1547236695860
69,43.2444,74.4789,1547236696855
70,42.5688,71.9267,1547236697845
71,42.3344,71.0411,1547236698854
72,46.2875,85.9751,1547236699868
73,37.7441,15.0568,1547236700856
74,35.1473,30.2931,1547236701853
75,35.3683,27.8555,1547236702863
76,33.7692,45.4896,1547236703857
77,32.0703,64.2252,1547236704855
78,38.5765,29.4831,1547236705863
79,43.8147,76.6333,1547236706867
80,43.8147,76.6333,1547236707868
81,43.8147,76.6333,1547236708865
82,45.3266,82.3448,1547236709864
83,46.3388,86.1688,1547236710864
84,46.3388,86.1688,1547236711864
85,46.3388,86.1688,1547236712862
86,43.3496,74.8764,1547236713860
87,42.441,71.4437,1547236714860
88,40.3262,55.2314,1547236715860
