first_timestamp,second_timestamp,diff,average,std_dev
"1,54724550245504E+018","1,54724550245513E+018",89856,"105608,930232558","25641,0332851814"
"1,54724550346253E+018","1,54724550346262E+018",88576,,
"1,54724550444252E+018","1,54724550444261E+018",86528,,
"1,54724550546674E+018","1,54724550546682E+018",75264,,
"1,5472455064893E+018","1,54724550648942E+018",113920,,
"1,54724550750359E+018","1,54724550750371E+018",116992,,
"1,54724550850196E+018","1,54724550850208E+018",129024,,
"1,54724550950218E+018","1,5472455095023E+018",121344,,
"1,54724551050275E+018","1,54724551050287E+018",124672,,
"1,54724551150065E+018","1,54724551150085E+018",203008,,
"1,547245512503E+018","1,54724551250312E+018",123904,,
"1,54724551350185E+018","1,54724551350197E+018",124672,,
"1,54724551449759E+018","1,54724551449771E+018",113664,,
"1,54724551549619E+018","1,54724551549633E+018",140032,,
"1,54724551650114E+018","1,54724551650126E+018",115712,,
"1,54724551750079E+018","1,54724551750091E+018",119808,,
"1,54724551849447E+018","1,54724551849456E+018",89600,,
"1,54724551949123E+018","1,54724551949134E+018",113920,,
"1,54724552049818E+018","1,5472455204983E+018",120320,,
"1,54724552149885E+018","1,54724552149896E+018",116480,,
"1,54724552249948E+018","1,54724552249961E+018",121856,,
"1,54724552350031E+018","1,54724552350044E+018",121600,,
"1,54724552450036E+018","1,54724552450055E+018",187136,,
"1,547245525502E+018","1,54724552550213E+018",124928,,
"1,54724552650453E+018","1,54724552650464E+018",116224,,
"1,54724552750453E+018","1,54724552750464E+018",115200,,
"1,54724552849786E+018","1,54724552849796E+018",100352,,
"1,54724552948693E+018","1,54724552948718E+018",243200,,
"1,54724553048263E+018","1,54724553048274E+018",109312,,
"1,54724553148627E+018","1,54724553148637E+018",104448,,
"1,54724553249084E+018","1,54724553249094E+018",101376,,
"1,54724553349087E+018","1,54724553349097E+018",95488,,
"1,54724553448929E+018","1,54724553448939E+018",96768,,
"1,54724553549003E+018","1,54724553549013E+018",101632,,
"1,54724553649017E+018","1,54724553649026E+018",97536,,
"1,54724553748897E+018","1,54724553748905E+018",82688,,
"1,54724553849114E+018","1,54724553849124E+018",104448,,
"1,54724553949483E+018","1,54724553949493E+018",100864,,
"1,54724554049328E+018","1,54724554049337E+018",88832,,
"1,54724554148967E+018","1,54724554148977E+018",94208,,
"1,54724554248526E+018","1,54724554248534E+018",79872,,
"1,54724554348089E+018","1,54724554348097E+018",77824,,
"1,54724554448559E+018","1,54724554448569E+018",94208,,
"1,54724554548783E+018","1,54724554548793E+018",100608,,
"1,54724554648249E+018","1,54724554648259E+018",95232,,
"1,54724554748558E+018","1,54724554748567E+018",88576,,
"1,54724554848591E+018","1,54724554848602E+018",103680,,
"1,54724554948948E+018","1,54724554948957E+018",92928,,
"1,54724555048746E+018","1,54724555048755E+018",88832,,
"1,54724555148213E+018","1,5472455514822E+018",73216,,
"1,54724555248325E+018","1,54724555248332E+018",76800,,
"1,54724555348429E+018","1,54724555348442E+018",131328,,
"1,54724555448794E+018","1,54724555448805E+018",108800,,
"1,54724555549265E+018","1,54724555549275E+018",99328,,
"1,5472455564947E+018","1,54724555649481E+018",112384,,
"1,5472455574982E+018","1,5472455574983E+018",98048,,
"1,54724555848479E+018","1,54724555848517E+018",377856,,
"1,54724555949009E+018","1,54724555949019E+018",95232,,
"1,54724556049032E+018","1,54724556049041E+018",92928,,
"1,5472455614877E+018","1,5472455614878E+018",97536,,
