ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,1547646327670,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646329657,1987
2,0.832302,0.369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646331043,3373
3,0.832302,0.369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646332874,5204
4,0.832302,0.369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646333821,6151
5,0.832302,0.369523,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646334797,7127
6,0.922193,0.524966,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646335806,8136
7,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646336809,9139
8,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646336980,9310
9,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646337974,10304
10,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646338969,11299
11,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646339980,12310
12,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646340985,13315
13,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646341978,14308
14,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646342979,15309
15,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646343976,16306
16,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646344969,17299
17,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646345977,18307
18,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646346977,19307
19,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646347975,20305
20,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646348978,21308
21,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646349973,22303
22,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646350976,23306
23,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646351979,24309
24,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646352967,25297
25,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646353965,26295
26,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646354978,27308
27,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646355964,28294
28,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646356973,29303
29,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646357967,30297
30,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646358986,31316
31,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646359969,32299
32,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646360974,33304
33,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646361976,34306
34,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646362976,35306
35,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646363976,36306
36,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646364973,37303
37,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646365966,38296
38,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646366955,39285
39,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646367971,40301
40,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646368973,41303
41,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646369978,42308
42,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646370976,43306
43,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646371971,44301
44,0.892548,0.474104,FALSE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646372976,45306
