ID,DATA,RISK,TIME_MS
0,31.3507,66.6795,1547646328688
1,31.3507,66.6795,1547646330690
2,36.3868,12.2261,1547646330957
3,31.5691,66.4474,1547646332081
4,48.7362,95.2257,1547646333766
5,37.7194,14.5599,1547646334690
6,37.7238,14.6492,1547646335669
7,37.3996,8.13346,1547646336678
8,41.6425,68.427,1547646336851
9,37.8013,16.2068,1547646337017
10,39.7632,46.9472,1547646338012
11,41.9272,69.5027,1547646339009
12,42.2742,70.8138,1547646340021
13,39.3548,40.9363,1547646341023
14,39.1061,37.2778,1547646342016
15,35.4311,27.1631,1547646343018
16,33.2738,50.9532,1547646344012
17,33.8603,44.4855,1547646345010
18,34.5481,36.9009,1547646346018
19,34.0755,42.1119,1547646347014
20,36.4172,11.6135,1547646348015
21,38.4817,28.0892,1547646349013
22,36.2214,15.5496,1547646350014
23,36.2214,15.5496,1547646351021
24,38.8084,32.8956,1547646352019
25,42.286,70.8583,1547646353004
26,37.5194,10.5415,1547646354011
27,31.8049,66.1967,1547646355014
28,31.0015,67.0506,1547646356004
29,27.1799,71.1123,1547646357011
30,25.352,73.0551,1547646358019
31,32.1868,62.9401,1547646359026
32,36.2534,14.9055,1547646360012
33,38.0845,22.2438,1547646361013
34,37.9633,19.4625,1547646362017
35,42.6828,72.3573,1547646363018
36,41.0703,66.2656,1547646364013
37,40.7765,61.8576,1547646365015
38,45.7396,83.9052,1547646366003
39,48.0488,92.6287,1547646367001
40,45.2942,82.2227,1547646368014
41,43.796,76.5625,1547646369013
42,44.7249,80.0718,1547646370016
43,44.203,78.1002,1547646371015
44,41.9952,69.7597,1547646372014
45,40.8187,62.479,1547646373016
46,43.2927,74.6612,1547646374021
47,44.3187,78.5372,1547646375015
48,43.6839,76.1393,1547646376012
49,38.666,30.8009,1547646377012
50,36.5668,8.60794,1547646378009
51,33.2539,51.1726,1547646379015
52,31.594,66.4209,1547646380015
53,31.4836,66.5383,1547646381011
54,36.4544,10.8666,1547646382016
55,39.9282,49.3743,1547646383020
56,44.3462,78.6413,1547646384024
57,47.3933,90.1526,1547646385025
58,45.3806,82.5488,1547646386020
59,46.8437,88.0762,1547646387017
60,44.9745,81.0146,1547646388013
61,41.2251,66.8505,1547646389010
62,41.2251,66.8505,1547646390013
63,39.6087,44.6733,1547646391037
64,39.851,48.2392,1547646392032
65,41.4357,67.646,1547646393013
66,42.88,73.1023,1547646394015
67,39.1161,37.4246,1547646395012
68,41.8259,69.12,1547646396025
69,34.7823,34.3183,1547646397020
70,27.7392,70.5179,1547646398018
71,25.1422,73.278,1547646399016
72,32.2904,61.798,1547646400011
73,29.7711,68.3583,1547646401020
74,38.0004,21.0061,1547646402026
75,45.6616,83.6106,1547646403023
76,50.0513,-1,1547646404021
77,48.944,96.0107,1547646405021
78,47.8233,91.7768,1547646406008
79,48.6115,94.7546,1547646407002
80,46.7621,87.7678,1547646408017
81,47.6201,91.0091,1547646409017
82,45.6955,83.7384,1547646410012
83,40.4868,57.5954,1547646411010
84,40.4868,57.5954,1547646412008
85,29.9778,68.1386,1547646413011
86,28.1962,70.0322,1547646414019
87,27.6856,70.5748,1547646415026
88,26.8032,71.5127,1547646416011
89,33.3187,50.4581,1547646417006
90,42.2709,70.801,1547646418025
91,45.2385,82.0121,1547646419020
92,45.8912,84.4779,1547646420015
93,50.1732,-1,1547646421007
94,47.7438,91.4767,1547646422010
95,47.4499,90.3665,1547646423016
96,44.1473,77.8898,1547646424020
97,32.7985,56.1941,1547646425026
98,27.5612,70.7071,1547646426022
99,30.5903,67.4876,1547646427003
100,32.3097,61.5852,1547646428005
101,34.6297,36.0011,1547646429021
102,46.3481,86.2037,1547646430018
103,48.2179,93.2675,1547646431012
104,46.7357,87.6682,1547646432015
105,42.9822,73.4883,1547646433016
106,42.692,72.392,1547646434018
107,39.2965,40.0789,1547646435018
108,39.2217,38.9784,1547646436010
109,38.1344,22.9781,1547646436999
110,40.4219,56.6397,1547646438003
111,42.5553,71.8755,1547646439021
112,39.6031,44.5905,1547646440020
113,40.585,59.0408,1547646441011
114,43.1797,74.2345,1547646442008
