ID,DATA,RISK,TIME_MS
0,31.4339,66.5911,1547645916854
1,31.4339,66.5911,1547645918863
2,39.8085,47.6139,1547645919163
3,34.992,32.0054,1547645920273
4,43.154,74.1375,1547645921915
5,32.5731,58.6803,1547645922852
6,32.2462,62.2847,1547645923864
7,32.9369,54.6687,1547645924956
8,36.709,5.74948,1547645925110
9,35.0016,31.9001,1547645925213
10,41.6524,68.4647,1547645926200
11,43.7536,76.4027,1547645927207
12,46.7509,87.7256,1547645928225
13,47.2776,89.7155,1547645929214
14,46.7221,87.6167,1547645930208
15,44.0699,77.5975,1547645931207
16,41.7067,68.6697,1547645933210
17,36.0353,19.2908,1547645934216
18,32.2899,61.8032,1547645934320
19,33.4519,48.9892,1547645935310
20,35.8889,22.1149,1547645936316
21,33.7581,45.612,1547645937322
22,34.8996,33.0247,1547645938322
23,34.8996,33.0247,1547645939323
24,37.8063,16.3071,1547645940324
25,40.136,52.4328,1547645941322
26,40.136,52.4328,1547645942312
27,41.3659,67.3822,1547645943313
28,44.2948,78.4471,1547645944322
29,46.2565,85.8578,1547645945319
30,46.886,88.2358,1547645946314
31,44.6566,79.8138,1547645947315
32,41.6105,68.3063,1547645948317
33,41.5738,68.1679,1547645949318
34,39.0121,35.8934,1547645950320
35,34.0496,42.3978,1547645951321
36,33.0049,53.9182,1547645952328
37,33.5733,47.6501,1547645953321
38,29.1741,68.9928,1547645954322
39,29.0976,69.0742,1547645955327
40,29.9081,68.2127,1547645956322
41,30.3677,67.7242,1547645957323
42,27.6243,70.64,1547645958320
43,35.4818,26.6046,1547645959317
44,38.5201,28.6536,1547645960326
45,41.8449,69.1919,1547645961321
46,41.8449,69.1919,1547645962315
47,41.8268,69.1234,1547645963316
48,43.5385,75.5898,1547645964321
49,42.1281,70.2616,1547645965321
50,38.7537,32.0909,1547645966322
51,38.224,24.297,1547645967322
52,40.0304,50.8794,1547645968319
53,40.8336,62.6983,1547645969322
54,41.7764,68.9331,1547645970325
55,43.6859,76.1466,1547645971323
56,39.7771,47.1506,1547645972318
57,38.2153,24.1685,1547645973314
58,38.2153,24.1685,1547645974312
59,38.2153,24.1685,1547645975317
60,39.6134,44.7421,1547645976329
61,40.2406,53.9719,1547645977332
62,39.7126,46.2023,1547645978320
63,39.7126,46.2023,1547645979315
64,43.6797,76.1232,1547645980325
65,47.5699,90.8196,1547645981326
66,48.8647,95.7113,1547645982326
67,49.7556,99.0766,1547645983312
68,51.1118,-1,1547645984297
69,52.5837,-1,1547645985300
70,49.3628,97.593,1547645986317
71,46.8761,88.1986,1547645987321
72,46.1427,85.428,1547645988313
73,43.7195,76.2737,1547645989316
74,38.0591,21.8703,1547645990314
75,39.6266,44.9365,1547645991312
76,39.6266,44.9365,1547645992318
77,38.8944,34.1624,1547645993319
78,38.8944,34.1624,1547645994311
79,38.8944,34.1624,1547645995312
80,35.5197,26.1865,1547645996323
81,35.5197,26.1865,1547645997317
82,35.5197,26.1865,1547645998320
83,40.2782,54.5249,1547645999327
84,40.2782,54.5249,1547646000328
85,43.7433,76.3636,1547646001327
86,38.2501,24.6808,1547646002328
87,41.6213,68.3472,1547646003332
88,41.9107,69.4403,1547646005144
89,36.2523,14.9286,1547646007035
90,37.3617,7.36987,1547646008103
91,41.6091,68.3011,1547646009094
92,37.0148,0.397647,1547646009206
93,34.356,39.019,1547646009320
94,39.9352,49.4784,1547646010324
95,37.9213,18.6188,1547646011322
96,38.8432,33.4082,1547646012326
97,42.3186,70.9814,1547646013334
98,45.4143,82.6761,1547646014333
99,41.0311,66.1176,1547646015326
100,42.7834,72.7373,1547646016326
101,43.706,76.2228,1547646017329
