ID,DATA,RISK,TIME_MS
0,81.2471,32.0085,1547645914773
1,81.2471,32.0085,1547645914834
2,97.7224,22.7658,1547645916841
3,49.4093,76.0012,1547645918831
4,321.612,-1,1547645919130
5,121.004,67.1035,1547645920234
6,121.393,67.1749,1547645921882
7,138.853,70.3838,1547645922818
8,181.704,78.2591,1547645923832
9,152.358,72.8659,1547645924921
10,186.187,79.083,1547645925080
11,186.187,79.083,1547645925180
12,195.339,80.765,1547645926169
13,195.339,80.765,1547645927171
14,176.338,77.273,1547645928191
15,143.291,71.1995,1547645929184
16,143.291,71.1995,1547645930174
17,157.252,73.7652,1547645931180
18,154.263,73.2158,1547645932179
19,183.116,78.5186,1547645934180
20,176.899,77.376,1547645934287
21,176.899,77.376,1547645935281
22,180.591,78.0546,1547645936285
23,182.033,78.3196,1547645937292
24,185.437,78.9451,1547645938292
25,185.437,78.9451,1547645939290
26,165.613,75.3018,1547645940292
27,199.175,81.4699,1547645941294
28,195.427,80.7813,1547645942278
29,195.427,80.7813,1547645943283
30,192.473,80.2383,1547645944292
31,192.473,80.2383,1547645945289
32,192.656,80.272,1547645946286
33,217.045,84.7542,1547645947286
34,203.849,82.3289,1547645948291
35,210.152,83.4874,1547645949287
36,177.763,77.5348,1547645950290
37,177.763,77.5348,1547645951291
38,164.375,75.0743,1547645952298
39,125.498,67.9293,1547645953294
40,110.642,54.347,1547645954291
41,110.642,54.347,1547645955297
42,101.739,32.5843,1547645956292
43,119.53,66.8326,1547645957291
44,134.449,69.5744,1547645958293
45,132.932,69.2956,1547645959287
46,147.002,71.8815,1547645960294
47,157.79,73.8642,1547645961295
48,131.019,68.944,1547645962288
49,131.019,68.944,1547645963289
50,108.215,48.4142,1547645964289
51,130.698,68.885,1547645965295
52,130.698,68.885,1547645966291
53,112.454,58.776,1547645967295
54,103.215,36.1931,1547645968289
55,103.215,36.1931,1547645969292
56,134.855,69.649,1547645970293
57,134.855,69.649,1547645971293
58,137.428,70.1218,1547645972292
59,128.087,68.4051,1547645973287
60,119.711,66.8658,1547645974285
61,112.749,59.4978,1547645975289
62,92.8794,6.26457,1547645976297
63,73.669,54.2376,1547645977300
64,68.4306,66.7623,1547645978295
65,132.666,69.2467,1547645979285
66,132.666,69.2467,1547645980294
67,154.646,73.2862,1547645981296
68,140.843,70.7495,1547645982296
69,140.843,70.7495,1547645983284
70,161.385,74.5248,1547645984272
71,195.018,80.706,1547645985268
72,166.302,75.4285,1547645986283
73,156.459,73.6195,1547645987294
74,172.561,76.5787,1547645988286
75,169.044,75.9324,1547645989289
76,123.424,67.5482,1547645990284
77,136.435,69.9394,1547645991285
78,136.435,69.9394,1547645992288
79,132.419,69.2014,1547645993289
80,169.074,75.9379,1547645994285
81,169.074,75.9379,1547645995280
82,169.074,75.9379,1547645996293
83,183.043,78.5052,1547645997290
84,170.835,76.2615,1547645998291
85,170.835,76.2615,1547645999295
86,131.687,69.0668,1547646000298
87,131.687,69.0668,1547646001298
88,131.687,69.0668,1547646002298
89,154.511,73.2615,1547646003299
90,154.511,73.2615,1547646005116
91,154.511,73.2615,1547646007006
92,118.893,66.7155,1547646008074
93,118.893,66.7155,1547646009064
94,118.893,66.7155,1547646009174
95,80.9497,32.8807,1547646009287
96,106.171,43.4184,1547646010290
97,106.171,43.4184,1547646011290
98,114.113,62.8312,1547646012292
99,138.116,70.2484,1547646013302
100,138.116,70.2484,1547646014303
101,165.759,75.3286,1547646015297
102,212.087,83.843,1547646016295
103,196.892,81.0504,1547646017298
104,186.638,79.1659,1547646018302
105,139.165,70.4412,1547646019299
106,93.5193,8.39766,1547646020293
107,93.5193,8.39766,1547646021302
108,93.5193,8.39766,1547646022301
109,68.981,66.495,1547646023303
110,69.3355,66.3228,1547646024300
111,124.029,67.6595,1547646025292
112,124.029,67.6595,1547646026290
113,119.237,66.7786,1547646027287
114,119.237,66.7786,1547646028297
115,123.921,67.6396,1547646029290
116,120.065,66.9308,1547646030280
117,121.819,67.2532,1547646031289
118,121.482,67.1914,1547646032295
119,158.125,73.9257,1547646033297
120,181.71,78.2602,1547646034297
121,184.84,78.8355,1547646035295
122,223.812,85.998,1547646036296
123,223.812,85.998,1547646037293
124,207.898,83.0732,1547646038299
125,207.898,83.0732,1547646039289
126,195.039,80.7098,1547646041120
127,210.133,83.4839,1547646043012
128,194.572,80.624,1547646044086
129,194.572,80.624,1547646045010
130,143.951,71.3208,1547646045116
131,95.9758,16.5861,1547646045307
132,95.9758,16.5861,1547646046295
133,102.774,35.113,1547646047282
134,83.8672,24.3227,1547646048303
135,83.8672,24.3227,1547646049309
136,98.1897,23.9081,1547646050304
137,98.1897,23.9081,1547646051304
