ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,50.528,63.4028,11.7014,1547646781392
1,48.2701,231.722,88.9454,1547646782461
2,248.085,73.2218,16.6109,1547646782595
3,226.392,22.4217,8.78916,1547646784577
4,182.694,105.977,68.5868,1547646785498
5,179.454,93.4616,66.5604,1547646786501
6,198.224,60.9096,10.4548,1547646787497
7,154.129,48.8055,4.40274,1547646788499
8,136.675,81.5517,27.8274,1547646789499
9,99.7569,99.944,67.61,1547646790508
10,153.742,121.95,71.1728,1547646791497
11,174.774,127.37,72.0504,1547646791683
12,230.777,196.392,83.2254,1547646792672
13,257.959,174.243,79.6393,1547646793679
14,263.552,139.085,73.9471,1547646794681
15,218.531,130.614,72.5755,1547646796502
16,199.128,154.672,76.4707,1547646797506
17,159.053,143.257,74.6226,1547646797686
18,128.296,152.243,76.0774,1547646799498
19,114.027,145.8,75.0344,1547646800494
20,114.027,145.8,75.0344,1547646801493
21,152.922,164.793,78.1094,1547646802502
22,155.365,140.898,74.2407,1547646803488
23,138.296,94.2883,66.6943,1547646804484
24,138.296,94.2883,66.6943,1547646804674
25,167.84,114.716,70.0016,1547646805678
26,179.194,142.577,74.5124,1547646807497
27,152.417,154.681,76.4722,1547646808489
28,152.417,154.681,76.4722,1547646809496
29,158.661,172.041,79.2828,1547646810507
30,185.557,176.514,80.007,1547646811488
31,157.124,142.656,74.5252,1547646812495
32,125.781,115.495,70.1277,1547646813503
33,144.211,132.695,72.9125,1547646813684
34,162.788,101.373,67.8413,1547646815489
35,144.713,113.301,69.7726,1547646816534
36,149.092,121.713,71.1345,1547646817590
37,149.092,121.713,71.1345,1547646818687
38,157.245,153.114,76.2185,1547646819795
39,121.466,125.432,71.7367,1547646820904
40,129.335,185.643,81.485,1547646821042
41,164.974,162.353,77.7143,1547646821995
42,172.228,193.1,82.6923,1547646823961
43,189.554,193.458,82.7503,1547646824891
44,214.37,188.742,81.9869,1547646825892
45,169.354,137.959,73.7649,1547646826904
46,139.179,161.41,77.5616,1547646827900
47,151.387,151.81,76.0073,1547646828911
48,144.481,154.028,76.3664,1547646829952
49,116.808,138.797,73.9004,1547646830901
50,134.027,144.395,74.8068,1547646831900
51,140.661,133.971,73.1192,1547646832967
52,119.143,141.899,74.4026,1547646833885
53,119.081,103.323,68.157,1547646834922
54,139.386,102.808,68.0736,1547646836040
55,139.386,102.808,68.0736,1547646837062
56,143.687,130.104,72.493,1547646838073
57,148.982,133.777,73.0877,1547646839150
58,170.408,97.7583,67.2561,1547646840102
59,173.681,132.247,72.84,1547646841063
60,189.519,148.678,75.5002,1547646842079
61,189.519,148.678,75.5002,1547646843071
62,213.331,142.309,74.4692,1547646844177
63,213.331,142.309,74.4692,1547646845230
64,205.189,124.618,71.6049,1547646846189
65,188.649,141.943,74.4099,1547646846325
66,186.774,123.27,71.3865,1547646848224
67,177.038,157.572,76.9402,1547646849330
68,177.038,157.572,76.9402,1547646850421
69,146.397,124.948,71.6582,1547646851395
70,146.397,124.948,71.6582,1547646852344
71,152.698,148.223,75.4265,1547646853414
72,165.6,161.045,77.5025,1547646854353
73,168.118,163.614,77.9184,1547646855417
74,169.372,119.533,70.7815,1547646856352
75,159.579,129.445,72.3863,1547646857421
76,181.381,122.398,71.2455,1547646858357
77,177.517,82.8689,33.6234,1547646859448
78,189.886,82.9773,34.1003,1547646860383
79,201.768,103.775,68.2303,1547646861454
80,201.768,103.775,68.2303,1547646869386
81,217.884,90.0486,66.0079,1547646870397
82,204.354,109.971,69.2334,1547646871409
83,201.536,148.671,75.4992,1547646872470
84,201.536,148.671,75.4992,1547646873449
85,188.795,145.226,74.9413,1547646874403
86,182.957,132.65,72.9052,1547646875403
87,207.483,144.311,74.7932,1547646876412
88,207.483,144.311,74.7932,1547646877414
89,212.987,122.537,71.2679,1547646878557
90,212.987,122.537,71.2679,1547646879618
91,175.318,99.879,67.5995,1547646879713
92,186.173,127.852,72.1283,1547646881565
93,167.724,110.35,69.2947,1547646882583
94,167.724,110.35,69.2947,1547646883589
95,117.653,96.852,67.1094,1547646884651
96,102.308,113.079,69.7367,1547646885589
97,102.308,113.079,69.7367,1547646892769
98,156.538,130.29,72.5231,1547646893949
99,141.412,129.987,72.4741,1547646895056
100,141.412,129.987,72.4741,1547646897132
101,127.413,152.82,76.1709,1547646897319
102,127.413,152.82,76.1709,1547646899109
103,131.082,168.76,78.7516,1547646900228
104,167.217,152.288,76.0846,1547646900414
105,167.217,152.288,76.0846,1547646902195
106,136.202,136.947,73.601,1547646903164
107,163.058,108.523,68.9989,1547646904153
108,170.965,104.379,68.328,1547646905174
109,163.75,101.9,67.9266,1547646906153
110,147.691,136.578,73.5412,1547646907152
111,145.164,142.715,74.5348,1547646908234
112,136.939,133.522,73.0465,1547646912302
113,136.939,133.522,73.0465,1547646913289
114,168.625,155.12,76.5432,1547646914297
115,185.142,184.634,81.3217,1547646914483
116,181.779,147.554,75.3182,1547646916302
117,230.64,128.738,72.2719,1547646917299
118,216.9,148.06,75.4002,1547646918298
119,190.936,129.316,72.3654,1547646919372
120,212.227,115.574,70.1405,1547646920334
121,190.619,148.919,75.5393,1547646921287
122,120.203,175.291,79.8091,1547646922289
123,115.164,194.535,82.9248,1547646923289
124,100.649,170.332,79.0061,1547646924296
125,121.285,139.539,74.0206,1547646929292
126,159.865,125.523,71.7513,1547646930299
127,210.457,105.355,68.4861,1547646931297
128,210.457,105.355,68.4861,1547646932387
129,215.574,79.0224,19.5112,1547646933386
130,269.273,82.7981,33.3118,1547646934302
131,238.241,106.832,68.7253,1547646935310
132,194.909,111.443,69.4717,1547646936336
133,163.318,112.67,69.6703,1547646947421
134,184.211,116.179,70.2385,1547646948441
135,151.723,139.912,74.081,1547646949467
136,169.32,157.17,76.8751,1547646950465
137,160.872,129.956,72.4691,1547646951407
138,191.428,139.446,74.0055,1547646952424
139,165.01,165.121,78.1624,1547646953393
140,165.01,165.121,78.1624,1547646954395
141,165.01,165.121,78.1624,1547646955545
142,182.03,139.553,74.0228,1547646955634
143,182.03,139.553,74.0228,1547646957523
144,186.238,131.311,72.6885,1547646958451
145,218.455,126.076,71.8409,1547646958642
146,228.666,141.958,74.4122,1547646960452
147,254.805,137.134,73.6312,1547646961528
148,233.835,163.953,77.9734,1547646961639
149,211.926,149.053,75.5609,1547646963457
150,209.388,147.062,75.2386,1547646964462
151,180.332,124.216,71.5397,1547646965567
152,163.118,109.224,69.1125,1547646965658
153,195.352,137.192,73.6405,1547646968608
154,204.104,118.509,70.6158,1547646969522
155,199.768,126.629,71.9304,1547646974540
156,209.849,158.891,77.1538,1547646975534
157,209.849,158.891,77.1538,1547646975705
158,209.849,158.891,77.1538,1547646977537
159,203.728,177.44,80.1569,1547646977714
160,161.447,130.785,72.6033,1547646979637
161,140.289,142.163,74.4454,1547646980690
162,140.289,142.163,74.4454,1547646981674
163,140.289,142.163,74.4454,1547646981783
164,141.94,147.268,75.272,1547646983613
165,170.796,103.274,68.1491,1547646984613
166,179.174,71.272,15.636,1547646985631
167,180.211,72.0409,16.0205,1547646986628
168,189.059,98.061,67.3051,1547646992899
169,197.653,95.6847,66.9204,1547646993823
170,162.867,139.03,73.9383,1547646994881
171,177.781,167.716,78.5826,1547646995889
172,177.781,167.716,78.5826,1547646996820
173,200.566,163.26,77.8611,1547646997828
174,200.566,163.26,77.8611,1547646998822
175,200.807,138.753,73.8934,1547646999826
176,177.608,121.356,71.0767,1547647000834
177,160.903,137.637,73.7127,1547647001891
178,160.903,137.637,73.7127,1547647002890
179,145.231,139.154,73.9583,1547647008830
180,111.027,191.628,82.4541,1547647009838
181,137.735,199.093,83.6626,1547647010823
182,146.877,204.102,84.4736,1547647011010
183,160.009,203.883,84.4382,1547647012818
184,146.487,160.146,77.357,1547647013879
185,166.867,107.092,68.7674,1547647014819
186,104.8,134.198,73.1558,1547647015828
187,104.313,169.208,78.8242,1547647016844
188,94.4078,164.397,78.0453,1547647034867
189,130.947,177.868,80.2263,1547647035858
190,166.901,209.09,85.2812,1547647036850
191,188.606,181.273,80.7776,1547647037023
192,181.828,159.692,77.2835,1547647038886
193,181.828,159.692,77.2835,1547647039861
194,206.845,110.608,69.3365,1547647040853
195,179.005,144.513,74.8259,1547647041845
196,146.967,137.84,73.7456,1547647042847
197,140.451,132.792,72.9282,1547647043954
198,143.941,132.761,72.9232,1547647045051
199,152.152,182.116,80.9141,1547647046146
200,173.821,165.177,78.1715,1547647047174
201,190.903,143.252,74.6217,1547647048258
202,205.608,194.315,82.8891,1547647049243
203,205.608,194.315,82.8891,1547647050189
204,181.8,185.517,81.4646,1547647050354
205,174.122,148.351,75.4473,1547647052189
206,174.122,148.351,75.4473,1547647053353
207,164.371,127.125,72.0108,1547647054433
208,162.743,140.191,74.1261,1547647055355
209,176.127,100.074,67.631,1547647056359
210,195.562,105.05,68.4366,1547647057364
211,195.562,105.05,68.4366,1547647058356
212,195.562,105.05,68.4366,1547647059351
213,202.479,94.81,66.7788,1547647060350
214,235.225,100.289,67.6658,1547647061354
215,232.034,99.2727,67.5013,1547647062359
216,254.596,90.7584,66.1228,1547647063347
217,266.925,91.4296,66.2315,1547647064416
218,237.316,108.581,69.0084,1547647065433
219,237.702,144.274,74.7873,1547647066515
220,239.078,120.102,70.8737,1547647067457
221,205.272,120.464,70.9323,1547647068438
222,184.912,165.278,78.1878,1547647069446
223,205.322,149.855,75.6908,1547647072520
224,179,122.287,71.2275,1547647073571
225,168.929,122.552,71.2704,1547647074553
226,199.046,124.925,71.6545,1547647075522
