ID,DATA,RISK,TIME_MS
0,73.653,54.2845,1547646778352
1,75.0176,50.2818,1547646778414
2,34.8007,83.0968,1547646780422
3,262.347,93.0799,1547646782406
4,134.997,69.6751,1547646782520
5,167.752,75.6949,1547646783631
6,167.435,75.6368,1547646785433
7,208.648,83.211,1547646786362
8,201.55,81.9065,1547646787360
9,187.755,79.3712,1547646788349
10,187.755,79.3712,1547646789344
11,145.169,71.5445,1547646790355
12,134.629,69.6075,1547646791357
13,95.98,16.6002,1547646791533
14,95.98,16.6002,1547646791715
15,56.5607,72.5276,1547646792710
16,43.6001,78.8228,1547646793714
17,107.183,45.8911,1547646795535
18,112.403,58.6523,1547646797362
19,143.41,71.2213,1547646797544
20,143.41,71.2213,1547646798538
21,194.409,80.594,1547646800346
22,194.409,80.594,1547646801335
23,236.472,88.3245,1547646802346
24,236.472,88.3245,1547646803348
25,185.653,78.9849,1547646804328
26,204.454,82.4402,1547646804518
27,204.454,82.4402,1547646804708
28,196.544,80.9864,1547646806528
29,178.027,77.5833,1547646808341
30,158.94,74.0755,1547646809333
31,187.45,79.3151,1547646810352
32,208.623,83.2065,1547646811351
33,197.637,81.1874,1547646812332
34,178.232,77.6211,1547646813340
35,164.979,75.1854,1547646813540
36,164.979,75.1854,1547646814537
37,141.49,70.8683,1547646816383
38,121.672,67.2261,1547646817477
39,141.925,70.9483,1547646818619
40,159.174,74.1184,1547646819718
41,174.654,76.9633,1547646820824
42,193.809,80.4838,1547646820975
43,234.1,87.8886,1547646821075
44,217.94,84.9188,1547646822993
45,228.875,86.9285,1547646824822
46,193.454,80.4186,1547646825750
47,217.787,84.8905,1547646826765
48,163.89,74.9851,1547646827770
49,155.229,73.3935,1547646828773
50,137.804,70.191,1547646829823
51,149.674,72.3725,1547646830822
52,109.457,51.4514,1547646831777
53,119.024,66.7395,1547646832844
54,109.399,51.3086,1547646833820
55,120.057,66.9294,1547646834770
56,142.216,71.0019,1547646835923
57,116.937,66.356,1547646836988
58,116.937,66.356,1547646838004
59,107.722,47.2103,1547646839085
60,127.351,68.27,1547646840038
61,114.184,63.0042,1547646840955
62,96.5857,18.6191,1547646841924
63,147.302,71.9366,1547646842928
64,143.639,71.2634,1547646844025
65,131.912,69.1081,1547646845164
66,149.813,72.398,1547646846122
67,126.877,68.1828,1547646846221
68,142.778,71.1052,1547646847249
69,145.993,71.6961,1547646849253
70,148.367,72.1324,1547646850355
71,118.845,66.7067,1547646851328
72,171.021,76.2958,1547646852258
73,129.502,68.6652,1547646853271
74,180.2,77.9827,1547646854279
75,186.304,79.1045,1547646855277
76,175.665,77.1492,1547646856281
77,166.946,75.5469,1547646857285
78,178.597,77.6881,1547646858289
79,128.434,68.469,1547646859312
80,142.691,71.0891,1547646860315
81,175.465,77.1126,1547646861317
82,141.29,70.8316,1547646862320
83,126.273,68.0719,1547646863251
84,138.685,70.3529,1547646864260
85,121.042,67.1105,1547646865324
86,102.305,33.9672,1547646866299
87,95.8939,16.3129,1547646867300
88,90.2915,2.36161,1547646868373
89,81.8496,30.2413,1547646869322
90,99.2671,26.5419,1547646870257
91,105.848,42.6289,1547646871278
92,166.17,75.4042,1547646872355
93,166.58,75.4795,1547646873383
94,167.041,75.5644,1547646874318
95,148.956,72.2405,1547646875268
96,142.696,71.09,1547646876271
97,93.3484,7.82792,1547646877282
98,91.3314,1.10461,1547646878425
99,98.952,25.7716,1547646879550
100,115.169,66.0311,1547646879651
101,115.169,66.0311,1547646880599
102,117.709,66.4979,1547646882454
103,126.581,68.1284,1547646883485
104,134.155,69.5204,1547646884565
105,119.717,66.8669,1547646885525
106,98.2836,24.1376,1547646886615
107,98.2836,24.1376,1547646886893
108,126.285,68.0741,1547646887985
109,126.285,68.0741,1547646888882
110,135.744,69.8124,1547646888988
111,128.942,68.5624,1547646889986
112,132.065,69.1364,1547646891799
113,160.588,74.3783,1547646893798
114,138.009,70.2287,1547646894980
115,118.744,66.688,1547646897078
116,118.663,66.6732,1547646897257
117,117.447,66.4497,1547646898221
118,117.447,66.4497,1547646900133
119,89.9954,3.34866,1547646900341
120,89.9954,3.34866,1547646901305
121,88.9244,6.91865,1547646903062
122,96.231,17.4368,1547646904017
123,96.231,17.4368,1547646905020
124,87.0692,13.1027,1547646906031
125,87.0692,13.1027,1547646907013
126,116.106,66.2032,1547646908096
127,108.441,48.9678,1547646909257
128,125.244,67.8826,1547646909367
129,127.905,68.3717,1547646910413
130,177.525,77.491,1547646912236
131,155.068,73.3638,1547646913149
132,174.493,76.9338,1547646914136
133,163.329,74.882,1547646914331
134,139.951,70.5855,1547646915333
135,139.951,70.5855,1547646917147
136,96.7084,19.028,1547646918145
137,118.379,66.621,1547646919222
138,104.149,38.4761,1547646920265
139,104.149,38.4761,1547646921180
140,95.8181,16.0603,1547646922131
141,111.986,57.6329,1547646923134
142,140.874,70.7553,1547646924145
143,114.279,63.2386,1547646924334
