ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,1547646780428,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646782414,1986
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646782532,2104
3,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646783639,3211
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646785444,5016
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646786373,5945
6,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646787369,6941
7,0.983377,0.653191,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646788360,7932
8,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646789357,8929
9,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646790367,9939
10,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646791368,10940
11,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646791542,11114
12,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646791723,11295
13,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646792718,12290
14,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646793723,13295
15,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646795546,15118
16,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646797372,16944
17,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646797553,17125
18,0.909292,0.495453,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646798549,18121
19,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646800358,19930
20,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646801345,20917
21,0.930668,0.539022,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646802357,21929
22,0.941919,0.55981,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646803360,22932
23,0.941919,0.55981,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646804339,23911
24,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646804527,24099
25,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646804717,24289
26,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646806537,26109
27,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646808350,27922
28,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646809344,28916
29,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646810362,29934
30,0.986069,0.659752,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646811361,30933
