ID,DATA,RISK,TIME_MS
0,30.9068,67.1513,1547646780436
1,27.0321,71.2694,1547646782430
2,30.0077,68.1068,1547646782557
3,44.0619,77.567,1547646783666
4,33.8147,44.9884,1547646785464
5,35.5898,25.4134,1547646786392
6,37.5091,10.3343,1547646787389
7,42.7498,72.6105,1547646788382
8,44.5383,79.3668,1547646789381
9,44.8015,80.3613,1547646790390
10,44.3654,78.7137,1547646791389
11,44.3654,78.7137,1547646791564
12,46.7215,87.6146,1547646791741
13,44.0908,77.6763,1547646792738
14,44.0908,77.6763,1547646793744
15,39.3649,41.0853,1547646795566
16,39.9994,50.4223,1547646797393
17,41.9224,69.4846,1547646797576
18,41.253,66.9556,1547646798572
19,42.4611,71.5197,1547646800377
20,43.4802,75.3695,1547646801365
21,42.2725,70.8074,1547646802381
22,38.627,30.2265,1547646803380
23,36.8461,2.99347,1547646804358
24,34.5631,36.7357,1547646804547
25,33.9939,43.0119,1547646804739
26,32.6168,58.1979,1547646806560
27,31.8935,66.1026,1547646808370
28,31.5045,66.516,1547646809364
29,30.6783,67.3941,1547646810385
30,31.2656,66.77,1547646811380
31,31.628,66.3848,1547646812364
32,35.5553,25.7936,1547646813376
33,37.6622,13.4107,1547646813571
34,37.7786,15.7516,1547646814565
35,37.3682,7.50077,1547646816413
36,37.0368,0.839351,1547646817513
37,33.3159,50.4887,1547646818651
38,32.0318,64.6489,1547646819752
39,31.659,66.3518,1547646820858
40,34.4771,37.684,1547646821006
41,36.9193,1.52209,1547646821108
42,40.449,57.0391,1547646823025
43,40.8286,62.6255,1547646824857
44,42.6581,72.2638,1547646825783
45,42.6581,72.2638,1547646826796
46,40.3952,56.2476,1547646827802
47,43.7413,76.3561,1547646828803
48,43.0932,73.9077,1547646829854
49,41.1711,66.6464,1547646830857
50,35.896,22.0364,1547646831811
51,38.6221,30.1552,1547646832875
52,36.5439,9.06792,1547646833850
53,36.1759,16.4653,1547646834802
54,38.869,33.7873,1547646835955
55,38.4345,27.3947,1547646837022
56,36.5894,8.15372,1547646838039
57,38.911,34.4054,1547646839116
58,40.9578,64.5255,1547646840072
59,39.9675,49.9526,1547646840985
60,48.1886,93.1568,1547646841954
61,46.9106,88.3289,1547646842959
62,42.2749,70.8162,1547646844053
63,38.9861,35.5112,1547646845194
64,40.1115,52.0717,1547646846154
65,40.1181,52.1697,1547646846250
66,34.1041,41.7968,1547646847283
67,35.5059,26.3387,1547646849286
68,34.9191,32.8093,1547646850385
69,34.3563,39.0158,1547646851361
70,31.6725,66.3375,1547646852289
71,41.6979,68.6365,1547646853302
72,43.4791,75.3657,1547646854308
