ID,DATA,RISK,TIME_MS
0,66.5657,18.2106,1547646782422
1,46.1105,94.5047,1547646782544
2,83.2753,0.886042,1547646783652
3,39.0688,90.1516,1547646785453
4,57.6796,32.7902,1547646786382
5,51.0064,97.5312,1547646787378
6,54.0044,99.3845,1547646788370
7,47.462,95.3401,1547646789369
8,51.5769,97.8839,1547646790379
9,49.1547,96.3865,1547646791379
10,49.1547,96.3865,1547646791551
11,49.1547,96.3865,1547646791731
12,47.1486,95.1464,1547646792728
13,47.1486,95.1464,1547646793731
14,43.0336,92.6026,1547646795556
15,43.0336,92.6026,1547646797383
16,35.8525,88.1633,1547646797562
17,27.7919,83.1804,1547646798559
18,27.7919,83.1804,1547646800368
19,23.8258,80.7287,1547646801355
20,32.0468,85.8108,1547646802369
21,30.4936,84.8506,1547646803370
22,28.7102,83.7481,1547646804348
23,28.7102,83.7481,1547646804535
24,35.0421,87.6624,1547646804726
25,35.0421,87.6624,1547646806547
26,46.6305,94.8261,1547646808359
27,34.5643,87.367,1547646809354
28,34.5643,87.367,1547646810374
29,38.5354,89.8219,1547646811371
30,38.5354,89.8219,1547646812351
31,39.3838,90.3464,1547646813365
32,42.7917,92.4531,1547646813557
33,28.5424,83.6444,1547646814556
34,30.6569,84.9515,1547646816402
35,23.2717,80.3862,1547646817500
36,23.3132,80.4118,1547646818639
37,21.1492,79.0741,1547646819738
38,31.8193,85.6701,1547646820846
39,36.9344,88.8322,1547646820993
40,35.9678,88.2346,1547646821095
41,43.0707,92.6255,1547646823015
42,36.0799,88.3039,1547646824847
43,28.2954,83.4917,1547646825771
44,22.0745,79.6461,1547646826785
45,29.3879,84.1671,1547646827792
46,27.1903,82.8085,1547646828794
47,34.7333,87.4715,1547646829843
48,34.7333,87.4715,1547646830846
49,40.6745,91.1443,1547646831798
50,46.2507,94.5913,1547646832864
51,42.7888,92.4513,1547646833839
52,44.4867,93.5008,1547646834791
53,44.1375,93.285,1547646835945
54,40.6917,91.1549,1547646837010
55,40.6917,91.1549,1547646838028
56,38.9511,90.0789,1547646839104
57,42.6373,92.3576,1547646840058
58,48.816,96.1771,1547646840974
59,48.816,96.1771,1547646841943
60,45.7362,94.2733,1547646842947
61,55.1922,21.8455,1547646844043
62,55.1922,21.8455,1547646845183
63,49.7785,96.7722,1547646846143
64,55.1087,21.4784,1547646846240
65,52.3386,98.3547,1547646847271
66,50.5736,97.2637,1547646849275
67,39.8049,90.6067,1547646850374
68,45.5308,94.1463,1547646851349
69,34.094,87.0763,1547646852278
70,24.6831,81.2587,1547646853290
71,24.6831,81.2587,1547646854299
72,28.6848,83.7324,1547646855300
73,36.1481,88.3461,1547646856301
74,35.516,87.9553,1547646857306
75,39.0692,90.1518,1547646858310
76,38.2269,89.6312,1547646859335
77,36.57,88.6069,1547646860335
78,37.7964,89.3651,1547646861339
79,54.2245,99.5206,1547646862340
80,61.446,49.3623,1547646863272
81,61.5385,49.7696,1547646864282
82,59.5581,41.0556,1547646865344
83,51.0409,97.5525,1547646866318
84,51.0409,97.5525,1547646867319
85,52.0659,98.1862,1547646868395
86,57.89,33.7159,1547646869340
87,59.005,38.6221,1547646870280
88,54.0192,99.3937,1547646871299
89,49.9259,96.8633,1547646872378
90,34.2249,87.1572,1547646873406
91,15.7227,75.7195,1547646874339
92,18.6408,77.5234,1547646875291
93,19.1833,77.8587,1547646876293
94,32.9823,86.3891,1547646877304
95,32.9823,86.3891,1547646878446
96,26.0852,82.1254,1547646879571
97,37.3278,89.0754,1547646879674
98,37.3278,89.0754,1547646880619
99,42.8049,92.4612,1547646882479
100,47.3879,95.2944,1547646883509
101,47.3879,95.2944,1547646884585
102,46.0718,94.4807,1547646885546
103,65.5879,19.3281,1547646886640
104,54.6478,99.7823,1547646886914
105,54.6478,99.7823,1547646888006
106,48.3685,95.9005,1547646888902
107,48.3685,95.9005,1547646889008
108,52.1246,98.2225,1547646890009
109,37.9846,89.4814,1547646891818
110,22.4825,79.8983,1547646893816
111,27.8261,83.2016,1547646895003
112,27.8261,83.2016,1547646897097
113,27.8261,83.2016,1547646897276
114,41.6836,91.768,1547646898243
115,41.6836,91.768,1547646900155
116,41.6836,91.768,1547646900363
117,38.7309,89.9427,1547646901326
118,49.7452,96.7516,1547646903081
119,54.0227,99.3959,1547646904037
120,62.6132,54.4982,1547646905041
121,48.1633,95.7737,1547646906050
122,49.5887,96.6548,1547646917169
123,49.5887,96.6548,1547646918166
124,47.9617,95.6491,1547646919240
125,49.225,96.43,1547646920285
126,49.225,96.43,1547646921201
127,36.7955,88.7463,1547646922152
128,36.7955,88.7463,1547646923153
129,42.6162,92.3446,1547646924167
130,41.964,91.9414,1547646924355
131,33.2257,86.5395,1547646925356
132,43.7362,93.0369,1547646927168
133,61.2025,48.2911,1547646928169
134,64.1499,61.2594,1547646929161
135,57.1416,30.423,1547646930160
136,60.478,45.1034,1547646931167
137,46.3252,94.6374,1547646932257
138,46.3252,94.6374,1547646933341
139,26.4724,82.3648,1547646934258
140,23.8805,80.7625,1547646935180
141,31.4049,85.4139,1547646936203
142,31.4049,85.4139,1547646937215
143,40.5939,91.0944,1547646938182
144,41.1424,91.4335,1547646939173
145,43.6732,92.998,1547646940182
146,43.9105,93.1446,1547646941180
147,44.1425,93.2881,1547646942175
148,45.7608,94.2885,1547646943178
149,45.7608,94.2885,1547646944184
150,43.5547,92.9247,1547646945167
151,43.5547,92.9247,1547646946165
152,52.8153,98.6495,1547646947290
153,52.8153,98.6495,1547646948390
154,52.8153,98.6495,1547646949422
155,42.2132,92.0954,1547646950419
156,42.2132,92.0954,1547646951358
157,36.7386,88.7111,1547646952311
158,32.6983,86.2135,1547646953292
159,47.3726,95.2849,1547646954266
160,41.3554,91.5652,1547646955417
161,53.731,99.2155,1547646955593
162,56.2058,26.3054,1547646956576
163,56.2058,26.3054,1547646958386
164,54.0884,99.4365,1547646958502
165,40.7259,91.176,1547646959508
166,40.7259,91.176,1547646961390
167,37.8039,89.3697,1547646961581
168,38.9895,90.1026,1547646962510
169,47.0761,95.1016,1547646964322
170,46.6713,94.8513,1547646965438
171,42.3298,92.1675,1547646965615
