ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,2.06461,8.56877,15.7156,1547646329647
1,2.06461,8.56877,15.7156,1547646330729
2,208.541,152.304,76.0872,1547646331011
3,33.0637,95.6665,66.9174,1547646332847
4,128.942,86.0765,47.7368,1547646333800
5,95.0128,89.1206,61.1307,1547646334772
6,95.0128,89.1206,61.1307,1547646335782
7,114.005,124.782,71.6313,1547646336783
8,129.262,113.773,69.849,1547646336957
9,151.712,108.288,68.9609,1547646337953
10,151.712,108.288,68.9609,1547646338948
11,164.264,108.093,68.9294,1547646339948
12,188.853,113.524,69.8086,1547646340962
13,181.321,83.7075,37.3132,1547646341955
14,184.026,122.29,71.2279,1547646342956
15,176.129,121.318,71.0705,1547646343956
16,163.393,137.284,73.6556,1547646344945
17,181.377,123.2,71.3753,1547646345954
18,196.75,126.627,71.9301,1547646346955
19,182.878,83.7682,37.58,1547646347951
20,200.989,107.143,68.7755,1547646348955
21,202.625,107.254,68.7935,1547646349948
22,172.151,149.117,75.5713,1547646350951
23,153.649,188.237,81.905,1547646351955
24,120.39,198.122,83.5054,1547646352945
25,109.87,180.766,80.6954,1547646353938
26,89.6747,156.485,76.7643,1547646354957
27,60.8293,116.714,70.3251,1547646355939
28,117.989,111.86,69.5393,1547646356950
29,147.981,106.668,68.6987,1547646357945
30,174.892,89.4831,62.7258,1547646358963
31,236.266,86.3965,49.1444,1547646359949
32,265.187,91.2055,66.1952,1547646360949
33,266.446,79.475,19.7375,1547646361952
34,266.446,79.475,19.7375,1547646362953
35,266.446,79.475,19.7375,1547646363952
36,269.882,104.181,68.296,1547646364950
37,285.371,134.725,73.2412,1547646365947
38,282.455,161.854,77.6335,1547646366932
39,282.13,204.716,84.5731,1547646367948
40,262.802,190.579,82.2842,1547646368951
41,218.79,159.315,77.2224,1547646369953
42,182.108,197.022,83.3273,1547646370952
43,161.739,188.185,81.8966,1547646371948
44,181.125,130.405,72.5418,1547646372952
45,157.723,166.351,78.3616,1547646373950
46,202.475,172.848,79.4135,1547646374955
47,198.607,141.99,74.4174,1547646375946
48,205.646,160.786,77.4606,1547646376954
49,175.68,184.637,81.3222,1547646377949
50,154.33,139.246,73.9732,1547646378949
51,154.33,139.246,73.9732,1547646379956
52,112.829,176.001,79.924,1547646380950
53,112.906,144.614,74.8423,1547646381953
54,123.511,120.957,71.0121,1547646382955
55,103.911,111.1,69.4162,1547646383957
56,148.796,105.809,68.5595,1547646384960
57,148.796,105.809,68.5595,1547646385962
58,160.552,62.48,11.24,1547646386953
59,158.005,60.2074,10.1037,1547646387955
60,137.184,61.4391,10.7196,1547646388949
61,155.346,70.3357,15.1679,1547646389945
62,171.454,101.36,67.8392,1547646390955
63,196.753,108.724,69.0315,1547646391972
64,177.151,152.093,76.0532,1547646392946
65,188.085,196.501,83.2431,1547646393950
66,230.853,209.852,85.4047,1547646394948
67,214.602,198.66,83.5926,1547646395955
68,175.366,202.933,84.2843,1547646396953
69,197.287,198.444,83.5575,1547646397943
70,198.647,178.342,80.3031,1547646398957
71,175.109,148.352,75.4475,1547646399949
72,137.089,138.594,73.8676,1547646400953
73,137.089,138.594,73.8676,1547646401958
74,157.231,127.484,72.0689,1547646402958
75,172.263,121.049,71.027,1547646403957
76,162.394,102.029,67.9475,1547646404955
77,157.037,110.927,69.3882,1547646405949
78,183.709,123.455,71.4164,1547646406942
79,186.181,124.294,71.5524,1547646443950
80,171.38,106.331,68.644,1547646444958
81,180.004,83.3506,35.7429,1547646445954
82,191.119,83.6364,37,1547646446952
83,191.119,83.6364,37,1547646447954
84,174.573,61.819,10.9095,1547646448955
85,210.437,72.3306,16.1653,1547646449950
86,219.586,76.6254,18.3127,1547646450960
87,207.854,93.5484,66.5745,1547646451955
88,221.957,120.892,71.0015,1547646452953
89,250.188,120.875,70.9987,1547646453956
90,228.495,122.957,71.336,1547646454956
91,250.761,107.457,68.8263,1547646455954
92,251.853,145.015,74.9072,1547646456951
93,230.963,132.43,72.8696,1547646457947
94,247.65,149.309,75.6023,1547646458951
95,238.233,134.801,73.2535,1547646459946
96,233.809,140.533,74.1816,1547646460956
97,250.969,90.4874,66.0789,1547646461955
98,221.869,92.8818,66.4666,1547646462949
99,206.64,101.717,67.8971,1547646463948
100,201.846,147.194,75.2599,1547646464955
101,166.508,190.442,82.262,1547646465947
102,173.907,218.679,86.8337,1547646466935
103,191.237,218.698,86.8368,1547646467947
104,171.805,200.734,83.9283,1547646468957
105,215.1,160.677,77.4429,1547646469953
106,238.34,119.676,70.8047,1547646470947
107,213.571,89.6564,63.4881,1547646471949
108,238.052,72.7059,16.353,1547646472948
109,238.052,72.7059,16.353,1547646473951
110,239.091,69.7324,14.8662,1547646474941
111,207.952,65.4773,12.7386,1547646475947
112,200.785,60.5879,10.2939,1547646476950
113,193.269,117.282,70.4171,1547646477946
114,192.596,143.768,74.7053,1547646478947
115,193.019,176.029,79.9285,1547646479961
116,210.15,177.687,80.197,1547646480954
117,210.15,177.687,80.197,1547646481945
118,208.754,218.603,86.8215,1547646482949
119,203.114,162.194,77.6885,1547646483950
120,178.199,162.021,77.6606,1547646484947
121,151.52,179.397,80.4738,1547646485954
122,151.52,179.397,80.4738,1547646486953
123,164.155,229.071,88.5162,1547646487945
124,172.977,178.368,80.3073,1547646488960
125,180.24,220.789,87.1753,1547646489949
126,187.088,201.95,84.1253,1547646490945
127,245.196,188.667,81.9747,1547646491943
128,224.006,124.29,71.5518,1547646492942
129,208.272,141.138,74.2794,1547646493953
130,220.802,127.959,72.1457,1547646494949
131,210.984,145.956,75.0595,1547646495951
132,187.573,121.501,71.1001,1547646496955
133,173.966,132.377,72.861,1547646497960
134,173.966,132.377,72.861,1547646498952
135,163.6,129.62,72.4147,1547646499955
136,165.676,113.66,69.8307,1547646500956
