ID,DATA,RISK,TIME_MS
0,71.7692,12.2637,1547646330680
1,71.7692,12.2637,1547646330946
2,90.2608,8.86948,1547646332069
3,15.2282,75.4138,1547646333756
4,104.63,-1,1547646334679
5,56.9477,29.57,1547646335659
6,56.9508,29.5837,1547646336667
7,42.2748,92.1335,1547646336837
8,42.1811,92.0756,1547646337006
9,23.5997,80.5889,1547646338002
10,36.5139,88.5722,1547646338997
11,22.7502,80.0637,1547646340009
12,38.2275,89.6316,1547646341013
13,57.6568,32.6897,1547646342006
14,61.379,49.0675,1547646343007
15,64.2755,61.8123,1547646344003
16,73.2438,10.5785,1547646344998
17,61.6794,50.3895,1547646346006
18,48.0382,95.6963,1547646347005
19,47.9917,95.6676,1547646348003
20,32.4624,86.0677,1547646349003
21,29.6809,84.3482,1547646350000
22,30.675,84.9627,1547646351006
23,30.675,84.9627,1547646352007
24,36.1371,88.3393,1547646352994
25,31.1099,85.2316,1547646353998
26,31.1099,85.2316,1547646355005
27,40.1026,90.7907,1547646355994
28,47.2895,95.2335,1547646357000
29,53.2478,98.9168,1547646358008
30,47.4117,95.3091,1547646359015
31,50.7069,97.3461,1547646360000
32,55.4095,22.8018,1547646361002
33,48.6038,96.046,1547646362006
34,39.0968,90.1689,1547646363006
35,42.6384,92.3583,1547646364003
36,46.6973,94.8674,1547646365003
37,46.5197,94.7576,1547646365993
38,43.045,92.6096,1547646366989
39,44.5765,93.5564,1547646368002
40,33.0707,86.4437,1547646369002
41,35.547,87.9745,1547646370005
42,25.6697,81.8686,1547646371005
43,39.1909,90.2271,1547646372003
44,40.3065,90.9167,1547646373004
45,58.0644,34.4832,1547646374007
46,58.0644,34.4832,1547646375005
47,55.2595,22.1417,1547646375998
48,59.1435,39.2314,1547646377002
49,61.0867,47.7815,1547646377998
50,63.0997,56.6386,1547646379002
51,60.1928,43.8485,1547646380006
52,66.4812,18.3072,1547646380999
53,63.0819,56.5604,1547646382004
54,62.9471,55.9671,1547646383007
55,61.5222,49.6976,1547646384010
56,50.7181,97.353,1547646385012
57,39.729,90.5598,1547646386010
58,39.729,90.5598,1547646387005
59,39.729,90.5598,1547646388004
60,39.9045,90.6683,1547646388998
61,21.5801,79.3404,1547646390001
62,30.425,84.8082,1547646391018
63,30.425,84.8082,1547646392022
64,27.9766,83.2946,1547646392999
65,35.1807,87.748,1547646394005
66,32.822,86.29,1547646395000
67,35.8604,88.1682,1547646396013
68,35.8581,88.1668,1547646397008
69,49.9141,96.856,1547646398004
70,39.5502,90.4492,1547646399006
71,52.1663,98.2483,1547646399999
72,59.7401,41.8565,1547646401010
73,47.5695,95.4066,1547646402013
74,40.2526,90.8834,1547646403011
75,43.1841,92.6956,1547646404009
76,43.1841,92.6956,1547646405007
77,36.8804,88.7988,1547646405999
78,36.8804,88.7988,1547646406992
79,36.8804,88.7988,1547646408002
80,34.5034,87.3294,1547646409007
81,34.5034,87.3294,1547646410002
82,34.5034,87.3294,1547646411000
83,34.7099,87.457,1547646411998
84,34.7099,87.457,1547646413000
85,31.3788,85.3978,1547646414007
86,35,87.6363,1547646415014
87,27.8528,83.2181,1547646416002
88,24.2756,81.0067,1547646416993
89,21.6463,79.3814,1547646418011
90,34.4842,87.3175,1547646419008
91,32.8725,86.3212,1547646420002
92,40.901,91.2842,1547646420997
93,55.8486,24.734,1547646421996
94,66.2891,18.5267,1547646423005
95,59.2077,39.5137,1547646424007
96,67.0928,17.6082,1547646425012
97,67.7463,16.8614,1547646426010
98,50.1206,96.9836,1547646426993
99,49.457,96.5734,1547646427992
100,49.457,96.5734,1547646429009
101,41.4068,91.597,1547646430006
102,38.3872,89.7302,1547646430999
103,38.3872,89.7302,1547646432001
104,33.1654,86.5022,1547646433004
105,37.5769,89.2294,1547646434004
106,43.7962,93.074,1547646435007
107,41.3859,91.584,1547646435999
108,40.3799,90.9621,1547646436989
109,37.5969,89.2417,1547646437991
110,38.5479,89.8296,1547646439008
111,31.1266,85.2419,1547646440008
112,50.6807,97.3299,1547646441001
113,60.9747,47.2888,1547646477996
114,72.6213,11.29,1547646479002
115,76.7605,6.5594,1547646480014
116,80.3688,2.43567,1547646481004
117,80.3688,2.43567,1547646481999
118,65.3392,19.6124,1547646482999
119,56.7675,28.7768,1547646483998
120,42.9843,92.5721,1547646484998
121,32.8527,86.309,1547646486005
122,23.1925,80.3372,1547646487003
123,32.6698,86.1959,1547646488006
124,32.4368,86.0519,1547646489011
125,32.4368,86.0519,1547646490000
126,32.4368,86.0519,1547646490996
127,32.4368,86.0519,1547646491992
128,48.3081,95.8632,1547646492994
129,52.2272,98.2859,1547646494002
130,52.5231,98.4688,1547646495000
131,56.6782,28.3842,1547646496004
132,62.5141,54.062,1547646497010
133,53.2498,98.918,1547646498011
134,52.3359,98.3531,1547646499007
135,57.8367,33.4816,1547646500008
136,43.47,92.8724,1547646501008
137,31.738,85.6198,1547646502008
138,35.8045,88.1337,1547646503002
139,37.0158,88.8825,1547646503996
140,31.5883,85.5273,1547646505004
141,32.7377,86.2379,1547646506002
142,41.5925,91.7117,1547646507001
143,41.7411,91.8036,1547646508009
144,41.5671,91.696,1547646509008
145,55.404,22.7778,1547646510008
146,55.404,22.7778,1547646511009
147,64.6188,63.3227,1547646512007
148,61.0723,47.7182,1547646513002
149,60.2709,44.1919,1547646514005
150,68.0663,16.4956,1547646514997
151,49.4126,96.546,1547646515991
152,55.9686,25.2617,1547646516992
153,55.9686,25.2617,1547646518004
154,51.1809,97.6391,1547646519011
155,54.853,99.9091,1547646520010
156,44.5127,93.517,1547646521004
157,57.9282,33.8842,1547646522002
158,52.6507,98.5477,1547646523007
159,64.7651,63.9664,1547646524012
160,55.0993,21.4368,1547646525011
161,57.025,29.9099,1547646526007
162,51.7435,97.9869,1547646527006
163,44.5695,93.552,1547646528003
164,28.0533,83.342,1547646529005
165,39.2999,90.2945,1547646530003
166,39.2999,90.2945,1547646531005
167,37.9791,89.478,1547646532005
168,35.7957,88.1283,1547646533001
169,33.9872,87.0103,1547646533996
170,33.9872,87.0103,1547646534999
171,33.9872,87.0103,1547646535995
172,50.7421,97.3679,1547646537003
173,43.7565,93.0495,1547646538010
174,50.5094,97.224,1547646539004
175,53.3434,98.9759,1547646539997
176,47.2481,95.2079,1547646540991
177,37.728,89.3227,1547646541982
178,35.1546,87.7319,1547646542993
179,32.7359,86.2368,1547646544003
180,37.4511,89.1516,1547646545005
181,46.2403,94.5849,1547646546007
182,54.954,99.9716,1547646547002
183,51.1399,97.6137,1547646548007
184,58.0317,34.3395,1547646549002
185,50.7871,97.3957,1547646550007
186,50.7871,97.3957,1547646551002
187,45.2737,93.9874,1547646551996
188,28.8016,83.8046,1547646552998
189,42.8777,92.5062,1547646553998
190,48.7991,96.1667,1547646555004
191,48.7991,96.1667,1547646555995
192,51.2786,97.6995,1547646556999
193,55.0296,21.1301,1547646558001
194,55.3747,22.6487,1547646558993
195,46.6339,94.8282,1547646559990
196,34.1871,87.1339,1547646560994
197,27.6472,83.091,1547646562000
198,33.5119,86.7165,1547646563000
199,45.7428,94.2774,1547646564003
200,45.7428,94.2774,1547646565004
201,52.3476,98.3604,1547646565995
202,46.5591,94.782,1547646566999
203,51.7326,97.9802,1547646567999
204,47.8738,95.5947,1547646568994
205,48.5946,96.0403,1547646569994
206,53.5192,99.0846,1547646570993
207,51.2743,97.6968,1547646571990
208,45.0569,93.8533,1547646573003
209,42.8952,92.517,1547646574010
210,42.8952,92.517,1547646575007
211,44.6751,93.6173,1547646576000
212,36.0645,88.2944,1547646576992
213,36.3795,88.4891,1547646577986
