ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,1548289640164,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1548289640364,200
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548289641430,1266
3,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548289643276,3112
4,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289644217,4053
5,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289645193,5029
6,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289646193,6029
7,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289647181,7017
8,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289648316,8152
9,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289649345,9181
10,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289650366,10202
11,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289651335,11171
12,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289652297,12133
13,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289653306,13142
14,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289654313,14149
15,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289655290,15126
16,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289656280,16116
17,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289657290,17126
18,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289658290,18126
19,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289659356,19192
20,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289660366,20202
21,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289661307,21143
22,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289662299,22135
23,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289663296,23132
24,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289664288,24124
25,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289665285,25121
26,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289666272,26108
27,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289667305,27141
28,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289668326,28162
29,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289669301,29137
30,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289670311,30147
31,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289671433,31269
32,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289672401,32237
33,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289673371,33207
34,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289674425,34261
35,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289675409,35245
36,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289676373,36209
37,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289677353,37189
38,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289678368,38204
39,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289679389,39225
40,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289680365,40201
41,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289681350,41186
42,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289682352,42188
43,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289683375,43211
44,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289684365,44201
45,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289685360,45196
46,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289686353,46189
47,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289687336,47172
48,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289688334,48170
49,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289689338,49174
50,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289690335,50171
51,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289691330,51166
52,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289692331,52167
53,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289693324,53160
54,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289694328,54164
55,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289695354,55190
56,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289696370,56206
57,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289697363,57199
58,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289698341,58177
59,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289699338,59174
60,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289700337,60173
61,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289701343,61179
62,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289702349,62185
63,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289703361,63197
64,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289704403,64239
65,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289705401,65237
66,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289706418,66254
67,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289707464,67300
68,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289708446,68282
69,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289709394,69230
70,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289710363,70199
71,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289711370,71206
72,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289712466,72302
73,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289713535,73371
74,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289714510,74346
75,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289715500,75336
76,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289716560,76396
77,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289717548,77384
78,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289718583,78419
79,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289719570,79406
80,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289720592,80428
81,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289721637,81473
82,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289722623,82459
83,0.942871,0.555724,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548289723581,83417
