ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,50.8921,47.0123,3.50617,1547645917816
1,50.8921,47.0123,3.50617,1547645918898
2,241.545,96.0643,66.9818,1547645919203
3,149.097,98.1556,67.3204,1547645921008
4,312.505,100.517,67.7028,1547645921952
5,167.729,92.0936,66.339,1547645922953
6,167.729,92.0936,66.339,1547645923970
7,222.035,115.862,70.1871,1547645925046
8,219.05,110.295,69.2859,1547645925148
9,216.478,107.331,68.8059,1547645926136
10,216.478,107.331,68.8059,1547645927134
11,187.985,96.3242,67.0239,1547645928153
12,203.232,75.6112,17.8056,1547645929153
13,139.319,95.854,66.9478,1547645930139
14,139.319,95.854,66.9478,1547645931147
15,161.311,97.0078,67.1346,1547645932139
16,149.187,110.44,69.3093,1547645934146
17,167.961,114.771,70.0106,1547645934252
18,180.38,125.3,71.7153,1547645935250
19,180.38,125.3,71.7153,1547645936250
20,211.094,76.4505,18.2252,1547645937259
21,211.094,76.4505,18.2252,1547645938255
22,194.351,81.6903,28.4372,1547645939254
23,201.85,82.8144,33.3833,1547645940256
24,201.85,82.8144,33.3833,1547645941259
25,194.216,99.8061,67.5876,1547645942249
26,191.749,124.45,71.5776,1547645943251
27,179.663,148.521,75.4749,1547645944258
28,160.822,160.81,77.4644,1547645945254
29,160.822,160.81,77.4644,1547645946248
30,141.635,165.419,78.2107,1547645947252
31,122.921,186.857,81.6817,1547645948257
32,87.7276,189.83,82.163,1547645949252
33,89.9096,174.966,79.7564,1547645950253
34,89.6343,161.721,77.612,1547645951256
35,119.212,128.639,72.2558,1547645952262
36,156.647,98.6508,67.4006,1547645953262
37,156.647,98.6508,67.4006,1547645954254
38,179.001,75.0129,17.5064,1547645955259
39,177.559,75.1767,17.5883,1547645956258
40,173.199,67.0723,13.5362,1547645957258
41,178.153,83.5905,36.7982,1547645958260
42,136.349,82.7806,33.2347,1547645959253
43,159.758,91.4946,66.242,1547645960260
44,192.063,96.7294,67.0895,1547645961263
45,216.623,91.1844,66.1918,1547645962252
46,240.421,83.0346,34.3522,1547645963253
47,259.454,96.1213,66.9911,1547645964253
48,230.967,84.0888,38.9909,1547645965262
49,230.967,84.0888,38.9909,1547645966257
50,188.263,75.3504,17.6752,1547645967261
51,166.09,109.164,69.1028,1547645968255
52,149.612,99.8016,67.5869,1547645969257
53,151.41,80.4699,23.0677,1547645970259
54,182.99,81.0158,25.4694,1547645971258
55,207.32,104.848,68.4039,1547645972258
56,226.423,73.0775,16.5388,1547645973255
57,217.799,98.0718,67.3069,1547645974251
58,213.429,103.568,68.1968,1547645975254
59,180.409,108.953,69.0686,1547645976259
60,180.409,108.953,69.0686,1547645977266
61,180.409,108.953,69.0686,1547645978262
62,197.07,112.055,69.5708,1547645979250
63,189.669,122.703,71.2948,1547645980258
64,178.966,113.203,69.7567,1547645981261
65,189.457,132.219,72.8355,1547645982261
66,209.283,141.208,74.2909,1547645983253
67,216.923,117.403,70.4367,1547645984241
68,214.232,123.472,71.4192,1547645985235
69,216.635,148.731,75.5089,1547645986246
70,206.62,160.732,77.4519,1547645987259
71,206.62,160.732,77.4519,1547645988251
72,195.062,179.632,80.5118,1547645989255
73,167.852,227.472,88.2574,1547645990248
74,160.042,253.098,92.4064,1547645991251
75,163.671,276.362,96.1729,1547645992254
76,163.671,276.362,96.1729,1547645993257
77,167.301,227.248,88.2212,1547645994253
78,176.565,210.169,85.4559,1547645995245
79,176.565,210.169,85.4559,1547645996259
80,202.58,163.248,77.8592,1547645997256
81,208.837,169.852,78.9284,1547645998255
82,217.926,120.311,70.9075,1547645999260
83,231.17,155.435,76.5943,1547646000262
84,212.57,133.647,73.0667,1547646001262
85,178.015,132.171,72.8277,1547646002262
86,147.279,106.782,68.717,1547646039255
87,145.477,110.609,69.3367,1547646040256
88,130.451,100.646,67.7237,1547646042090
89,130.451,100.646,67.7237,1547646043144
90,150.491,140.771,74.2201,1547646044159
91,193.036,141.92,74.406,1547646045078
92,246.196,144.009,74.7443,1547646045272
93,250.36,181.506,80.8152,1547646046263
94,275.444,212.076,85.7647,1547646047246
95,260.796,181.731,80.8518,1547646048269
96,224.703,193.053,82.6848,1547646049273
97,231.572,193.369,82.736,1547646050270
98,223.833,184.223,81.2551,1547646051269
99,223.251,147.939,75.3806,1547646052269
100,241.508,133.593,73.0579,1547646053276
101,242.597,121.17,71.0466,1547646054276
102,204.465,104.044,68.2739,1547646055269
103,200.576,79.093,19.5465,1547646056267
104,193.01,76.969,18.4845,1547646058142
105,193.624,111.365,69.4591,1547646059095
106,211.563,119.482,70.7733,1547646060090
107,221.021,156.58,76.7797,1547646061083
108,248.934,193.738,82.7956,1547646061275
109,211.014,208.476,85.1818,1547646062273
110,187.168,191.505,82.4342,1547646063278
111,168.625,208.681,85.215,1547646064272
112,194.118,173.515,79.5215,1547646065271
113,167.094,146.18,75.0959,1547646066274
114,167.636,114.884,70.0289,1547646067275
115,167.636,114.884,70.0289,1547646068267
116,195.329,120.122,70.877,1547646069266
117,175.524,119.845,70.832,1547646070277
118,144.592,118.328,70.5865,1547646071277
119,138.402,106.062,68.6006,1547646072272
120,138.402,106.062,68.6006,1547646073276
121,164.33,108.918,69.063,1547646074275
122,144.002,96.2221,67.0074,1547646075272
123,151.436,116.34,70.2645,1547646076274
124,153.572,115.305,70.0969,1547646077271
125,182.001,100.869,67.7597,1547646079085
126,161.716,136.301,73.4963,1547646080086
127,176.802,151.107,75.8934,1547646081085
128,176.802,151.107,75.8934,1547646082089
129,176.802,151.107,75.8934,1547646082267
130,191.023,139.989,74.0935,1547646083262
131,211.857,140.782,74.2219,1547646084267
132,197.688,148.521,75.4748,1547646085266
133,171.769,126.722,71.9454,1547646086268
134,169.155,121.017,71.0219,1547646088109
135,169.155,121.017,71.0219,1547646089090
136,169.155,121.017,71.0219,1547646090088
137,151.526,101.099,67.7969,1547646091089
138,129.269,131.406,72.7038,1547646092091
139,132.637,131.623,72.739,1547646093088
140,160.725,144.09,74.7575,1547646094092
141,152.905,124.475,71.5816,1547646095166
142,161.727,102.818,68.0753,1547646096089
143,163.417,82.7809,33.2358,1547646096273
144,163.417,82.7809,33.2358,1547646097269
145,158.044,82.3886,31.51,1547646098270
146,172.065,98.5524,67.3847,1547646099276
147,172.065,98.5524,67.3847,1547646100265
148,170.181,123.596,71.4393,1547646101260
149,170.181,123.596,71.4393,1547646102269
150,192.681,124.56,71.5955,1547646103270
151,213.877,113.087,69.7379,1547646104267
152,207.079,111.644,69.5043,1547646105270
153,196.942,114.153,69.9105,1547646106273
154,216.576,102.258,67.9846,1547646107277
155,226.284,125.133,71.6882,1547646108271
156,177.283,138.053,73.7801,1547646109270
157,189.062,159.265,77.2144,1547646110273
158,189.062,159.265,77.2144,1547646111270
159,199.346,113.236,69.762,1547646112263
160,189.11,110.864,69.378,1547646113265
161,177.374,105.957,68.5835,1547646115092
162,190.186,128.253,72.1933,1547646116095
163,190.186,128.253,72.1933,1547646153292
164,171.526,116.209,70.2433,1547646154295
165,170.764,114.38,69.9473,1547646156111
166,170.764,114.38,69.9473,1547646157117
167,172.628,113.537,69.8108,1547646158108
168,159.575,109.927,69.2263,1547646159165
169,189.025,102.868,68.0834,1547646159293
170,168.953,102.249,67.9832,1547646160283
171,175.992,140.498,74.1759,1547646161294
172,175.992,140.498,74.1759,1547646162295
173,169.739,145.236,74.943,1547646163291
174,150.471,156.506,76.7677,1547646164297
175,126.489,139.29,73.9802,1547646165294
176,146.609,136.96,73.6031,1547646166291
177,145.945,142.994,74.58,1547646167294
178,165.724,156.071,76.6972,1547646168298
179,194.148,144.687,74.8541,1547646169295
180,196.442,122.946,71.3341,1547646170288
181,230.53,139.236,73.9715,1547646171292
182,231.856,103.51,68.1873,1547646172293
183,216.138,87.3295,53.2499,1547646173295
184,246.243,98.5768,67.3886,1547646174298
185,245.928,110.699,69.3512,1547646175289
186,204.836,81.7915,28.8824,1547646176289
187,183.083,90.1918,66.031,1547646177295
188,183.083,90.1918,66.031,1547646178296
189,170.625,98.4686,67.3711,1547646179295
190,121.723,100.21,67.6531,1547646180292
191,126.895,84.2896,39.8741,1547646181291
192,171.874,102.974,68.1006,1547646182289
193,173.126,110.313,69.2887,1547646183290
194,184.977,120.954,71.0116,1547646184290
195,171.648,116.109,70.2271,1547646185286
196,172.919,181.097,80.749,1547646186293
197,172.919,181.097,80.749,1547646187293
198,137.681,176.111,79.9418,1547646188293
199,139.438,163.557,77.9092,1547646189288
200,128.987,143.692,74.693,1547646190283
201,143.334,128.022,72.1559,1547646191285
202,143.334,128.022,72.1559,1547646192287
203,153.034,87.5971,54.4272,1547646193281
204,160.744,117.833,70.5063,1547646194286
205,160.744,117.833,70.5063,1547646195287
206,145.165,103.534,68.1912,1547646196295
207,143.233,103.206,68.1381,1547646197296
208,143.438,105.943,68.5813,1547646198294
209,132.669,94.0928,66.6626,1547646199292
210,132.669,94.0928,66.6626,1547646200293
211,126.484,91.4643,66.2371,1547646201293
212,138.3,99.242,67.4963,1547646202294
213,155.471,97.1868,67.1636,1547646203295
214,191.962,144.094,74.7581,1547646204295
215,190.97,160.866,77.4736,1547646205294
216,175.363,125.96,71.8221,1547646206295
217,204.858,136.265,73.4906,1547646207298
218,163.724,171.179,79.1433,1547646208291
219,159.128,116.298,70.2577,1547646209290
220,177.429,113.467,69.7995,1547646210298
221,193.055,121.182,71.0485,1547646211291
222,157.154,122.675,71.2903,1547646212290
223,185.464,110.631,69.3403,1547646213294
224,162.022,146.162,75.0929,1547646214293
225,162.022,146.162,75.0929,1547646215293
226,133.087,161.565,77.5868,1547646216289
227,149.835,182.355,80.9527,1547646217288
228,164.904,182.061,80.9052,1547646218283
229,170.65,175.882,79.9047,1547646219285
230,174.893,198.346,83.5417,1547646220287
231,175.587,175.12,79.7813,1547646221288
