ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1547645915836
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547645917826
2,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645919226
3,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645921036
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645921975
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645922976
6,0.934318,0.542372,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645923991
7,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645925070
8,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645925169
9,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645926159
10,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645927158
11,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645928177
12,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645929174
13,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645930161
14,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645931169
15,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645932166
16,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645934168
17,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645934275
18,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645935271
19,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645936275
20,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645937281
21,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645938281
22,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645939277
23,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645940280
24,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645941284
25,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645942269
26,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645943273
27,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645944282
28,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645945279
29,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645946275
30,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645947276
31,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645948279
32,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645949276
33,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645950276
34,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645951281
35,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645952289
36,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645953284
37,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645954281
38,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645955287
39,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645956283
40,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645957280
41,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645958283
42,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645959275
43,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645960284
44,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645961285
45,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645962277
46,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645963278
47,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645964277
48,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645965285
49,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645966281
50,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645967283
51,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645968279
52,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645969280
53,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645970283
54,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645971282
55,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645972281
56,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645973275
57,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645974274
58,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645975280
59,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645976285
60,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645977290
61,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645978284
62,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645979275
63,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645980285
64,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645981286
65,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645982286
66,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645983273
67,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645984261
68,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645985257
69,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645986269
70,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645987282
71,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645988274
72,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645989278
73,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645990273
74,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645991275
75,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645992277
76,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645993279
77,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645994273
78,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645995270
79,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645996283
80,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645997280
81,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645998281
82,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547645999285
83,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547646000289
84,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547646001286
85,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547646002288
86,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547646003290
87,0.802313,0.315581,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646004290
88,0.802313,0.315581,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646006093
89,0.802313,0.315581,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646007183
90,0.873418,0.427815,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646008166
91,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646009164
92,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646009275
93,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646010277
94,0.893959,0.461098,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,1547646011278
