ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1547645916847
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547645918844
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645919138
3,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645920245
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645921893
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645922830
6,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645923841
7,0.934318,0.542372,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645924932
8,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645925089
9,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645925189
10,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645926177
11,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645927184
12,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645928199
13,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645929192
14,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645930183
15,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645931189
16,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645932194
17,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645934190
18,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645934297
19,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645935291
20,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547645936294
