ID,DATA,RISK,TIME_MS
0,74.3438,9.32138,1547645918852
1,74.3438,9.32138,1547645919151
2,45.2424,93.968,1547645920260
3,62.574,54.3255,1547645921904
4,115.606,-1,1547645922841
5,73.8366,9.90107,1547645923852
6,67.3177,17.3512,1547645924943
7,64.3888,62.3106,1547645925098
8,55.5692,23.5045,1547645925199
9,40.9138,91.2922,1547645926186
10,28.1183,83.3822,1547645927195
11,28.1183,83.3822,1547645928210
12,28.4339,83.5773,1547645929202
13,28.4339,83.5773,1547645930193
14,35.5479,87.9751,1547645931198
15,42.502,92.2739,1547645933196
16,42.502,92.2739,1547645934201
17,55.3053,22.3431,1547645934307
18,55.7378,24.2464,1547645935298
19,47.2097,95.1842,1547645936302
20,39.209,90.2383,1547645937308
21,39.209,90.2383,1547645938308
22,35.8007,88.1313,1547645939308
23,26.2557,82.2308,1547645940310
24,39.17,90.2142,1547645941310
25,39.17,90.2142,1547645942301
26,46.4539,94.717,1547645943300
27,53.7815,99.2467,1547645944309
28,61.4781,49.5035,1547645945305
29,61.4781,49.5035,1547645946303
30,56.9136,29.4199,1547645947303
31,56.9136,29.4199,1547645948308
32,57.0854,30.1758,1547645949304
33,58.9364,38.3201,1547645950307
34,56.2981,26.7117,1547645951308
35,62.111,52.2884,1547645952314
36,57.3481,31.3315,1547645953311
37,57.3481,31.3315,1547645954309
38,58.9582,38.4159,1547645955313
39,57.9401,33.9366,1547645956309
40,59.2928,39.8883,1547645957308
41,59.2928,39.8883,1547645958309
42,43.3317,92.7869,1547645959304
43,43.5974,92.9511,1547645960312
44,40.2148,90.8601,1547645961311
45,44.5368,93.5318,1547645962303
46,36.7936,88.7452,1547645963304
47,35.0028,87.6381,1547645964306
48,36.8555,88.7834,1547645965311
49,36.8555,88.7834,1547645966308
50,28.9738,83.9111,1547645967312
51,28.0616,83.3471,1547645968308
52,28.0616,83.3471,1547645969310
53,39.2295,90.251,1547645970310
54,40.3796,90.9619,1547645971309
55,40.3796,90.9619,1547645972307
56,41.9911,91.9582,1547645973305
57,41.9911,91.9582,1547645974300
58,51.4304,97.7934,1547645975305
59,47.5397,95.3882,1547645976315
60,34.3044,87.2064,1547645977318
61,39.549,90.4485,1547645978310
62,33.5156,86.7188,1547645979301
63,29.3025,84.1143,1547645980310
64,34.7186,87.4624,1547645981313
65,44.5991,93.5703,1547645982312
66,44.5991,93.5703,1547645983301
67,43.1883,92.6982,1547645984287
68,56.0055,25.4243,1547645985288
69,56.0055,25.4243,1547645986303
70,52.9153,98.7113,1547645987309
71,50.4572,97.1917,1547645988302
72,49.1884,96.4074,1547645989305
73,58.8258,37.8334,1547645990300
74,58.929,38.2875,1547645991301
75,64.975,64.89,1547645992305
76,66.7098,18.0459,1547645993306
77,59.6413,41.4218,1547645994301
78,59.6413,41.4218,1547645995297
79,46.8782,94.9792,1547645996310
80,49.9897,96.9027,1547645997306
81,49.9897,96.9027,1547645998307
82,49.9897,96.9027,1547645999313
83,46.8713,94.975,1547646000314
84,45.3542,94.0371,1547646001314
85,45.3542,94.0371,1547646002314
86,53.4392,99.0352,1547646003316
87,53.4392,99.0352,1547646005133
88,53.4392,99.0352,1547646007024
89,56.6988,28.4746,1547646008092
90,56.6988,28.4746,1547646009082
91,56.6988,28.4746,1547646009193
92,57.7687,33.1821,1547646009307
93,57.7687,33.1821,1547646010309
94,57.7687,33.1821,1547646011309
95,57.7687,33.1821,1547646012312
96,47.9741,95.6567,1547646013318
97,42.4141,92.2196,1547646014320
98,36.229,88.3961,1547646015314
99,28.4766,83.6037,1547646016313
100,28.4766,83.6037,1547646017315
101,16.4988,76.1993,1547646018318
102,22.5096,79.915,1547646019314
103,20.3588,78.5854,1547646020310
104,17.037,76.532,1547646021318
105,31.5204,85.4853,1547646022317
106,35.6199,88.0196,1547646023319
107,35.6199,88.0196,1547646024316
108,35.6199,88.0196,1547646025308
109,47.8784,95.5976,1547646026306
110,47.8784,95.5976,1547646027304
111,47.5859,95.4167,1547646028315
112,47.5859,95.4167,1547646029305
113,58.3619,35.7925,1547646030297
114,58.3619,35.7925,1547646031305
115,58.3619,35.7925,1547646032313
116,46.9991,95.054,1547646033314
117,41.3326,91.5511,1547646034313
118,41.3326,91.5511,1547646035310
119,29.6222,84.3119,1547646036311
120,29.6222,84.3119,1547646037310
121,34.193,87.1375,1547646038314
122,34.193,87.1375,1547646039307
123,34.193,87.1375,1547646041138
124,34.193,87.1375,1547646043030
125,28.2487,83.4628,1547646044105
126,38.8014,89.9863,1547646045032
127,41.6949,91.775,1547646045135
128,42.0478,91.9932,1547646045322
129,46.4288,94.7014,1547646046310
130,50.8499,97.4345,1547646047300
131,39.6798,90.5293,1547646048320
132,44.4183,93.4586,1547646049325
133,44.0252,93.2156,1547646050326
134,49.2671,96.456,1547646051319
135,49.2671,96.456,1547646052321
136,53.8366,99.2808,1547646053329
137,65.0279,19.9681,1547646054328
