ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1548290157998
1,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548290159866
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290160974
3,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290161939
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290162946
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290163948
6,0.903516,0.526351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290164945
7,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290165936
8,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290166118
9,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290167112
10,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290168118
11,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290169120
12,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290170114
13,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290171108
14,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290172107
15,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290173110
16,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290174107
17,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290175112
18,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290176111
19,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290177106
20,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290178107
21,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290179107
22,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290180106
23,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290181101
24,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290182107
25,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290183113
26,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290184110
27,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290185124
28,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290186113
29,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290187117
30,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290188115
31,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290189114
32,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290190115
33,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290191110
34,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290192118
35,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290193107
36,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290194104
37,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290195110
38,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290196103
39,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290197097
40,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290198105
41,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290199106
42,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290200107
43,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290201115
44,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290202110
45,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290203116
46,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290204113
47,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290205110
48,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290206115
49,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290207114
50,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290208118
51,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290209110
52,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290210114
53,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290211115
54,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290212113
55,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290213111
56,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290214109
57,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290215119
58,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290216113
59,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290217116
60,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290218106
61,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290219096
62,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290220112
63,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290221107
64,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290222113
65,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290223119
66,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290224116
67,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290225119
68,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290226106
69,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290227098
70,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290228115
71,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290229106
72,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290230108
73,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290231118
74,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290232109
75,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290233106
76,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290234119
77,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290235117
78,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290236114
79,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290237114
80,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290238108
81,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290239111
82,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290240114
83,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290241113
84,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290242117
85,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290243114
86,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290244108
87,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290245115
88,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290246116
89,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290247106
90,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290248111
91,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290249113
92,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290250106
93,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290251109
94,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290252115
95,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290253113
96,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290254112
97,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290255114
98,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290256106
99,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290257102
100,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290258118
101,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290259110
102,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290260105
103,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290261117
104,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290262116
105,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290263112
106,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290264116
107,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290265123
108,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290266121
109,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290267119
110,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290268122
111,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290269118
112,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290270121
113,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290271107
114,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290272092
115,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290273100
116,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290274114
117,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290275114
118,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290276116
119,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290277114
120,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290278117
121,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290279118
122,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290280113
123,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290281110
124,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290282116
125,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290283112
126,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290284111
127,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290285114
128,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290286113
129,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290287108
130,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290288106
131,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290289107
132,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290290112
133,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290291117
134,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290292118
135,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290293106
136,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290294101
137,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290295092
138,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290296104
139,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290297106
140,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290298106
141,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290299109
142,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290300107
143,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290301107
144,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290302113
145,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290303110
146,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290304113
147,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290305099
148,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290306097
149,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290307110
150,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290308118
151,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290309119
152,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290310113
153,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290311115
154,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290312118
155,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290313119
156,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290314118
157,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290315114
158,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290316115
159,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290317113
160,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548290318103
161,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290319102
162,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290320110
163,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290321114
164,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290322118
165,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290323109
166,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290324110
167,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290325107
168,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290326111
169,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290327106
170,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290328094
171,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548290329105
