ID,DATA,RISK,TIME_MS
0,73.4939,54.7513,1547643248663
1,73.4939,54.7513,1547643248700
2,147.911,72.0486,1547643249765
3,60.7518,70.492,1547643250753
4,113.468,61.2542,1547643251800
5,113.378,61.0343,1547643252813
6,116.652,66.3036,1547643253814
7,105.049,40.6759,1547643254823
8,115.898,66.1651,1547643255820
9,106.579,44.4155,1547643256822
10,105.609,42.0452,1547643257822
11,132.559,69.2271,1547643258814
12,117.128,66.3911,1547643259818
13,120.252,66.9653,1547643260822
14,121.464,67.188,1547643261819
15,92.4456,4.81875,1547643262812
16,48.7347,76.3289,1547643263815
17,53.3203,74.1016,1547643264805
18,41.3955,79.8936,1547643265809
19,69.6277,66.1808,1547643266820
20,85.8038,17.3207,1547643267808
21,103.717,37.4195,1547643268819
22,104.319,38.8905,1547643269819
23,104.319,38.8905,1547643270819
24,151.923,72.7859,1547643271809
25,127.362,68.2719,1547643272810
26,127.362,68.2719,1547643273820
27,124.655,67.7744,1547643274812
28,150.952,72.6075,1547643275812
29,176.766,77.3516,1547643276819
30,171.516,76.3868,1547643277818
31,171.782,76.4356,1547643278821
32,173.671,76.7829,1547643279821
33,140.044,70.6026,1547643280817
34,123.265,67.519,1547643281818
35,83.0285,26.7831,1547643282820
36,75.6006,48.5716,1547643283804
37,74.1528,52.8184,1547643284805
38,77.0604,44.2894,1547643285818
39,75.6072,48.5522,1547643286813
40,85.62,17.9332,1547643287813
41,119.453,66.8184,1547643288815
42,122.808,67.435,1547643289817
43,179.22,77.8026,1547643290816
44,205.314,82.5982,1547643291816
45,224.93,86.2034,1547643292822
46,224.93,86.2034,1547643293808
47,223.968,86.0265,1547643294805
48,230.499,87.2269,1547643295821
49,225.839,86.3704,1547643296821
50,228.052,86.7772,1547643297813
51,219.775,85.2559,1547643298816
52,195.1,80.7211,1547643299812
53,180.961,78.1226,1547643300811
54,134.661,69.6134,1547643301818
55,108.034,47.9709,1547643302814
56,73.6935,54.1657,1547643303818
57,80.2132,35.0412,1547643304821
58,80.2132,35.0412,1547643305819
59,80.2132,35.0412,1547643306820
60,118.799,66.6982,1547643307822
61,116.97,66.362,1547643308819
62,123.138,67.4955,1547643309815
63,123.138,67.4955,1547643310817
64,151.257,72.6635,1547643311817
65,142.212,71.0011,1547643312818
66,106.279,43.6811,1547643313817
67,108.12,48.1825,1547643314817
68,106.783,44.9135,1547643315816
69,96.9992,19.9973,1547643316823
70,102.811,35.2057,1547643317818
71,121.67,67.2258,1547643318816
72,108.595,49.3431,1547643319820
73,94.3762,11.2539,1547643320818
74,120.029,66.9242,1547643321817
75,144.732,71.4642,1547643322821
76,144.732,71.4642,1547643323818
77,126.124,68.0444,1547643324813
78,126.124,68.0444,1547643325816
79,126.124,68.0444,1547643326817
80,131.444,69.0221,1547643327819
81,131.444,69.0221,1547643328816
82,131.444,69.0221,1547643329815
83,170.318,76.1665,1547643330823
84,170.318,76.1665,1547643331825
85,161.548,74.5548,1547643332815
86,165.491,75.2794,1547643333813
87,169.38,75.9942,1547643334820
88,173.65,76.7789,1547643335821
89,143.052,71.1554,1547643336823
90,148.943,72.2382,1547643337821
91,118.212,66.5903,1547643338821
92,106.141,43.3434,1547643339814
93,115.859,66.1579,1547643340811
94,100.25,28.9445,1547643341817
95,74.5243,51.7288,1547643342818
96,96.6244,18.748,1547643343823
97,134.725,69.6251,1547643344821
98,122.192,67.3217,1547643345807
99,136.607,69.9711,1547643346815
100,136.607,69.9711,1547643347814
101,135.28,69.7272,1547643348811
102,110.774,54.6694,1547643349825
103,110.774,54.6694,1547643350823
104,82.9541,27.0013,1547643351819
105,107.907,47.6626,1547643352817
106,119.487,66.8246,1547643353817
107,121.655,67.2231,1547643354819
108,120.371,66.9871,1547643355821
109,120.95,67.0935,1547643356816
110,96.5644,18.548,1547643357812
111,121.504,67.1953,1547643358818
112,122.548,67.3871,1547643359817
113,126.15,68.0493,1547643360817
114,128.58,68.4958,1547643361815
115,137.923,70.213,1547643362820
116,138.049,70.236,1547643363823
