ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547643248752
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547643249777
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547643250767
3,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643251812
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643252827
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643253829
6,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643254836
7,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643255834
8,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643256836
9,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643257832
10,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643258826
11,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643259830
12,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643260835
13,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643261831
14,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643262828
15,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643263825
16,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643264818
17,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643265821
18,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643266833
19,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643267823
20,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643268830
21,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643269831
22,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643270829
23,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643271823
24,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643272823
25,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643273831
26,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643274823
27,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643275825
28,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643276832
29,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643277829
30,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547643278831
