ID,DATA,RISK,TIME_MS
0,80.2372,2.58603,1547643249786
1,80.2372,2.58603,1547643250778
2,86.0268,4.03064,1547643251821
3,47.5274,95.3806,1547643252836
4,32.1477,85.8731,1547643253839
5,55.8173,24.5961,1547643254846
6,56.0713,25.7137,1547643255846
7,44.3992,93.4468,1547643256847
8,46.9197,95.0049,1547643257841
9,49.8321,96.8053,1547643258835
10,45.3604,94.041,1547643259839
11,31.208,85.2922,1547643260844
12,36.3717,88.4843,1547643261840
13,33.893,86.9521,1547643262837
14,24.8262,81.3471,1547643263835
15,35.1561,87.7328,1547643264827
16,34.2931,87.1994,1547643265831
17,32.8771,86.324,1547643266843
18,34.0359,87.0404,1547643267836
19,35.8192,88.1428,1547643268840
20,25.6033,81.8275,1547643269840
21,36.3415,88.4656,1547643270838
22,43.0558,92.6163,1547643271832
23,43.0558,92.6163,1547643272834
24,40.9711,91.3276,1547643273841
25,56.7622,28.7538,1547643274832
26,56.7622,28.7538,1547643275835
27,57.7942,33.2945,1547643276842
28,57.8806,33.6748,1547643277838
29,56.4278,27.2824,1547643278841
30,48.2439,95.8235,1547643279845
31,46.6568,94.8424,1547643280840
32,45.3374,94.0268,1547643281841
33,38.4836,89.7899,1547643282842
34,32.5255,86.1067,1547643283829
35,39.0283,90.1266,1547643284827
36,23.621,80.6021,1547643285839
37,28.2433,83.4595,1547643286836
38,25.732,81.907,1547643287834
39,19.5804,78.1043,1547643288836
40,17.2221,76.6464,1547643289839
41,25.7063,81.8912,1547643290839
42,39.6315,90.4995,1547643291838
43,52.3308,98.3499,1547643292841
44,67.9901,16.5827,1547643293831
45,73.1662,10.6672,1547643294828
46,73.1662,10.6672,1547643295845
47,64.7168,63.754,1547643296844
48,48.5849,96.0343,1547643297834
49,51.7787,98.0087,1547643298837
50,33.8667,86.9358,1547643299834
51,33.7117,86.84,1547643300836
52,41.8888,91.8949,1547643301839
53,41.4546,91.6265,1547643302837
54,41.3253,91.5465,1547643303842
55,45.1596,93.9169,1547643304845
56,44.9114,93.7634,1547643305841
57,39.9331,90.6859,1547643306845
58,39.9331,90.6859,1547643307846
59,39.9331,90.6859,1547643308843
60,44.4694,93.4902,1547643309835
61,30.768,85.0202,1547643310839
62,33.6514,86.8027,1547643311839
63,33.6514,86.8027,1547643312840
64,32.3776,86.0152,1547643313841
65,33.817,86.905,1547643314838
66,37.2161,89.0063,1547643315839
67,42.241,92.1126,1547643316842
68,54.6975,99.813,1547643317839
69,49.7449,96.7514,1547643318836
70,48.4842,95.972,1547643319839
71,56.7703,28.7894,1547643320840
72,60.9659,47.25,1547643321837
73,52.9286,98.7195,1547643322843
74,64.1826,61.4033,1547643323839
75,70.3522,13.8832,1547643324833
76,70.3522,13.8832,1547643325837
77,52.3823,98.3818,1547643326837
78,52.3823,98.3818,1547643327842
79,52.3823,98.3818,1547643328836
80,46.6212,94.8204,1547643329837
81,46.6212,94.8204,1547643330842
82,46.6212,94.8204,1547643331844
83,48.3627,95.897,1547643332838
84,48.3627,95.897,1547643333835
85,56.4874,27.5447,1547643334841
86,48.9991,96.2903,1547643335843
87,59.4983,40.7926,1547643336844
88,60.7228,46.1801,1547643337842
89,62.9012,55.7653,1547643338842
90,44.3818,93.436,1547643339833
91,54.0617,99.42,1547643340831
92,52.6999,98.5781,1547643341838
93,55.5386,23.3697,1547643342839
94,53.4953,99.0698,1547643343844
95,59.1805,39.394,1547643344843
96,59.5252,40.9109,1547643345832
97,64.6652,63.527,1547643346836
98,55.3549,22.5615,1547643347837
99,52.9812,98.752,1547643348832
100,52.9812,98.752,1547643349850
101,53.2494,98.9178,1547643350843
102,60.7356,46.2368,1547643351840
103,60.7356,46.2368,1547643352838
104,46.2652,94.6003,1547643353838
105,58.0161,34.2708,1547643354841
106,51.0992,97.5886,1547643355843
107,41.644,91.7436,1547643356838
108,35.0881,87.6909,1547643357835
109,35.7767,88.1165,1547643358841
110,25.954,82.0443,1547643359838
111,24.1904,80.9541,1547643360838
112,38.4024,89.7397,1547643361836
113,31.2358,85.3094,1547643398838
114,29.0849,83.9798,1547643399841
115,27.3852,82.9291,1547643400842
116,30.9052,85.1051,1547643401844
117,30.9052,85.1051,1547643402841
118,23.1657,80.3206,1547643403839
119,25.1165,81.5266,1547643404838
120,39.1359,90.1931,1547643405839
121,52.3208,98.3438,1547643406847
122,52.8934,98.6977,1547643407846
123,51.1942,97.6473,1547643408837
124,49.4901,96.5939,1547643409834
125,49.4901,96.5939,1547643410833
126,49.4901,96.5939,1547643411833
127,49.4901,96.5939,1547643412834
128,37.7862,89.3587,1547643413836
129,28.2757,83.4795,1547643414836
130,30.8505,85.0712,1547643415834
131,27.5644,83.0398,1547643416837
132,30.2414,84.6947,1547643417839
133,37.0113,88.8797,1547643418840
134,38.5574,89.8355,1547643419836
135,43.3993,92.8287,1547643420837
136,52.0903,98.2012,1547643421838
137,57.3069,31.1505,1547643422836
138,61.6869,50.4226,1547643423836
139,68.2972,16.2318,1547643424831
140,62.2904,53.0779,1547643425827
141,53.9376,99.3432,1547643426839
142,40.6728,91.1432,1547643427840
143,32.0736,85.8273,1547643428840
144,24.7789,81.3179,1547643429842
145,28.5692,83.661,1547643430841
146,28.5692,83.661,1547643431838
147,34.1661,87.1209,1547643432840
148,38.2586,89.6508,1547643433837
149,44.5186,93.5206,1547643434836
