ID,DATA,RISK,TIME_MS
0,31.0189,67.0321,1547643248676
1,31.0189,67.0321,1547643248762
2,53.8376,-1,1547643249796
3,22.7482,75.8225,1547643250791
4,30.6531,67.4209,1547643251832
5,36.6099,7.74152,1547643252846
6,33.001,53.9614,1547643253850
7,30.9817,67.0716,1547643254856
8,35.1361,30.4164,1547643255858
9,35.0982,30.8348,1547643256858
10,34.3014,39.6207,1547643257853
11,38.6386,30.3967,1547643258848
12,33.6322,47.001,1547643259850
13,33.9858,43.1012,1547643260855
14,34.613,36.1849,1547643261850
15,32.7471,56.7608,1547643262846
16,31.779,66.2242,1547643263845
17,35.7681,23.4471,1547643264836
18,33.8564,44.5289,1547643265844
19,34.5185,37.2266,1547643266852
20,37.0905,1.91914,1547643267849
21,40.3335,55.3388,1547643268852
22,40.9903,-1,1547643269850
23,40.9903,-1,1547643270849
24,42.9612,73.4089,1547643271843
25,45.1964,81.8531,1547643272845
26,45.1964,81.8531,1547643273850
27,44.938,80.8769,1547643274844
28,43.8232,76.6653,1547643275846
29,39.301,40.1458,1547643276852
30,40.7037,60.787,1547643277848
31,39.2604,39.5474,1547643278852
32,36.9437,1.0319,1547643279856
33,34.4161,38.3567,1547643280851
34,37.7034,14.2392,1547643281851
35,33.8453,44.6506,1547643282852
36,31.6104,66.4035,1547643283838
37,32.3328,61.3303,1547643284839
38,34.6283,36.0159,1547643285851
39,35.8062,23.0267,1547643286846
40,29.5098,68.636,1547643287846
41,30.4133,67.6757,1547643288847
42,31.4513,66.5725,1547643289850
43,33.345,50.1684,1547643290849
44,35.6821,24.3952,1547643291849
45,43.4043,75.0827,1547643292853
46,43.4043,75.0827,1547643293840
47,43.8872,76.9073,1547643294837
48,42.4387,71.435,1547643295856
49,42.6402,72.1963,1547643296854
50,39.0758,36.8314,1547643297846
51,39.9096,49.1019,1547643298849
52,42.0526,69.9766,1547643299844
53,41.8228,69.1084,1547643300847
54,42.6842,72.3627,1547643301850
55,45.9621,84.7459,1547643302848
56,44.0628,77.5707,1547643303852
57,37.8878,17.9459,1547643304856
58,37.8878,17.9459,1547643305852
59,37.8878,17.9459,1547643306856
60,40.9548,64.4821,1547643307857
61,38.1655,23.4349,1547643308853
62,36.9252,1.40389,1547643309849
63,36.9252,1.40389,1547643310848
64,37.9251,18.6948,1547643311851
65,45.0367,81.2498,1547643312851
66,45.2548,82.0735,1547643313852
67,46.1993,85.642,1547643314850
68,48.2517,93.3955,1547643315850
69,51.176,-1,1547643316852
70,48.5593,94.5575,1547643317849
71,42.7001,72.4225,1547643318847
72,41.682,68.5765,1547643319850
73,36.1415,17.1548,1547643320850
74,31.1998,66.8399,1547643321849
75,34.8319,33.771,1547643322854
76,34.8319,33.771,1547643323848
77,37.6451,13.0666,1547643324846
78,37.6451,13.0666,1547643325847
79,37.6451,13.0666,1547643326849
