ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1548458499593
1,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1548458500640
2,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1548458501646
3,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548458502686
4,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458503708
5,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458504749
6,0.95,0.5054,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458505770
7,0.95,0.5054,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458506758
8,0.95,0.5054,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458507751
9,0.95,0.5054,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458508748
10,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458509740
11,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458510719
12,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458511726
13,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458512723
14,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458513708
15,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458514708
16,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458515721
17,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458516729
18,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458517715
19,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458518704
20,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458519704
21,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458520724
22,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458521736
23,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458522718
24,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458523705
25,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458524708
26,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458525699
27,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458526699
28,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458527701
29,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458528715
30,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458529725
31,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458530724
32,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458531743
33,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458532723
34,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458533720
35,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458534729
36,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458535737
37,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458536754
38,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458537777
39,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458538757
40,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458539765
41,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458540763
42,0.826393,0.439641,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458541767
43,0.826393,0.439641,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458542826
44,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458543818
45,0.941675,0.500971,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458544762
46,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458545813
47,0.826393,0.439641,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458546760
48,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458547808
49,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458548755
50,0.941675,0.500971,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458549756
51,0.941675,0.500971,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458550827
52,0.826393,0.439641,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458551826
53,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458552819
54,0.941675,0.500971,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458553749
55,0.941675,0.500971,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458554826
56,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458555813
57,0.826393,0.439641,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458556761
58,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458557825
59,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458558762
60,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458559763
61,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458560756
62,0.941675,0.500971,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458561752
63,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458562827
64,0.826393,0.439641,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458563768
65,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458564833
66,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458565774
67,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458566786
68,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458567791
69,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458568847
70,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458569830
71,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458570779
72,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458571842
73,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458572782
74,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458573786
75,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458574791
76,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458575850
77,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458576780
78,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458577772
79,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458578786
80,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458579786
81,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458580787
82,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458581847
83,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458582778
84,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458583778
85,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458584844
86,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458585780
87,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458586771
88,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458587774
89,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458588774
90,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458589815
91,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458590824
92,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458591778
93,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458592774
94,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458593774
95,0.792989,0.42187,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458594771
96,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458595851
97,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458596828
98,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458597816
99,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458598814
100,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458599794
101,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458600845
102,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458601775
103,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458602831
104,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458603813
105,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458604771
106,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458605775
107,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458606801
108,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458607805
109,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458608797
110,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458609841
111,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458610838
112,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458611765
113,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458612772
114,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458613771
115,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458614773
116,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458615806
117,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458616820
118,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458617836
119,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458618804
120,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458619774
121,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458620807
122,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458621814
123,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458622799
124,0.852464,0.453511,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458623796
125,0.882201,0.469331,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458624828
