ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1548458499648
1,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1548458500684
2,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1548458501688
3,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548458502723
4,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458503769
5,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458504822
6,0.95,0.5054,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458505829
7,0.95,0.5054,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458506819
8,0.95,0.5054,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458507817
9,0.95,0.5054,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458508802
10,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458509767
11,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458510739
12,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458511746
13,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458512744
14,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458513732
15,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458514727
16,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458515743
17,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458516751
18,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458517740
19,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458518724
20,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458519726
21,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458520748
22,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458521765
23,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458522740
24,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458523728
25,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458524727
26,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458525718
27,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458526723
28,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458527722
29,0.882105,0.46928,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458528740
