ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548458915361
1,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548458916418
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458917447
3,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458918504
4,1,0.532,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458919503
5,1,0.532,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458920486
6,1,0.532,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458921506
7,1,0.532,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458922527
8,1,0.532,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458923475
9,1,0.532,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458924470
10,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458925518
11,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458926457
12,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458927433
13,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458928446
14,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458929457
15,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458930453
16,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458931449
17,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458932433
18,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458933440
19,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458934448
20,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458935454
21,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458936445
22,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458937431
23,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458938433
24,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458939433
25,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458940432
26,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458941431
27,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458942436
28,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458943440
29,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458944443
30,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458945446
31,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458946434
32,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458947435
33,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458948445
34,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458949459
35,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458950467
36,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458951463
37,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458952467
38,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458953469
39,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458954476
40,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458955473
41,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458956474
42,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458957471
43,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458958473
44,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458959470
45,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458960471
46,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548458961467
47,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458962469
48,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458963469
49,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458964470
50,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458965474
51,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458966468
52,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458967465
53,0.884628,0.470622,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1548458968464
