ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1548463712470
1,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1548463713578
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548463714638
3,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548463715751
4,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463716836
5,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463718672
6,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463718887
7,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463719977
8,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463721869
9,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463722088
10,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463723176
11,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463725042
12,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463725254
13,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463726349
14,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463728227
15,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463728494
16,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463729588
17,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463731413
18,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463731557
19,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463732652
20,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463734610
21,0.807102,0.398978,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463734830
22,0.870792,0.430462,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463735926
23,0.870792,0.430462,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463737802
24,0.943726,0.49603,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463738021
25,0.874701,0.45975,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463738123
26,0.874701,0.45975,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463739996
27,0.874701,0.45975,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463741987
28,0.874701,0.45975,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463742747
29,0.874701,0.45975,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463742845
30,0.908777,0.47766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463744190
31,0.913118,0.483698,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463746203
32,0.913118,0.483698,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463746383
33,0.913118,0.483698,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463747507
34,0.888346,0.470576,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463749461
35,0.870792,0.430462,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463749612
36,0.870792,0.430462,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463750737
37,0.870792,0.430462,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463752710
