ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,1548463712470,0
1,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1548463713578,1108
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548463714638,2168
3,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548463715751,3281
4,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463716836,4366
5,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463718672,6202
6,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463718887,6417
7,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463719977,7507
8,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463721869,9399
9,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463722088,9618
10,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463723176,10706
11,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463725042,12572
12,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463725254,12784
13,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463726349,13879
14,0.937922,0.479766,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463728227,15757
15,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463728494,16024
16,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463729588,17118
17,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463731413,18943
18,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463731557,19087
19,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463732652,20182
20,0.869321,0.444675,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463734610,22140
21,0.807102,0.398978,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463734830,22360
22,0.870792,0.430462,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463735926,23456
23,0.870792,0.430462,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463737802,25332
24,0.943726,0.49603,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463738021,25551
25,0.874701,0.45975,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463738123,25653
26,0.874701,0.45975,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463739996,27526
27,0.874701,0.45975,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548463741987,29517
