ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,1548462933664,0
1,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1548462934725,1061
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548462935789,2125
3,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1548462936841,3177
4,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462937957,4293
5,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462939921,6257
6,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462940166,6502
7,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462941270,7606
8,0.915964,0.43746,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462943147,9483
9,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462943296,9632
10,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462943419,9755
11,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462944383,10719
12,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462945376,11712
13,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462946383,12719
14,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462947384,13720
15,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462948371,14707
16,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462949389,15725
17,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462950394,16730
18,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462951386,17722
19,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462952391,18727
20,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462953393,19729
21,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462954388,20724
22,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462955380,21716
23,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462956389,22725
24,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462957410,23746
25,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462958391,24727
26,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462959377,25713
27,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462960386,26722
28,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462961373,27709
29,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462962389,28725
30,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462963410,29746
31,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462964400,30736
32,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462965392,31728
33,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462966386,32722
34,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462967401,33737
35,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462968429,34765
36,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462969439,35775
37,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462970437,36773
38,0.899105,0.45038,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1548462971446,37782
