ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,247355145,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,247356173,1028
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,247357156,2011
3,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247358178,3033
4,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247359189,4044
5,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247360198,5053
6,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247361206,6061
7,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247362210,7065
8,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247363194,8049
9,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247364187,9042
10,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247365175,10030
11,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247366180,11035
12,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247367181,12036
13,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247368175,13030
14,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247369174,14029
15,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247370177,15032
16,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247371176,16031
17,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247372175,17030
18,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247373177,18032
19,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247374179,19034
20,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247375177,20032
21,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247376176,21031
22,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247377186,22041
23,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247378184,23039
24,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247379176,24031
25,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247380176,25031
26,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247381176,26031
27,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247382175,27030
28,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247383174,28029
29,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247384174,29029
30,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247385181,30036
31,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247386182,31037
32,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247387179,32034
33,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247388175,33030
34,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247389171,34026
35,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247390175,35030
36,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247391177,36032
37,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247392177,37032
38,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247393173,38028
39,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247394175,39030
40,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247395181,40036
41,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247396183,41038
42,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247397181,42036
43,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247398176,43031
44,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247399174,44029
45,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247400172,45027
46,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247401173,46028
47,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247402178,47033
48,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247403180,48035
49,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247404175,49030
50,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247405176,50031
51,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247406179,51034
52,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247407179,52034
53,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247408176,53031
54,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247409177,54032
55,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247410174,55029
56,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247411175,56030
57,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247412175,57030
58,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247413173,58028
59,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247414180,59035
60,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247415181,60036
61,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247416178,61033
62,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247417185,62040
63,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247418178,63033
64,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247419174,64029
65,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247420174,65029
66,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247421176,66031
67,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247422177,67032
68,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247423183,68038
69,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247424178,69033
70,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247425173,70028
71,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247426183,71038
72,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247427191,72046
73,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247428182,73037
74,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247429178,74033
75,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247430176,75031
76,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247431174,76029
77,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247432172,77027
78,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247433178,78033
79,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247434179,79034
80,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247435202,80057
81,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247436207,81062
82,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247437198,82053
83,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,247438196,83051
84,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,247439201,84056
85,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,247440203,85058
86,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,247441207,86062
87,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,247442206,87061
88,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,247443205,88060
89,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,247444205,89060
90,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,247445206,90061
91,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247446206,91061
92,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247447205,92060
93,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247448207,93062
94,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247449207,94062
95,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247450208,95063
96,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247451209,96064
97,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247452205,97060
98,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247453196,98051
99,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247454199,99054
100,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247455201,100056
101,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247456205,101060
102,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247457203,102058
103,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247458201,103056
104,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247459201,104056
105,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247460203,105058
106,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247461204,106059
107,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247462206,107061
108,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247463207,108062
109,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247464203,109058
110,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247465202,110057
111,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247466202,111057
112,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247467206,112061
113,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247468200,113055
114,0.799511,0.00307851,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247469205,114060
115,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247470206,115061
116,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247471186,116041
117,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247472178,117033
118,0.860847,0.00466583,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247473171,118026
119,0.860847,0.00466583,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247474200,119055
120,0.860847,0.00466583,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247475208,120063
121,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247476209,121064
122,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247477182,122037
123,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247478174,123029
124,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247479174,124029
125,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247480175,125030
126,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247481173,126028
127,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247482174,127029
128,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247483174,128029
129,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247484176,129031
130,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247485178,130033
131,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247486176,131031
132,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247487178,132033
133,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247488175,133030
134,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247489177,134032
135,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247490181,135036
136,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247491184,136039
137,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247492183,137038
138,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,247493181,138036
139,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247494174,139029
140,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247495175,140030
141,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247496178,141033
142,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247497179,142034
143,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247498177,143032
144,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247499176,144031
145,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247500176,145031
146,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247501176,146031
147,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247502179,147034
148,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247503177,148032
149,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247504174,149029
150,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247505174,150029
151,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247506177,151032
152,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247507180,152035
153,0.902637,0.0052125,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,247508178,153033
154,0.943015,0.00576885,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247509178,154033
155,0.943015,0.00576885,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247510205,155060
156,0.943015,0.00576885,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247511217,156072
157,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247512213,157068
158,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247513190,158045
159,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247514186,159041
160,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247515174,160029
161,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247516183,161038
162,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247517197,162052
163,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247518184,163039
164,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247519178,164033
165,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247520179,165034
166,0.860847,0.00466583,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247521183,166038
167,0.860847,0.00466583,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247522203,167058
168,0.860847,0.00466583,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247523214,168069
169,0.902637,0.0052125,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247524214,169069
170,0.902637,0.0052125,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247525186,170041
171,0.902637,0.0052125,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247526181,171036
172,0.902637,0.0052125,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247527179,172034
173,0.902637,0.0052125,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247528175,173030
174,0.902637,0.0052125,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247529175,174030
175,0.902637,0.0052125,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247530177,175032
176,0.902637,0.0052125,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,247531180,176035
177,0.762245,0.00380417,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,247532181,177036
178,0.762245,0.00380417,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,247533203,178058
179,0.762245,0.00380417,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,247534210,179065
180,0.900876,0.00512292,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,247535203,180058
181,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,CRITICAL STATE,247536177,181032
182,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,CRITICAL STATE,247537198,182053
183,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,CRITICAL STATE,247538196,183051
184,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,CRITICAL STATE,247539202,184057
185,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,NORMAL STATE,247540199,185054
186,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,NORMAL STATE,247541197,186052
187,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,NORMAL STATE,247542202,187057
188,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,NORMAL STATE,247543203,188058
189,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,NORMAL STATE,247544203,189058
190,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,NORMAL STATE,247545200,190055
191,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,NORMAL STATE,247546196,191051
192,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,NORMAL STATE,247547201,192056
193,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,CRITICAL STATE,247548203,193058
194,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,CRITICAL STATE,247549200,194055
195,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,CRITICAL STATE,247550201,195056
196,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,CRITICAL STATE,247551196,196051
197,0.81,0.00372009,TRUE,FALSE,FALSE,FALSE,CRITICAL STATE,247552195,197050
198,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247553202,198057
199,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247554202,199057
200,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247555204,200059
201,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247556204,201059
202,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247557207,202062
203,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247558207,203062
204,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247559203,204058
205,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247560204,205059
206,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247561204,206059
207,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247562201,207056
208,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247563204,208059
209,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247564205,209060
210,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247565206,210061
211,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247566198,211053
212,0.888797,0.00468238,TRUE,TRUE,FALSE,FALSE,CRITICAL STATE,247567195,212050
213,0.954461,0.00582469,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247568193,213048
214,0.954461,0.00582469,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247569195,214050
215,0.954461,0.00582469,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247570196,215051
216,0.954461,0.00582469,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247571199,216054
217,0.954461,0.00582469,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247572200,217055
218,0.954461,0.00582469,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,247573199,218054
219,0.976242,0.00636318,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247574203,219058
220,0.976242,0.00636318,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247575209,220064
221,0.976242,0.00636318,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247576216,221071
222,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247577213,222068
223,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247578180,223035
224,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247579172,224027
225,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247580180,225035
226,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247581182,226037
227,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,247582180,227035
228,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247583180,228035
229,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247584176,229031
230,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247585177,230032
231,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247586179,231034
232,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247587176,232031
233,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247588174,233029
234,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247589174,234029
235,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247590177,235032
236,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247591178,236033
237,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247592179,237034
238,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247593177,238032
239,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247594177,239032
240,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247595180,240035
241,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247596180,241035
242,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247597174,242029
243,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247598172,243027
244,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247599176,244031
245,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247600180,245035
246,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247601185,246040
247,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247602180,247035
248,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247603179,248034
249,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247604181,249036
250,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247605182,250037
251,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247606184,251039
252,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247607185,252040
253,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247608183,253038
254,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247609175,254030
255,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247610178,255033
256,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247611178,256033
257,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247612178,257033
258,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247613176,258031
