first_timestamp,second_timestamp,diff,average,std_dev
"1,5472468410134E+018","1,54724684101349E+018",91648,"115026,798679868","16519,1269010175"
"1,54724684203882E+018","1,5472468420389E+018",80128,,
"1,54724684306563E+018","1,54724684306571E+018",77568,,
"1,54724684408679E+018","1,54724684408691E+018",116480,,
"1,54724684508431E+018","1,54724684508439E+018",81664,,
"1,547246846078E+018","1,54724684607811E+018",108800,,
"1,54724684708383E+018","1,54724684708393E+018",106496,,
"1,54724684808E+018","1,54724684808008E+018",81664,,
"1,54724684908289E+018","1,54724684908298E+018",91648,,
"1,5472468500857E+018","1,54724685008579E+018",95488,,
"1,5472468510823E+018","1,54724685108239E+018",85248,,
"1,54724685208686E+018","1,547246852087E+018",141568,,
"1,54724685309492E+018","1,54724685309503E+018",117248,,
"1,54724685409435E+018","1,54724685409449E+018",140288,,
"1,54724685509288E+018","1,547246855093E+018",125952,,
"1,54724685609276E+018","1,54724685609288E+018",121088,,
"1,54724685709272E+018","1,54724685709285E+018",129536,,
"1,54724685809276E+018","1,54724685809287E+018",116224,,
"1,54724685909297E+018","1,54724685909309E+018",122624,,
"1,54724686009297E+018","1,54724686009308E+018",114944,,
"1,54724686108986E+018","1,54724686108999E+018",132096,,
"1,54724686209024E+018","1,54724686209036E+018",115200,,
"1,54724686309188E+018","1,54724686309199E+018",116224,,
"1,54724686409356E+018","1,54724686409368E+018",121600,,
"1,54724686509181E+018","1,54724686509191E+018",105728,,
"1,5472468660891E+018","1,54724686608921E+018",113664,,
"1,5472468670932E+018","1,54724686709332E+018",124672,,
"1,54724686908132E+018","1,54724686908141E+018",92672,,
"1,54724686914042E+018","1,54724686914051E+018",90880,,
"1,54724687014083E+018","1,54724687014097E+018",134400,,
"1,54724687114706E+018","1,54724687114718E+018",121856,,
"1,54724687215832E+018","1,54724687215844E+018",121344,,
"1,54724687315871E+018","1,54724687315893E+018",222208,,
"1,54724687415515E+018","1,54724687415526E+018",109568,,
"1,54724687515323E+018","1,54724687515342E+018",182272,,
"1,54724687615703E+018","1,54724687615715E+018",122112,,
"1,54724687715528E+018","1,54724687715541E+018",124416,,
"1,54724687815246E+018","1,54724687815258E+018",124672,,
"1,54724687915335E+018","1,54724687915347E+018",120576,,
"1,5472468801542E+018","1,5472468801543E+018",107520,,
"1,54724688115507E+018","1,54724688115519E+018",121344,,
"1,54724688215629E+018","1,5472468821564E+018",110592,,
"1,54724688315639E+018","1,54724688315651E+018",119808,,
"1,54724688415712E+018","1,54724688415723E+018",110080,,
"1,54724688515565E+018","1,54724688515576E+018",108288,,
"1,54724688615606E+018","1,54724688615618E+018",114688,,
"1,54724688715906E+018","1,54724688715919E+018",122880,,
"1,54724688815898E+018","1,5472468881591E+018",120320,,
"1,54724688915581E+018","1,54724688915594E+018",125952,,
"1,54724689015489E+018","1,54724689015501E+018",123392,,
"1,5472468911571E+018","1,54724689115726E+018",162304,,
"1,54724689215762E+018","1,54724689215773E+018",115456,,
"1,54724689316086E+018","1,54724689316097E+018",112384,,
"1,54724689415982E+018","1,54724689415994E+018",115200,,
"1,54724689515913E+018","1,54724689515925E+018",120832,,
"1,54724689616086E+018","1,54724689616097E+018",114688,,
"1,54724689715657E+018","1,54724689715667E+018",104704,,
