ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,93.5637,18.8898,10.5551,1547514835172
1,93.5637,18.8898,10.5551,1547514836193
2,150.507,348.574,-1,1547514837223
3,156.04,156.476,76.7627,1547514838217
4,189.236,100.924,67.7686,1547514839218
5,178.703,189.487,82.1074,1547514840219
6,178.703,189.487,82.1074,1547514841214
7,190.029,196.953,83.3162,1547514842214
8,187.624,169.189,78.8211,1547514843218
9,191.353,177.572,80.1783,1547514844219
10,191.353,177.572,80.1783,1547514845220
11,176.82,158.334,77.0636,1547514846215
12,141.711,105.871,68.5696,1547514847210
13,156.924,156.902,76.8317,1547514848215
14,193.296,120.645,70.9616,1547514849215
15,176.241,86.9408,51.5395,1547514850217
16,218.457,111.065,69.4105,1547514851218
17,247.321,129.607,72.4126,1547514852212
18,220.88,108.309,68.9643,1547514853217
19,177.788,124.743,71.6251,1547514854216
20,181.542,150.736,75.8334,1547514855215
21,152.928,140.128,74.1159,1547514856219
22,132.05,131.26,72.6803,1547514857214
23,150.051,94.1996,66.6799,1547514858216
24,193.498,90.4024,66.0652,1547514859211
25,193.191,118.163,70.5597,1547514860216
26,179.391,122.093,71.196,1547514861214
27,151.017,106.952,68.7446,1547514862212
28,172.677,116.673,70.3185,1547514863219
29,145.954,119.787,70.8227,1547514864216
30,154.691,64.1936,12.0968,1547514865216
31,168.928,72.6516,16.3258,1547514866215
32,220.697,100,67.619,1547514867209
33,204.35,100.633,67.7215,1547514868214
34,204.35,100.633,67.7215,1547514869217
35,204.35,100.633,67.7215,1547514870209
36,207.616,89.8764,64.456,1547514871213
37,208.418,90.2093,66.0339,1547514872214
38,200.657,128.845,72.2892,1547514873218
39,160.261,97.1435,67.1566,1547514874218
40,140.312,104.765,68.3906,1547514875217
41,128.174,114.346,69.9418,1547514876215
42,144.644,116.868,70.35,1547514877218
43,139.561,70.8739,15.437,1547514878219
44,154.967,82.3874,31.5045,1547514879217
45,170.774,64.4559,12.2279,1547514880219
46,172.753,100.229,67.656,1547514881213
47,173.656,122.48,71.2586,1547514882217
48,177.967,117.197,70.4033,1547514883214
49,168.425,162.173,77.6852,1547514884221
50,176.235,210.104,85.4454,1547514885211
51,176.235,210.104,85.4454,1547514886211
52,149.655,167.775,78.5921,1547514887219
53,163.538,174.33,79.6534,1547514888220
54,139.572,205.308,84.669,1547514889219
55,151.766,195.066,83.0107,1547514890221
56,174.687,163.027,77.8234,1547514891216
57,174.687,163.027,77.8234,1547514892221
58,215.011,154.924,76.5115,1547514893218
59,204.068,131.301,72.6869,1547514894219
60,210.854,113.381,69.7854,1547514895221
61,197.18,116.27,70.2532,1547514896214
62,150.185,143.41,74.6473,1547514897218
63,143.615,144.736,74.862,1547514898217
64,97.1436,158.37,77.0694,1547514899221
65,89.5736,139.683,74.0439,1547514900221
66,101.075,103.056,68.1138,1547514901217
67,120.315,115.589,70.143,1547514902216
68,92.6121,136.595,73.5439,1547514903218
69,91.9626,139.309,73.9834,1547514904216
70,147.377,166.422,78.373,1547514905219
71,172.474,199.229,83.6846,1547514906218
72,166.811,181.758,80.856,1547514907217
73,166.811,181.758,80.856,1547514908215
74,198.659,198.643,83.5898,1547514909217
75,237.992,215.507,86.3201,1547514910215
76,211.533,233.058,89.1617,1547514911218
77,190.737,246.9,91.4028,1547514912220
78,178.232,248.87,91.7218,1547514913217
79,140.387,214.963,86.2322,1547514950215
80,167.836,188.823,81.9999,1547514951218
81,191.556,137.858,73.7484,1547514952218
82,179.343,97.2421,67.1725,1547514953216
83,179.343,97.2421,67.1725,1547514954221
84,199.28,81.894,29.3335,1547514955219
85,226.144,73.6355,16.8178,1547514956219
86,187.627,65.7956,12.8978,1547514957217
87,159.885,83.7189,37.363,1547514958213
88,181.654,100.614,67.7185,1547514959216
89,173.261,82.7454,33.0797,1547514960218
90,163.104,109.719,69.1926,1547514961215
91,199.58,131.672,72.7469,1547514962216
92,199.723,131.978,72.7965,1547514963216
93,208.127,107.842,68.8887,1547514964218
94,240.644,102.884,68.086,1547514965215
95,247.947,104.939,68.4187,1547514966213
96,212.861,86.1597,48.1025,1547514967218
97,207.338,97.033,67.1387,1547514968216
98,183.439,107.463,68.8273,1547514969219
99,167.026,119.958,70.8503,1547514970217
100,151.954,105.483,68.5067,1547514971215
101,150.372,113.221,69.7597,1547514972211
102,144.51,92.3235,66.3762,1547514973213
103,133.782,89.8085,64.1573,1547514974219
104,129.268,116.759,70.3324,1547514975221
105,126.734,158.866,77.1497,1547514976219
106,124.672,171.346,79.1704,1547514977219
107,155.502,166.512,78.3877,1547514978217
108,188.426,173.45,79.511,1547514979220
109,188.426,173.45,79.511,1547514980219
110,174.829,175.279,79.8071,1547514981215
111,214.109,122.291,71.228,1547514982219
112,203.906,101.442,67.8526,1547514983222
113,194.385,120.312,70.9077,1547514984219
114,187.739,93.8581,66.6246,1547514985219
115,186.456,62.092,11.046,1547514986221
116,194.69,76.129,18.0645,1547514987218
117,194.69,76.129,18.0645,1547514988216
118,204.299,73.4202,16.7101,1547514989211
119,231.731,84.7701,41.9886,1547514990215
120,227.787,97.1803,67.1625,1547514991216
121,218.37,127.409,72.0567,1547514992218
122,218.37,127.409,72.0567,1547514993211
123,204.69,166.89,78.4489,1547514994219
124,196.21,174.343,79.6556,1547514995217
125,171.764,152.204,76.0712,1547514996214
126,151.027,154.365,76.4209,1547514997220
