ID,DATA,RISK,TIME_MS
0,76.1212,47.0446,1547514833116
1,76.1212,47.0446,1547514834138
2,221.959,85.6574,1547514835180
3,27.6923,86.5495,1547514836214
4,127.965,68.3828,1547514837241
5,115.233,66.0429,1547514838236
6,115.165,66.0303,1547514839239
7,90.5393,1.53563,1547514840238
8,103.216,36.1958,1547514841234
9,89.0369,6.54379,1547514842232
10,89.4058,5.31399,1547514843237
11,91.7581,2.52699,1547514844237
12,138.854,70.3839,1547514845238
13,139.954,70.5861,1547514846235
14,142.487,71.0516,1547514847230
15,132.137,69.1495,1547514848236
16,129.94,68.7458,1547514849234
17,75.4221,49.0952,1547514850235
18,86.6652,14.4494,1547514851237
19,87.2533,12.489,1547514852232
20,93.6761,8.92018,1547514853238
21,130.464,68.842,1547514854234
22,154.114,73.1885,1547514855234
23,154.114,73.1885,1547514856238
24,157.498,73.8104,1547514857233
25,162.759,74.7773,1547514858233
26,162.759,74.7773,1547514859231
27,159.732,74.2209,1547514860234
28,126.31,68.0786,1547514861230
29,114.414,63.5673,1547514862231
30,98.398,24.4174,1547514863240
31,99.4146,26.9023,1547514864235
32,125.465,67.9233,1547514865235
33,124.095,67.6716,1547514866232
34,106.543,44.3262,1547514867231
35,127.75,68.3432,1547514868234
36,108.985,50.297,1547514869233
37,78.3953,40.3739,1547514870229
38,76.7525,45.1926,1547514871231
39,72.583,57.4233,1547514872234
40,74.0372,53.1576,1547514873236
41,91.4413,1.47102,1547514874237
42,102.772,35.1096,1547514875236
43,110.927,55.0448,1547514876235
44,131.26,68.9883,1547514877238
45,110.894,54.9638,1547514878240
46,110.894,54.9638,1547514879236
47,110.627,54.3106,1547514880236
48,97.7838,22.916,1547514881233
49,130.948,68.931,1547514882235
50,121.009,67.1043,1547514883232
51,126.789,68.1666,1547514884237
52,165.636,75.3061,1547514885231
53,171.247,76.3374,1547514886231
54,139.949,70.5852,1547514887239
55,167.692,75.684,1547514888238
56,163.408,74.8966,1547514889239
57,147.382,71.9513,1547514890239
58,147.382,71.9513,1547514891237
59,147.382,71.9513,1547514892240
60,140.535,70.693,1547514893235
61,152.308,72.8566,1547514894239
62,132.204,69.1617,1547514895239
63,132.204,69.1617,1547514896233
64,144.515,71.4244,1547514897237
65,128.416,68.4656,1547514898238
66,141.043,70.7863,1547514899240
67,124.508,67.7474,1547514900240
68,127.265,68.2542,1547514901237
69,119.649,66.8544,1547514902236
70,139.566,70.5148,1547514903236
71,137.707,70.1733,1547514904235
72,158.326,73.9626,1547514905239
73,185.373,78.9335,1547514906240
74,198.208,81.2924,1547514907237
75,180.74,78.0819,1547514908233
76,180.74,78.0819,1547514909235
77,183.173,78.5291,1547514910235
78,183.173,78.5291,1547514911239
79,183.173,78.5291,1547514912239
80,158.287,73.9554,1547514913233
81,158.287,73.9554,1547514914232
82,158.287,73.9554,1547514915233
