ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547514834145
1,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547514835188
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514836224
3,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514837253
4,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514838248
5,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514839250
6,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514840249
7,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514841244
8,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514842242
9,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514843249
10,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514844248
11,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514845249
12,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514846244
13,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514847241
14,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514848247
15,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514849245
16,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514850247
17,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514851248
18,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514852245
19,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547514853249
20,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514854243
21,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514855248
22,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514856249
23,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514857244
24,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514858241
25,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514859242
26,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514860243
27,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514861239
28,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514862242
29,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514863250
30,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514864247
31,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514865248
32,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514866241
33,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514867240
34,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514868245
35,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514869242
36,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514870240
37,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514871240
38,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,1547514872246
