ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,514834145,0
1,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,514835188,1043
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514836224,2079
3,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514837253,3108
4,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514838248,4103
5,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514839250,5105
6,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514840249,6104
7,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514841244,7099
8,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514842242,8097
9,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514843249,9104
10,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514844248,10103
11,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514845249,11104
12,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514846244,12099
13,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514847241,13096
14,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514848247,14102
15,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514849245,15100
16,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514850247,16102
17,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514851248,17103
18,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514852245,18100
19,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,514853249,19104
20,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,514854243,20098
21,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,514855248,21103
22,0.902728,0.333148,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,514856249,22104
