ID,DATA,RISK,TIME_MS
0,85.2013,3.08717,1547514834169
1,85.2013,3.08717,1547514835213
2,104.006,-1,1547514836253
3,26.8605,82.6047,1547514837280
4,74.655,8.96568,1547514838275
5,70.7747,13.4003,1547514839276
6,66.1526,18.6828,1547514840278
7,48.2314,95.8158,1547514841272
8,60.2062,43.9074,1547514842271
9,55.0813,21.3579,1547514843276
10,56.4532,27.3941,1547514844275
11,56.1578,26.0941,1547514845277
12,57.6829,32.8047,1547514846271
13,54.933,99.9586,1547514847268
14,52.0056,98.1489,1547514848272
15,44.2123,93.3312,1547514849273
16,40.881,91.2719,1547514850276
17,39.9975,90.7258,1547514851272
18,33.8586,86.9308,1547514852271
19,36.7653,88.7276,1547514853278
20,31.4273,85.4278,1547514854273
21,31.0084,85.1688,1547514855274
22,40.6953,91.1571,1547514856275
23,40.6953,91.1571,1547514857270
24,41.5585,91.6907,1547514858267
25,39.5569,90.4534,1547514859266
26,39.5569,90.4534,1547514860273
27,46.9077,94.9975,1547514861267
28,49.1156,96.3624,1547514862269
29,49.6773,96.7096,1547514863276
30,62.8346,55.4721,1547514864275
31,55.6046,23.6602,1547514865274
32,55.2416,22.0628,1547514866267
33,57.1214,30.3343,1547514867266
34,53.9958,99.3792,1547514868269
35,34.5385,87.3511,1547514869267
36,39.9354,90.6873,1547514870265
37,42.4165,92.2211,1547514871265
38,35.9037,88.195,1547514872269
39,31.4522,85.4432,1547514873277
40,32.2848,85.9579,1547514874273
41,27.9712,83.2913,1547514875274
42,31.1868,85.2791,1547514876271
43,29.682,84.3489,1547514877276
44,44.7776,93.6807,1547514878277
45,41.7861,91.8314,1547514879276
46,41.7861,91.8314,1547514880272
47,44.3179,93.3965,1547514881272
48,34.0127,87.0261,1547514882272
49,40.7413,91.1855,1547514883271
50,23.8993,80.7741,1547514884273
51,38.036,89.5132,1547514885265
52,47.9481,95.6406,1547514886271
53,48.298,95.8569,1547514887279
54,51.0856,97.5802,1547514888277
55,55.8802,24.8727,1547514889280
56,57.0481,30.0115,1547514890275
57,49.4721,96.5827,1547514891274
58,49.4721,96.5827,1547514892276
59,49.4721,96.5827,1547514893272
60,55.7032,24.0939,1547514894277
61,56.1621,26.1132,1547514895276
62,50.0365,96.9317,1547514896273
63,50.0365,96.9317,1547514897277
64,47.342,95.2659,1547514898277
65,59.7493,41.8969,1547514899282
66,50.3816,97.145,1547514900281
67,52.9088,98.7072,1547514901273
68,61.7429,50.6689,1547514902273
69,52.5103,98.4609,1547514903275
70,43.8448,93.1041,1547514904276
71,66.3362,18.4729,1547514905275
72,62.7845,55.2516,1547514906276
73,53.0768,98.8111,1547514907273
74,59.3838,40.2886,1547514908271
75,68.8455,15.6051,1547514909274
76,68.8455,15.6051,1547514910273
77,54.0556,99.4162,1547514911276
78,54.0556,99.4162,1547514912279
79,54.0556,99.4162,1547514913272
80,41.4524,91.6251,1547514914267
81,41.4524,91.6251,1547514915272
82,41.4524,91.6251,1547514916273
83,43.1225,92.6576,1547514917275
84,43.1225,92.6576,1547514918275
85,50.8129,97.4116,1547514919271
