ID,DATA,RISK,TIME_MS
0,32.0611,64.3267,1547514833130
1,32.0611,64.3267,1547514834176
2,40.9858,64.9379,1547514835221
3,31.3221,66.7099,1547514836262
4,46.9274,88.3926,1547514837288
5,40.1087,52.0304,1547514838285
6,41.6579,68.4855,1547514839287
7,42.0245,69.8704,1547514840287
8,43.1562,74.1456,1547514841281
9,40.1548,52.7088,1547514842281
10,38.8932,34.1439,1547514843285
11,37.9118,18.4273,1547514844286
12,38.9277,34.6518,1547514845285
13,40.9662,64.6498,1547514846279
14,40.54,58.3777,1547514847276
15,37.6509,13.1835,1547514848282
16,36.458,10.7939,1547514849283
17,33.4349,49.177,1547514850285
18,30.2339,67.8664,1547514851282
19,31.4858,66.5358,1547514852282
20,35.2851,28.7729,1547514853287
21,38.6788,30.9893,1547514854282
22,38.058,21.8532,1547514855283
23,38.058,21.8532,1547514856284
24,40.2742,54.4661,1547514857279
25,41.8856,69.3457,1547514858276
26,41.8856,69.3457,1547514859276
27,40.5306,58.2391,1547514860282
28,39.2602,39.5444,1547514861276
29,43.1734,74.2105,1547514862278
30,43.1265,74.0334,1547514863286
31,40.8656,63.1695,1547514864284
32,41.2843,67.0741,1547514865283
33,39.471,42.647,1547514866277
34,37.4731,9.60981,1547514867275
35,34.9758,32.1841,1547514868279
36,36.3312,13.3428,1547514869275
37,36.4058,11.8429,1547514870273
38,31.4091,66.6173,1547514871276
39,24.4565,74.0069,1547514872282
40,27.2049,71.0858,1547514873285
41,26.0378,72.3261,1547514874282
42,26.9017,71.408,1547514875283
43,34.0898,41.9548,1547514876281
44,43.0223,73.6399,1547514877285
45,44.5177,79.289,1547514878286
46,44.5177,79.289,1547514879285
47,44.6541,79.8043,1547514880281
48,41.7138,68.6965,1547514881281
49,44.0251,77.4282,1547514882281
50,35.7965,23.134,1547514883283
51,34.7345,34.8451,1547514884282
52,38.8917,34.1223,1547514885275
53,39.0004,35.7213,1547514886281
54,39.0469,36.4057,1547514887287
55,45.9092,84.5459,1547514888287
56,43.3166,74.7516,1547514889288
57,41.3002,67.134,1547514890284
58,41.3002,67.134,1547514891284
59,41.3002,67.134,1547514892284
60,45.1555,81.6987,1547514893283
61,42.4353,71.4223,1547514894288
62,36.2638,14.6975,1547514895285
63,36.2638,14.6975,1547514896283
64,37.4194,8.53147,1547514897286
65,37.7323,14.8192,1547514898287
66,35.0425,31.4488,1547514899291
67,37.8325,16.8343,1547514900289
68,44.2488,78.2731,1547514901283
69,45.7992,84.1304,1547514902283
70,44.4523,79.0419,1547514903284
71,45.4615,82.8547,1547514904284
72,42.9902,73.5185,1547514905284
73,40.62,59.5549,1547514906286
74,37.6522,13.2102,1547514907282
75,40.4488,57.0356,1547514908280
76,40.4488,57.0356,1547514909282
77,37.2092,4.30512,1547514910284
78,37.2092,4.30512,1547514911286
79,37.2092,4.30512,1547514912288
80,34.4308,38.1944,1547514913280
81,34.4308,38.1944,1547514914277
82,34.4308,38.1944,1547514915281
83,36.9694,0.515346,1547514916283
84,36.9694,0.515346,1547514917286
85,40.4494,57.0445,1547514918283
86,40.5895,59.1069,1547514919280
87,45.1947,81.8466,1547514920286
88,40.8138,62.4065,1547514921279
89,37.4914,9.9784,1547514922275
90,38.3134,25.612,1547514923277
91,36.0974,18.042,1547514924282
92,31.9156,66.0791,1547514925284
93,39.3775,41.2712,1547514926282
94,41.8822,69.3327,1547514927286
95,38.2151,24.1647,1547514928284
96,39.583,44.2948,1547514929289
97,41.0129,66.0487,1547514930298
98,40.4033,56.3661,1547514931289
99,36.9518,0.868277,1547514932283
100,36.9518,0.868277,1547514933288
101,37.036,0.82349,1547514934288
102,36.3317,13.3334,1547514935284
103,36.3317,13.3334,1547514936284
104,36.648,6.97468,1547514937284
105,36.7565,4.79364,1547514938278
106,38.7186,31.5754,1547514939274
107,39.8478,48.192,1547514940283
108,37.8666,17.5194,1547514941283
109,38.3267,25.8082,1547514942278
110,37.288,5.88849,1547514943282
111,39.0644,36.6631,1547514944282
112,39.4098,41.7458,1547514945282
113,40.394,56.2288,1547514946283
114,40.8549,63.0114,1547514947283
115,42.666,72.2939,1547514948284
116,41.9971,69.7669,1547514949284
117,41.9971,69.7669,1547514950282
118,39.0462,36.3959,1547514951284
119,37.7005,14.1817,1547514952281
120,40.0663,51.4067,1547514953284
121,36.3825,12.3109,1547514954290
122,38.0612,21.9007,1547514955289
123,42.851,72.9926,1547514956286
124,45.7812,84.0622,1547514957282
125,45.7812,84.0622,1547514958280
126,45.7812,84.0622,1547514959282
127,45.7812,84.0622,1547514960281
128,43.155,74.1412,1547514961279
129,45.6856,83.7012,1547514962281
130,42.3843,71.2295,1547514963283
131,43.4696,75.3297,1547514964282
132,40.4723,57.3815,1547514965279
133,40.7744,61.8277,1547514966282
134,42.2282,70.64,1547514967286
135,43.1986,74.3057,1547514968285
136,39.702,46.0467,1547514969283
137,36.3285,13.3968,1547514970283
138,35.0909,30.9144,1547514971279
139,35.4855,26.5638,1547514972276
140,36.5676,8.59139,1547514973283
141,35.8259,22.81,1547514974287
142,39.3444,40.7836,1547514975288
143,38.8876,34.0623,1547514976285
144,38.3739,26.5024,1547514977284
145,40.3548,55.6526,1547514978286
146,40.3548,55.6526,1547514979288
147,37.6882,13.934,1547514980284
148,36.6858,6.21461,1547514981282
149,35.3645,27.8975,1547514982288
150,36.7647,4.62887,1547514983290
151,30.0669,68.0439,1547514984287
152,34.1669,41.1046,1547514985290
153,34.1669,41.1046,1547514986287
154,34.1387,41.4158,1547514987281
155,38.4348,27.3979,1547514988277
156,36.6162,7.61498,1547514989277
157,43.6352,75.955,1547514990282
158,41.0323,66.1222,1547514991286
159,36.274,14.4917,1547514992282
160,32.7506,56.7224,1547514993280
161,34.8927,33.1006,1547514994286
162,31.5857,66.4297,1547515031285
163,34.2006,40.7328,1547515032282
164,40.8347,62.7141,1547515033285
165,44.7521,80.1746,1547515034287
166,44.7521,80.1746,1547515035284
167,39.6173,44.8003,1547515036279
168,39.9126,49.1449,1547515037271
169,40.0724,51.4974,1547515038274
170,40.0724,51.4974,1547515039286
171,40.0724,51.4974,1547515040288
172,35.6941,24.263,1547515041286
173,33.2358,51.3723,1547515042288
174,35.7417,23.7381,1547515043284
175,36.5071,9.80794,1547515044281
176,38.9907,35.5784,1547515045284
177,46.3098,86.0593,1547515046286
178,46.1913,85.6114,1547515047289
179,48.4688,94.2154,1547515048287
180,47.7208,91.3896,1547515049281
181,43.0952,73.9154,1547515050283
182,38.157,23.3104,1547515051288
183,38.0337,21.496,1547515052286
184,34.7402,34.7826,1547515053284
185,36.1807,16.3681,1547515054286
186,36.1807,16.3681,1547515055285
187,40.8509,62.9526,1547515056285
188,44.7354,80.1115,1547515057287
189,48.5992,94.7081,1547515058284
190,51.7179,-1,1547515059284
191,51.7179,-1,1547515060286
192,50.3276,-1,1547515061286
193,46.1594,85.4912,1547515062285
194,44.4186,78.9148,1547515063285
195,40.0806,51.6171,1547515064283
196,33.0239,53.709,1547515065281
197,32.587,58.5273,1547515066283
198,34.5787,36.5633,1547515067286
199,32.6328,58.0216,1547515068283
200,32.6328,58.0216,1547515069283
201,36.8266,3.38434,1547515070285
202,40.1799,53.0792,1547515071290
203,40.9615,64.5801,1547515072283
