ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,FALSE,FALSE,NORMAL STATE,1547646780428
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,1547646782414
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646782532
3,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646783639
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646785444
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646786373
6,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646787369
7,0.983377,0.653191,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646788360
8,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646789357
9,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646790367
10,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646791368
11,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646791542
12,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646791723
13,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646792718
14,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646793723
15,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646795546
16,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646797372
17,0.944678,0.567458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646797553
18,0.909292,0.495453,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646798549
19,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646800358
20,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646801345
21,0.930668,0.539022,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646802357
22,0.941919,0.55981,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646803360
23,0.941919,0.55981,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646804339
24,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646804527
25,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646804717
26,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646806537
27,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646808350
28,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646809344
29,0.966716,0.613717,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646810362
30,0.986069,0.659752,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646811361
31,0.979635,0.64268,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646812342
32,0.979635,0.64268,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646813353
33,0.981512,0.647159,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646813548
34,0.977931,0.638752,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646814546
35,0.934312,0.53991,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646816393
36,0.927643,0.52725,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646817486
37,0.927643,0.52725,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646818631
38,0.927643,0.52725,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646819727
39,0.900082,0.479873,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646820835
40,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646820983
41,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646821086
42,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646823004
43,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646824835
44,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646825759
45,0.909292,0.495453,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646826776
46,0.974471,0.631138,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646827781
47,0.974471,0.631138,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646828782
48,0.988818,0.667622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646829833
49,0.979635,0.64268,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646830833
50,0.979635,0.64268,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646831786
51,0.979635,0.64268,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646832852
52,0.979635,0.64268,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646833829
53,0.979635,0.64268,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646834781
54,0.979635,0.64268,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646835932
55,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646836998
56,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646838015
57,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646839094
58,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646840046
59,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646840963
60,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646841932
61,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646842936
62,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646844033
63,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646845173
64,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646846132
65,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646846231
66,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646847257
67,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646849264
68,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646850365
69,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646851338
70,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646852267
71,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646853279
72,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646854288
73,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646855286
74,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646856290
75,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646857293
76,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646858300
77,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646859322
78,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646860325
79,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646861328
80,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646862329
81,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646863261
82,0.979584,0.642949,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646864270
83,0.979584,0.642949,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646865333
84,0.979584,0.642949,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646866307
85,0.979584,0.642949,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646867308
86,0.979584,0.642949,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646868383
87,0.979584,0.642949,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646869331
88,0.979584,0.642949,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646870269
89,0.979584,0.642949,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646871288
90,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646872365
91,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646873393
92,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646874328
93,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646875279
94,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646876281
95,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646877294
96,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646878436
97,0.995751,0.686351,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646879560
98,0.987353,0.662924,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646879661
99,0.969525,0.620373,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646880609
100,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646882468
101,0.891721,0.466488,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646883498
102,0.909292,0.495453,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646884573
103,0.974471,0.631138,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646885535
104,0.974471,0.631138,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646886627
105,0.974471,0.631138,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646886904
106,0.979584,0.642949,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646887995
107,0.939232,0.550433,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646888892
108,0.939232,0.550433,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646888998
109,0.939232,0.550433,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646889999
110,0.939232,0.550433,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646891809
111,0.939232,0.550433,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646893806
112,0.939232,0.550433,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,1547646894992
113,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646897087
114,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646897265
115,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646898233
116,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646900145
117,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646900352
118,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646901314
119,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646903071
120,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646904026
121,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646905030
122,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646906040
123,0.939384,0.549622,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,1547646907022
124,0.902697,0.488556,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,1547646908104
