ID,DATA,RISK,TIME_MS
0,79.3036,37.7094,1547646326611
1,79.3036,37.7094,1547646326668
2,29.9751,85.4407,1547646328674
3,149.55,72.3497,1547646330663
4,337.676,-1,1547646330921
5,143.39,71.2177,1547646332046
6,144.569,71.4343,1547646333738
7,153.074,72.9974,1547646334660
8,164.418,75.0822,1547646335639
9,111.596,56.68,1547646336646
10,122.075,67.3003,1547646336820
11,129.448,68.6554,1547646336990
12,143.159,71.1751,1547646337986
13,127.175,68.2375,1547646338979
14,127.175,68.2375,1547646339992
15,127.759,68.3449,1547646340996
16,127.759,68.3449,1547646341989
17,127.759,68.3449,1547646342991
18,136.722,69.9921,1547646343984
19,139.762,70.5508,1547646344979
20,130.537,68.8555,1547646345988
21,130.537,68.8555,1547646346989
22,126.876,68.1826,1547646347984
23,149.36,72.3148,1547646348987
24,144.866,71.489,1547646349983
25,144.866,71.489,1547646350988
26,144.558,71.4322,1547646351989
27,149.807,72.3969,1547646352976
28,155.035,73.3577,1547646353978
29,155.035,73.3577,1547646354988
30,163.411,74.8971,1547646355976
31,171.231,76.3343,1547646356984
32,191.972,80.1462,1547646357979
33,210.988,83.6411,1547646358997
34,197.285,81.1227,1547646359980
35,164.73,75.1396,1547646360983
36,137.877,70.2044,1547646361987
37,123.776,67.6129,1547646362989
38,125.531,67.9354,1547646363986
39,129.588,68.6811,1547646364985
40,136.198,69.8958,1547646365976
41,129.657,68.6938,1547646366968
42,120.322,66.978,1547646367983
43,90.436,1.88005,1547646368986
44,99.8615,27.9948,1547646369988
45,90.999,0.00325593,1547646370987
46,88.7975,7.34166,1547646371983
47,84.6843,21.9261,1547646372987
48,134.114,69.5128,1547646373988
49,134.114,69.5128,1547646374986
50,125.911,68.0053,1547646375978
51,128.883,68.5516,1547646376986
52,140.444,70.6762,1547646377981
53,138.204,70.2645,1547646378984
54,98.2488,24.0525,1547646379990
55,90.9436,0.18792,1547646380981
56,90.0881,3.0398,1547646381988
57,92.4317,4.77235,1547646382988
58,97.0342,21.0836,1547646383992
59,85.6109,17.9636,1547646384995
60,92.6804,5.60142,1547646385992
61,92.6804,5.60142,1547646386988
62,92.6804,5.60142,1547646387987
63,147.621,71.9952,1547646388980
64,148.014,72.0675,1547646389980
65,150.656,72.553,1547646390995
66,150.656,72.553,1547646392005
67,142.675,71.0862,1547646392981
68,143.315,71.2039,1547646393984
69,79.2881,37.755,1547646394980
70,76.4034,46.2167,1547646395991
71,80.8165,33.2716,1547646396989
72,130.12,68.7788,1547646397977
73,129.686,68.699,1547646398989
74,183.186,78.5314,1547646399981
75,193.26,80.3829,1547646400989
76,204.94,82.5296,1547646401993
77,188.211,79.455,1547646402994
78,196.427,80.965,1547646403992
79,196.427,80.965,1547646404989
80,157.441,73.8,1547646405981
81,157.441,73.8,1547646406976
82,157.441,73.8,1547646407984
83,140.491,70.6848,1547646408989
84,140.491,70.6848,1547646409985
85,140.491,70.6848,1547646410982
86,149.465,72.3341,1547646411982
87,149.465,72.3341,1547646412982
88,149.465,72.3341,1547646413990
89,160.853,74.427,1547646414995
90,163.184,74.8555,1547646415985
91,163.184,74.8555,1547646416975
92,165.717,75.3209,1547646417991
93,161.36,74.5203,1547646418990
94,161.36,74.5203,1547646419984
95,126.607,68.1332,1547646420979
96,93.0841,6.94692,1547646421977
97,105.108,40.8186,1547646422987
98,100.786,30.2548,1547646423988
99,92.4939,4.97978,1547646424995
100,117.682,66.4929,1547646425992
101,117.682,66.4929,1547646426976
102,117.682,66.4929,1547646427974
103,133.665,69.4303,1547646428991
104,93.3506,7.8353,1547646429990
105,93.9998,9.99928,1547646430982
106,93.9998,9.99928,1547646431983
107,110.688,54.4607,1547646432987
108,110.688,54.4607,1547646433986
109,121.565,67.2065,1547646434991
110,117.297,66.4221,1547646435982
111,139.654,70.5309,1547646436971
112,146.025,71.702,1547646437974
113,145.504,71.6061,1547646438991
114,110.531,54.0767,1547646439990
115,149.134,72.2732,1547646440984
116,192.884,80.3138,1547646441982
117,192.884,80.3138,1547646442982
118,186.234,79.0917,1547646443986
119,186.234,79.0917,1547646444992
120,189.313,79.6575,1547646445987
121,202.033,81.9953,1547646446984
122,173.755,76.7983,1547646447988
123,173.755,76.7983,1547646448987
124,111.457,56.3386,1547646449984
125,111.195,55.6988,1547646450994
126,111.195,55.6988,1547646451989
127,90.9266,0.244667,1547646452990
128,88.603,7.99001,1547646453989
129,88.603,7.99001,1547646454990
130,118.334,66.6127,1547646455989
131,118.334,66.6127,1547646456983
132,182.768,78.4547,1547646457983
133,196.624,81.0012,1547646458985
134,217.502,84.8382,1547646459980
135,213.773,84.1528,1547646460992
136,213.773,84.1528,1547646461988
137,170.678,76.2326,1547646462983
138,117.596,66.4771,1547646463983
139,103.966,38.029,1547646464987
140,97.2978,21.7279,1547646465980
141,79.0089,38.5739,1547646466969
142,56.7142,72.4531,1547646467986
