ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,646328681,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,646330672,1991
2,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646330933,2252
3,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646332056,3375
4,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646333747,5066
5,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646334669,5988
6,0.964172,0.6059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646335650,6969
7,0.983377,0.653191,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646336657,7976
8,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646336828,8147
9,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646336998,8317
10,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646337994,9313
11,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646338989,10308
12,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646340000,11319
13,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646341004,12323
14,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646341997,13316
15,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646342998,14317
16,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646343994,15313
17,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646344987,16306
18,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646345998,17317
19,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646346997,18316
20,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646347995,19314
21,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646348995,20314
22,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646349991,21310
23,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646350997,22316
24,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646351998,23317
25,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646352985,24304
26,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646353987,25306
27,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646354996,26315
28,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646355984,27303
29,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646356992,28311
30,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646357995,29314
31,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646359005,30324
32,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646359991,31310
33,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646360992,32311
34,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646361996,33315
35,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646362997,34316
36,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646363995,35314
37,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646364993,36312
38,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646365984,37303
39,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646366979,38298
40,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646367994,39313
41,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646368994,40313
42,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646369996,41315
43,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646370995,42314
44,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646371993,43312
45,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646372996,44315
46,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646373999,45318
47,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646374996,46315
48,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646375988,47307
49,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646376994,48313
50,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646377989,49308
51,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646378992,50311
52,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646379998,51317
53,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646380991,52310
54,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646381996,53315
55,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646382998,54317
56,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646384000,55319
57,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646385004,56323
58,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646386001,57320
59,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646386996,58315
60,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646387995,59314
61,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646388990,60309
62,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646389990,61309
63,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646391006,62325
64,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646392013,63332
65,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646392990,64309
66,0.977044,0.638119,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,646393995,65314
