ID,SYSTOLIC_DATA,DIASTOLIC_DATA,RISK,TIME_MS
0,41.9203,45.0996,2.54978,1547509265256
1,108.393,213.317,85.9656,1547509266278
2,211.672,291.649,98.6479,1547509267292
3,239.553,172.234,79.314,1547509268297
4,142.35,180.823,80.7047,1547509269293
5,170.849,172.573,79.369,1547509270287
6,162.698,142.977,74.5772,1547509271289
7,140.305,114.922,70.035,1547509272292
8,143.561,116.461,70.2841,1547509273295
9,161.232,95.4667,66.8851,1547509274293
10,145.527,131.956,72.7929,1547509275293
11,161.181,124.79,71.6326,1547509276297
12,165.09,113.701,69.8373,1547509277296
13,137.958,128.349,72.2088,1547509278298
14,120.414,127.255,72.0318,1547509279293
15,125.917,128.695,72.2649,1547509280283
16,125.13,181.846,80.8703,1547509281288
17,125.705,177.872,80.2269,1547509282289
18,139.83,176.428,79.9932,1547509283291
19,130.84,170.459,79.0267,1547509284289
20,125.318,194.101,82.8545,1547509285290
21,132.556,136.33,73.501,1547509286291
22,114.674,131.991,72.7986,1547509287289
23,85.662,99.0702,67.4685,1547509288294
24,92.625,92.0202,66.3271,1547509289296
25,99.4941,93.1066,66.503,1547509290288
26,92.8216,156.915,76.8338,1547509291290
27,154.859,183.515,81.1405,1547509292295
28,168.247,185.557,81.4711,1547509293294
29,181.326,219.52,86.9699,1547509294295
30,184.396,170.31,79.0025,1547509295293
31,164.332,127.592,72.0863,1547509296296
32,139.361,142.212,74.4534,1547509297291
33,177.255,137.966,73.7659,1547509298290
34,167.297,129.393,72.3779,1547509299298
35,157.261,122.189,71.2115,1547509300300
36,170.597,112.847,69.699,1547509301296
37,139.522,71.7046,15.8523,1547509302291
38,139.522,71.7046,15.8523,1547509303299
39,120.766,76.9355,18.4677,1547509304291
40,126.822,68.6847,14.3424,1547509305295
41,166.555,85.2313,44.0179,1547509306294
42,193.893,91.056,66.171,1547509307299
43,192.888,101.628,67.8826,1547509308295
44,192.965,138.761,73.8946,1547509309289
45,192.965,138.761,73.8946,1547509310290
46,173.073,144.81,74.874,1547509311294
47,172.727,142.716,74.5349,1547509312293
48,145.124,166.847,78.4418,1547509313293
49,145.124,166.847,78.4418,1547509314289
50,157.035,176.505,80.0056,1547509315287
51,146.038,123.501,71.424,1547509316295
52,146.038,123.501,71.424,1547509317291
53,176.07,134.034,73.1293,1547509318293
54,159.689,121.551,71.1082,1547509319291
55,142.672,121.958,71.1742,1547509320293
56,142.709,128.593,72.2484,1547509321299
57,168.49,194.111,82.8561,1547509322297
58,133.869,210.284,85.4746,1547509323293
59,134.189,227.58,88.2749,1547509324291
60,168.067,221.791,87.3376,1547509325289
61,168.067,221.791,87.3376,1547509326293
62,188.9,198.241,83.5248,1547509327294
63,188.9,198.241,83.5248,1547509328290
64,142.173,190.93,82.341,1547509329292
65,194.35,141.903,74.4034,1547509330303
66,200.582,179.611,80.5084,1547509331297
67,194.766,209.819,85.3992,1547509332290
68,180.34,243.672,90.8802,1547509333293
69,185.356,184.686,81.3302,1547509334292
70,166.809,200.529,83.8951,1547509335294
71,146.618,151.678,75.9859,1547509336301
72,146.618,151.678,75.9859,1547509337302
73,150.417,99.491,67.5366,1547509338296
74,156.566,80.6812,23.9971,1547509339295
75,191.368,147.028,75.2331,1547509340293
76,192.807,176.678,80.0335,1547509341290
77,213.647,191.95,82.5062,1547509342291
78,177.287,191.792,82.4807,1547509379291
79,174.085,213.586,86.0091,1547509380297
80,184.675,158.441,77.0809,1547509381297
81,175.104,153.229,76.2371,1547509382300
82,175.104,153.229,76.2371,1547509383294
83,171.038,141.886,74.4006,1547509384294
84,226.36,165.726,78.2604,1547509385296
85,244.686,128.379,72.2138,1547509386299
86,227.683,140.871,74.2363,1547509387295
87,261.843,135.835,73.4208,1547509388294
88,236.417,149.963,75.7083,1547509389293
89,204.874,110.949,69.3917,1547509390293
90,194.204,138.289,73.8182,1547509391296
91,171.666,126.298,71.8767,1547509392301
92,126.406,138.204,73.8045,1547509393294
93,131.792,118.975,70.6912,1547509394292
94,152.856,184.875,81.3606,1547509395290
95,172.037,171.054,79.123,1547509396290
96,172.037,171.054,79.123,1547509397288
97,172.037,171.054,79.123,1547509398291
98,181.773,184.566,81.3107,1547509399287
99,179.648,161.158,77.5208,1547509400291
100,197.631,191.872,82.4935,1547509401288
101,197.631,191.872,82.4935,1547509402296
102,172.628,126.48,71.9064,1547509403298
103,178.299,109.688,69.1876,1547509404290
104,188.462,115.351,70.1045,1547509405290
105,206.954,109.162,69.1024,1547509406293
106,206.954,109.162,69.1024,1547509407295
107,197.665,100.657,67.7254,1547509408296
108,217.634,155.056,76.5329,1547509409292
109,171.534,163.516,77.9026,1547509410288
110,154.451,164.369,78.0407,1547509411294
111,154.196,181.816,80.8654,1547509412299
112,167.801,202.057,84.1426,1547509413298
113,151.02,165.749,78.2641,1547509414295
114,151.02,165.749,78.2641,1547509415292
115,187.745,198.652,83.5913,1547509416292
116,193.887,178.981,80.4064,1547509417299
117,190.778,188.165,81.8934,1547509418293
118,170.978,175.371,79.822,1547509419285
119,196.045,190.539,82.2777,1547509420290
120,152.085,167.062,78.4767,1547509421300
121,152.04,165.89,78.2869,1547509422300
122,158.615,144.565,74.8343,1547509423295
123,157.373,103.192,68.1358,1547509424290
124,159.437,89.6166,63.3132,1547509425290
125,176.445,78.7732,19.3866,1547509426291
126,167.191,126.939,71.9805,1547509427288
127,159.635,134.353,73.181,1547509428289
128,178.713,169.905,78.937,1547509429290
129,138.918,183.254,81.0983,1547509430292
130,162.564,186.061,81.5527,1547509431293
131,204.63,144.956,74.8976,1547509432289
132,202.943,149.553,75.6419,1547509433290
133,188.511,130.569,72.5684,1547509434290
134,202.154,109.634,69.1788,1547509435290
135,202.154,109.634,69.1788,1547509436292
136,193.15,89.4934,62.7711,1547509437291
137,174.86,105.429,68.498,1547509438293
138,189.936,84.0374,38.7647,1547509439288
139,193.125,84.297,39.907,1547509440290
140,196.95,85.0781,43.3438,1547509441287
141,198.355,87.8221,55.4173,1547509442289
142,183.018,91.4974,66.2424,1547509443291
143,170.505,107.442,68.8239,1547509444298
144,170.505,107.442,68.8239,1547509445292
145,169.965,122.004,71.1816,1547509446291
