ID,DATA,RISK,TIME_MS
0,78.8706,38.9795,1547509263189
1,328.929,-1,1547509263218
2,101.335,31.5958,1547509264287
3,94.3301,11.1004,1547509265267
4,137.152,70.0711,1547509266296
5,136.84,70.0138,1547509267311
6,87.0063,13.3124,1547509268315
7,86.8232,13.9227,1547509269311
8,117.89,66.5311,1547509270306
9,103.062,35.8182,1547509271308
10,99.3018,26.6266,1547509272312
11,93.3869,7.95648,1547509273313
12,93.8302,9.43416,1547509274311
13,64.7313,68.5591,1547509275313
14,83.6869,24.8518,1547509276315
15,89.2154,5.94867,1547509277316
16,89.2154,5.94867,1547509278318
17,105.216,41.0827,1547509279309
18,126.693,68.1489,1547509280302
19,125.406,67.9125,1547509281307
20,140.773,70.7366,1547509282307
21,169.113,75.9452,1547509283310
22,181.654,78.2499,1547509284307
23,176.007,77.2121,1547509285309
24,176.901,77.3763,1547509286309
25,188.574,79.5217,1547509287308
26,181.122,78.1522,1547509288313
27,196.584,80.9939,1547509289315
28,184.421,78.7585,1547509290307
29,169.555,76.0264,1547509291308
30,128.337,68.4511,1547509292313
31,104.179,38.548,1547509293314
32,62.4147,69.6843,1547509294316
33,56.5741,72.5212,1547509295313
34,53.6933,73.9204,1547509296313
35,113.539,61.4281,1547509297311
36,113.539,61.4281,1547509298310
37,137.685,70.1691,1547509299316
38,138.396,70.2997,1547509300317
39,127.693,68.3328,1547509301313
40,149.904,72.4148,1547509302310
41,149.904,72.4148,1547509303318
42,139.013,70.4131,1547509304310
43,119.489,66.8249,1547509305313
44,125.44,67.9187,1547509306315
45,178.848,77.7342,1547509307317
46,171.374,76.3607,1547509308312
47,133.936,69.4801,1547509309308
48,116.667,66.3063,1547509310310
49,116.561,66.287,1547509311312
50,67.1189,67.3994,1547509312312
51,68.3671,66.7931,1547509313311
52,69.133,66.4211,1547509314305
53,88.0681,9.77301,1547509315306
54,84.5468,22.3295,1547509316312
55,85.6456,17.848,1547509317309
56,80.5517,34.0484,1547509318313
57,67.803,67.0671,1547509319308
58,48.3596,76.5111,1547509320312
59,56.2374,72.6847,1547509321318
60,61.9612,69.9045,1547509322314
61,73.1616,55.7259,1547509323313
62,84.5286,22.3828,1547509324311
63,132.335,69.1859,1547509325306
64,157.119,73.7407,1547509326313
65,172.965,76.653,1547509327312
66,168.163,75.7705,1547509328309
67,198.976,81.4334,1547509329314
68,198.976,81.4334,1547509330321
69,156.044,73.5433,1547509331315
70,153.255,73.0306,1547509332308
71,141.914,70.9463,1547509333311
72,152.366,72.8673,1547509334312
73,125.98,68.0179,1547509335313
74,129.223,68.6139,1547509336322
75,126.089,68.0381,1547509337320
76,121.944,67.2763,1547509338314
77,121.944,67.2763,1547509339313
78,108.341,48.7214,1547509340309
79,105.419,41.5797,1547509341307
80,147.254,71.9278,1547509342310
81,159.102,74.1052,1547509343314
82,159.614,74.1993,1547509344314
83,159.614,74.1993,1547509345305
84,159.614,74.1993,1547509346310
85,160.38,74.3401,1547509347310
86,162.167,74.6685,1547509348315
87,141.863,70.937,1547509349305
88,116.353,66.2486,1547509350308
89,109.841,52.3895,1547509351309
90,135.421,69.753,1547509352306
91,135.421,69.753,1547509353304
92,140.545,70.6948,1547509354311
93,126.999,68.2053,1547509355317
94,119.491,66.8254,1547509356317
95,130.099,68.7749,1547509357318
96,111.791,57.1555,1547509358315
97,93.6849,8.94982,1547509359308
98,109.095,50.5659,1547509360318
99,138.397,70.3,1547509361317
100,121.113,67.1234,1547509362311
101,130.752,68.8949,1547509363311
102,137.315,70.1011,1547509364310
103,116.703,66.313,1547509365315
104,104.702,39.8259,1547509366314
105,111.371,56.1295,1547509367316
106,111.371,56.1295,1547509368313
107,96.0491,16.8303,1547509369315
108,129.019,68.5765,1547509370313
109,121.609,67.2146,1547509371307
110,118.827,66.7033,1547509372308
111,120.529,67.0161,1547509373312
112,116.313,66.2414,1547509374316
113,118.666,66.6737,1547509375305
114,137.467,70.129,1547509376308
115,117.809,66.5163,1547509377310
116,122.443,67.3679,1547509378312
117,128.447,68.4714,1547509379309
118,104.385,39.0522,1547509380315
119,104.385,39.0522,1547509381318
120,148.307,72.1212,1547509382318
121,140.334,70.656,1547509383312
122,140.334,70.656,1547509384315
123,165.659,75.3104,1547509385316
124,189.266,79.6489,1547509386317
125,164.146,75.0323,1547509387314
126,113.129,60.4266,1547509388315
127,119.654,66.8553,1547509389314
128,91.7245,2.41488,1547509390313
129,104.506,39.3487,1547509391316
130,142.062,70.9736,1547509392317
131,151.079,72.6307,1547509393312
132,157.134,73.7435,1547509394310
133,199.948,81.6121,1547509395308
