ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,509263270
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509264297
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509265276
3,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509266307
4,0.379173,0.115845,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509267321
5,0.0453387,0.000423468,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509268325
6,0.201187,0.0215552,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509269323
7,0.0393487,0.000216293,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509270321
8,0.700766,1.64008,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509271319
9,0.100182,0.00233565,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509272322
10,0.903307,2.50363,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509273326
11,0.396791,0.0809914,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509274323
12,0.841404,1.6602,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509275324
13,0.862163,2.65949,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509276326
14,0.829132,1.32514,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509277328
15,0.751372,2.05146,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509278330
16,0.506493,0.315459,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509279318
17,0.6516,1.17981,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509280312
18,0.0466952,0.000511977,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509281317
19,0.737314,0.937956,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509282319
20,0.0155105,9.81605e-06,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509283321
21,0.974808,1.72917,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509284316
22,0.395171,0.0853585,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509285321
23,0.866345,1.96924,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509286319
24,0.333388,0.0560437,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509287319
25,0.0316842,0.000119216,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509288325
26,0.398704,0.362901,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509289325
27,0.381926,0.127964,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509290318
28,0.439815,0.329474,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509291319
29,0.700131,2.97521,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509292323
30,0.925262,3.23206,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509293324
31,0.891903,2.97359,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509294327
32,0.611076,0.924839,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509295326
33,0.714081,1.54283,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509296322
