ID,DATA,RISK,TIME_MS
0,59.6831,41.6058,1547509264325
1,21.8252,79.4919,1547509265304
2,96.9537,16.5185,1547509266335
3,13.2319,74.1797,1547509267350
4,38.499,89.7994,1547509268352
5,43.7941,93.0727,1547509269349
6,47.337,95.2629,1547509270344
7,30.0131,84.5536,1547509271344
8,44.9417,93.7822,1547509272349
9,63.8571,59.9714,1547509273351
10,56.642,28.225,1547509274351
11,56.6518,28.2681,1547509275352
12,65.3385,19.6132,1547509276350
13,60.6931,46.0494,1547509277355
14,51.3347,97.7342,1547509278355
15,46.4591,94.7202,1547509279344
16,46.4591,94.7202,1547509280337
17,57.1447,30.4366,1547509281344
18,46.891,94.9872,1547509282346
19,45.9452,94.4025,1547509283346
20,42.6497,92.3653,1547509284343
21,50.1414,96.9965,1547509285347
22,36.0177,88.2655,1547509286345
23,43.4441,92.8564,1547509287347
24,33.7399,86.8574,1547509288353
25,33.4312,86.6666,1547509289350
26,22.3835,79.8371,1547509290343
27,35.3581,87.8577,1547509291345
28,45.2264,93.9581,1547509292351
29,45.7356,94.2729,1547509293355
30,52.1219,98.2208,1547509294354
31,53.2011,98.8879,1547509295351
32,50.7586,97.378,1547509296350
33,44.6918,93.6277,1547509297350
34,42.4021,92.2122,1547509298349
35,45.7836,94.3026,1547509299357
36,45.7836,94.3026,1547509300356
37,46.6191,94.8191,1547509301350
38,38.7448,89.9513,1547509302350
39,30.0588,84.5818,1547509303354
40,39.3282,90.312,1547509304351
41,39.3282,90.312,1547509305352
42,24.6017,81.2083,1547509306351
43,23.0449,80.246,1547509307357
44,28.8442,83.831,1547509308352
45,44.9452,93.7843,1547509309345
46,35.946,88.2212,1547509310346
47,45.2893,93.997,1547509311349
48,64.394,62.3336,1547509312352
49,51.5709,97.8802,1547509313348
50,34.7604,87.4882,1547509314341
51,38.466,89.779,1547509315345
52,35.5763,87.9926,1547509316352
53,24.7022,81.2704,1547509317348
54,33.2754,86.5703,1547509318349
55,38.7725,89.9684,1547509319346
56,50.0386,96.9329,1547509320352
57,64.9368,64.7219,1547509321358
58,60.5998,45.6392,1547509322352
59,62.3604,53.3859,1547509323348
60,64.8424,64.3067,1547509324345
61,52.7478,98.6077,1547509325344
62,44.1481,93.2916,1547509326351
63,48.3754,95.9048,1547509327351
64,42.9695,92.563,1547509328349
65,37.0013,88.8736,1547509329354
66,45.0067,93.8223,1547509330360
67,37.9136,89.4375,1547509331354
68,37.9136,89.4375,1547509332349
69,46.9472,95.0219,1547509333350
70,49.0689,96.3335,1547509334345
71,58.0813,34.5578,1547509335351
72,46.5492,94.7758,1547509336363
73,42.0611,92.0014,1547509337356
74,35.5028,87.9472,1547509338353
75,39.9008,90.666,1547509339349
76,39.9935,90.7232,1547509340348
77,39.9935,90.7232,1547509341347
78,52.3885,98.3856,1547509342348
