ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS,TIME (ms)
0,0,0,FALSE,FALSE,FALSE,FALSE,NORMAL STATE,509263270,0
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509264297,1027
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509265276,2006
3,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509266307,3037
4,0.379173,0.115845,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509267321,4051
5,0.0453387,0.000423468,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509268325,5055
6,0.201187,0.0215552,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509269323,6053
7,0.0393487,0.000216293,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509270321,7051
8,0.700766,1.64008,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509271319,8049
9,0.100182,0.00233565,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509272322,9052
10,0.903307,2.50363,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509273326,10056
11,0.396791,0.0809914,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509274323,11053
12,0.841404,1.6602,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509275324,12054
13,0.862163,2.65949,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509276326,13056
14,0.829132,1.32514,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509277328,14058
15,0.751372,2.05146,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509278330,15060
16,0.506493,0.315459,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509279318,16048
17,0.6516,1.17981,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509280312,17042
18,0.0466952,0.000511977,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509281317,18047
19,0.737314,0.937956,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509282319,19049
20,0.0155105,0,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509283321,20051
21,0.974808,1.72917,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509284316,21046
22,0.395171,0.0853585,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509285321,22051
23,0.866345,1.96924,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509286319,23049
24,0.333388,0.0560437,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509287319,24049
25,0.0316842,0.000119216,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509288325,25055
26,0.398704,0.362901,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509289325,26055
27,0.381926,0.127964,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509290318,27048
28,0.439815,0.329474,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509291319,28049
29,0.700131,2.97521,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509292323,29053
30,0.925262,3.23206,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509293324,30054
31,0.891903,2.97359,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509294327,31057
32,0.611076,0.924839,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509295326,32056
33,0.714081,1.54283,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509296322,33052
34,0.562015,0.294189,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509297322,34052
35,0.734137,1.31938,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509298321,35051
36,0.862844,1.95633,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509299326,36056
37,0.898223,3.60315,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509300328,37058
38,0.465406,0.407775,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509301323,38053
39,0.669596,1.45766,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509302321,39051
40,0.935264,4.52708,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509303327,40057
41,0.365493,0.21886,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509304322,41052
42,0.96223,4.04666,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509305325,42055
43,0.0789486,0.000702119,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509306325,43055
44,0.96769,1.20102,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509307328,44058
45,0.185209,0.0144244,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509308323,45053
46,0.675098,0.849171,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509309321,46051
47,0.0122481,1.1227,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509310319,47049
48,0.175396,0.00839851,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509311323,48053
49,0.415808,0.212187,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509312322,49052
50,0.893232,2.17146,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509313321,50051
51,0.701183,1.61139,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509314315,51045
52,0.975749,2.60442,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509315317,52047
53,0.416871,0.410723,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509316324,53054
54,0.711605,0.324362,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509317321,54051
55,0.0286931,4.12545,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509318325,55055
56,0.0381497,0.000529885,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509319319,56049
57,0.547573,0.596443,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509320326,57056
58,0.0669527,0.00065432,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509321332,58062
59,0.410556,0.230673,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509322324,59054
60,0.0949137,0.00395332,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509323323,60053
61,0.110142,0.00142058,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509324321,61051
62,0.663505,0.388292,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509325317,62047
63,0.555073,0.570861,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509326325,63055
64,0.332875,0.0516286,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509327323,64053
65,0.325783,0.147419,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509328322,65052
66,0.0151641,2.22201,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509329325,66055
67,0.0197146,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509330332,67062
68,0.367493,0.18116,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509331325,68055
69,0.58198,0.163177,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509332319,69049
70,0.922143,0.907628,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509333323,70053
71,0.888973,1.34458,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509334322,71052
72,0.623556,0.132236,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509335327,72057
73,0.774076,1.28256,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509336333,73063
74,0.0392419,0.000534554,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509337330,74060
75,0.349391,0.156867,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,509338325,75055
76,0.0214984,3.7728,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509339323,76053
77,0.0971318,0.00698549,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509340319,77049
78,0.381973,0.32874,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509341318,78048
79,0.072551,0.000173915,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509342323,79053
80,0.131374,0.00905862,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509343327,80057
81,0.000971756,4.169,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509344325,81055
82,0.0178712,3.06074,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509345315,82045
83,0.00997614,1.30545,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509346319,83049
84,0.0200996,0,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509347321,84051
85,0.231725,0.0482615,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509348326,85056
86,0.611141,1.16037,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509349318,86048
87,0.121322,0.00912253,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509350319,87049
88,0.731886,1.52803,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509351320,88050
89,0.000201921,2.27239,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509352317,89047
90,0.527138,0.293959,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509353317,90047
91,0.000130487,0,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509354321,91051
92,0.149731,0.00939867,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509355328,92058
93,0.0725068,0.00121553,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509356330,93060
94,0.00146329,1.03174,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509357329,94059
95,0.316346,0.0240395,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509358324,95054
96,0.346163,0.0906663,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509359319,96049
97,0.228757,0.00426938,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509360331,97061
98,0.470727,0.304168,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509361325,98055
99,0.0513616,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509362321,99051
100,0.232931,0.053923,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509363321,100051
101,0.0557415,0.00079573,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509364320,101050
102,0.348859,0.174626,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509365328,102058
103,0.0276174,0.000138522,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509366325,103055
104,0.368612,0.146469,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509367326,104056
105,0.0183769,2.5308,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509368324,105054
106,0.388028,0.0265098,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509369326,106056
107,0.0601209,0.000819151,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509370323,107053
108,0.112562,0.0054966,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509371318,108048
109,0.0517098,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509372319,109049
110,0.589664,0.924459,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509373324,110054
111,0.112562,0.00580197,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509374327,111057
112,0.0429636,0.000117427,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509375316,112046
113,0.0846171,0.000322713,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509376318,113048
114,0.828915,0.14582,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509377320,114050
115,0.0615348,0.000407918,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509378322,115052
116,0.712366,1.53327,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,509379322,116052
117,0.156295,0.00286485,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509380324,117054
118,0.348032,0.306477,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509381330,118060
119,0.372243,0.328802,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,509382329,119059
120,0.00454568,2.50304,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509383325,120055
121,0.926559,0.797263,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509384327,121057
122,0.00938022,3.15869,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509385328,122058
123,0.444968,0.151857,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509386327,123057
124,0.00398507,0,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509387326,124056
125,0.537618,0,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509388326,125056
126,0.210099,0.00151328,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509389325,126055
127,0.0531515,0.0003238,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,509390326,127056
128,0.0352431,0.000124839,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,509391329,128059
129,0.677807,1.19279,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,509392327,129057
130,0.54483,0.266605,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509393323,130053
131,0.461308,0.214914,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509394321,131051
132,0.526146,0.355453,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509395320,132050
133,0.759892,0.432852,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509396320,133050
134,0.623804,1.91765,FALSE,TRUE,TRUE,TRUE,NORMAL STATE,509397319,134049
135,0.884139,2.82966,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,509398317,135047
136,0.765429,1.31282,FALSE,TRUE,TRUE,TRUE,CRITICAL STATE,509399316,136046
137,0.0145336,1.74008,FALSE,FALSE,TRUE,TRUE,CRITICAL STATE,509400321,137051
138,0.148135,0.0149445,FALSE,FALSE,TRUE,TRUE,CRITICAL STATE,509401317,138047
139,0.0737434,3.06656,FALSE,FALSE,TRUE,TRUE,CRITICAL STATE,509402326,139056
140,0.175826,0.0379046,FALSE,FALSE,TRUE,TRUE,CRITICAL STATE,509403330,140060
141,0.581369,1.21996,FALSE,FALSE,TRUE,TRUE,CRITICAL STATE,509404319,141049
142,0.01102,0,FALSE,FALSE,TRUE,TRUE,CRITICAL STATE,509405318,142048
143,0.23064,0.087455,FALSE,FALSE,TRUE,TRUE,CRITICAL STATE,509406325,143055
144,0.663158,0.583568,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,509407327,144057
145,0.0985687,0.00506413,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,509408329,145059
146,0.261358,0.0711258,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,509409322,146052
147,0.904449,0.676319,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,509410320,147050
148,0.747831,2.47703,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,509411326,148056
149,0.624114,0.312805,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,509412328,149058
150,0.544893,0.500376,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,509413327,150057
151,0.421562,0.0543049,TRUE,FALSE,TRUE,TRUE,CRITICAL STATE,509414328,151058
152,0.145087,0.00204457,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509415325,152055
153,0.000980864,4.49288,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509416324,153054
154,0.200788,0.00359018,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509417329,154059
155,0.432106,0.355782,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509418321,155051
156,0.726722,2.4443,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509419314,156044
157,0.0773495,0.000337238,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509420322,157052
158,0.498103,0.465587,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509421327,158057
159,0.826947,1.50277,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509422331,159061
160,0.63908,2.55656,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509423323,160053
161,0.825336,2.31163,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,509424319,161049
162,0.372833,0.168349,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,509425317,162047
163,0.0144136,1.71114,TRUE,FALSE,FALSE,TRUE,NORMAL STATE,509426319,163049
164,0.148135,0.0150457,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509427319,164049
165,0.0791035,0,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509428319,165049
166,0.080451,0.00172824,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509429318,166048
167,0.512864,1.0661,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509430324,167054
168,0.0742475,0.00359429,TRUE,FALSE,FALSE,TRUE,CRITICAL STATE,509431322,168052
169,0.157531,0.0215061,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509432317,169047
170,0.394009,0.808203,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509433319,170049
171,0.594259,1.25769,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509434322,171052
172,0.265077,0.0731796,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509435319,172049
173,0.701605,0.193946,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509436318,173048
174,0.834354,3.17641,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509437319,174049
175,0.835604,1.18158,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,509438323,175053
176,0.676977,1.03439,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,509439320,176050
177,0.161723,0.0130156,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,509440319,177049
178,0.805695,2.00823,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,509441316,178046
179,0.286744,0.218555,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,509442321,179051
180,0.733126,0.267532,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,509443325,180055
181,0.768628,2.60018,TRUE,TRUE,FALSE,TRUE,NORMAL STATE,509444324,181054
182,0.845345,3.27676,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509445323,182053
183,0.84528,0.64889,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509446317,183047
184,0.480103,0.299,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509447324,184054
185,0.787894,2.50716,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509448325,185055
186,0.668711,0.958147,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509449330,186060
187,0.386389,0.215168,TRUE,TRUE,FALSE,TRUE,CRITICAL STATE,509450327,187057
188,0.661156,0.600396,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509451317,188047
189,0.640376,0.585416,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509452319,189049
190,0.208839,0.017035,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509453327,190057
191,0.509495,0.279837,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509454327,191057
192,0.077257,0.000366564,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509455324,192054
193,0.155161,0.00312103,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509456325,193055
194,0.669553,0.976897,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509457329,194059
195,0.673912,1.28023,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509458324,195054
196,0.733486,1.40158,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509459323,196053
197,0.770216,1.99006,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509460323,197053
198,0.301917,0.123586,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509461322,198052
199,0.686604,2.04073,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509462316,199046
200,0.690205,1.47601,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509463319,200049
201,0.241288,0.0653954,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509464322,201052
202,0.762107,2.62623,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509465322,202052
203,0.122425,0.0016674,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509466325,203055
204,0.390534,0.139721,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509467323,204053
205,0.836311,1.96846,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509468320,205050
206,0.149058,0.00917557,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509469324,206054
207,0.778011,1.42746,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509470322,207052
208,0.769054,2.25379,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509471318,208048
209,0.6353,1.25856,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509472317,209047
210,0.911473,2.72961,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509473318,210048
211,0.323096,0.0645565,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509474325,211055
212,0.879105,3.52542,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509475325,212055
213,0.872753,2.05283,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,509476325,213055
214,0.831807,1.75748,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509477328,214058
215,0.710311,1.87371,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509478326,215056
216,0.696645,1.23463,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509479323,216053
217,0.648807,0.646242,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509480323,217053
218,0.00154781,0,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509481323,218053
219,0.359761,0.046823,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509482319,219049
220,0.0713346,0.00102838,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509483319,220049
221,0.282897,0.066779,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509484319,221049
222,0.632887,0.320776,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509485319,222049
223,0.234915,0.0317486,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509486325,223055
224,0.15476,0.0116919,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509487331,224061
225,0.293078,0.0706964,TRUE,TRUE,TRUE,FALSE,CRITICAL STATE,509488328,225058
226,0.476534,0.484758,TRUE,TRUE,TRUE,TRUE,CRITICAL STATE,509489320,226050
