ID,DATA,RISK,TIME_MS
0,30.8956,67.1632,1547509263203
1,29.9468,68.1715,1547509263297
2,27.4211,70.856,1547509264333
3,34.1827,40.9299,1547509265313
4,31.0351,67.0149,1547509266343
5,31.4213,66.6044,1547509267360
6,31.7513,66.2537,1547509268361
7,34.4038,38.4921,1547509269358
8,34.3853,38.6964,1547509270353
9,37.5244,10.6421,1547509271354
10,41.1198,66.4528,1547509272359
11,44.7336,80.1049,1547509273362
12,45.6139,83.4302,1547509274360
13,47.6506,91.1245,1547509275360
14,47.1545,89.2504,1547509276359
15,44.8572,80.5715,1547509277364
16,44.8572,80.5715,1547509278365
17,46.536,86.9138,1547509279352
18,48.3152,93.6353,1547509280348
19,46.6264,87.2552,1547509281353
20,43.9951,77.3147,1547509282356
21,38.762,32.2141,1547509283355
22,33.8092,45.0488,1547509284353
23,30.7522,67.3156,1547509285356
24,30.4515,67.6351,1547509286355
25,29.647,68.4902,1547509287356
26,33.7783,45.3901,1547509288364
27,35.3349,28.2246,1547509289359
28,37.2721,5.57058,1547509290352
29,36.9543,0.817151,1547509291355
30,37.6207,12.5774,1547509292360
31,37.5986,12.1333,1547509293365
32,34.819,33.9138,1547509294365
33,31.5216,66.4978,1547509295362
34,35.1003,30.8113,1547509296359
35,31.2149,66.8238,1547509297358
36,31.2149,66.8238,1547509298361
37,32.76,56.6188,1547509299368
38,34.2732,39.9324,1547509300366
39,38.9297,34.6812,1547509301359
40,37.4171,8.48403,1547509302361
41,37.4171,8.48403,1547509303363
42,45.0245,81.2036,1547509304361
43,47.6578,91.1518,1547509305360
44,50.6988,-1,1547509306361
45,49.2944,97.3345,1547509307366
46,51.1333,-1,1547509308361
47,48.0265,92.5446,1547509309355
48,45.3675,82.4994,1547509310356
49,43.0996,73.9317,1547509311360
50,39.7364,46.5526,1547509312360
51,36.6736,6.46077,1547509313356
52,38.4654,27.8494,1547509314349
53,38.537,28.9023,1547509315355
54,37.5457,11.0696,1547509316360
55,39.1518,37.9497,1547509317358
56,39.6617,45.453,1547509318359
57,42.0633,70.0168,1547509319357
58,40.1271,52.3012,1547509320362
59,41.4225,67.5961,1547509321366
60,41.4867,67.8386,1547509322362
61,37.3014,6.15943,1547509323358
62,34.5428,36.9586,1547509324354
63,33.2316,51.4188,1547509325353
64,36.3579,12.8052,1547509326360
65,35.1348,30.4313,1547509327360
66,39.109,37.3192,1547509328357
67,36.2592,14.7902,1547509329363
68,36.2592,14.7902,1547509330368
69,42.3279,71.0167,1547509331362
70,37.6851,13.8722,1547509332357
71,39.8445,48.1434,1547509333357
72,38.7931,32.6713,1547509334356
73,41.0077,66.0293,1547509335363
74,37.3226,6.58428,1547509336373
75,42.1188,70.2267,1547509337365
76,34.0143,42.7873,1547509338361
77,34.0143,42.7873,1547509339359
78,37.3835,7.80923,1547509340356
79,39.4459,42.2773,1547509341355
80,43.3974,75.0569,1547509342357
81,43.7778,76.4939,1547509343363
82,43.8261,76.6764,1547509344359
83,43.8261,76.6764,1547509345354
84,43.8261,76.6764,1547509346356
85,42.8595,73.0247,1547509347360
86,43.4481,75.2484,1547509348358
87,39.0197,36.0056,1547509349353
88,34.2399,40.2994,1547509350356
89,37.2195,4.51281,1547509351358
90,39.0135,35.9149,1547509352353
91,39.0135,35.9149,1547509353352
92,37.4705,9.55819,1547509354361
93,36.9857,0.185968,1547509355368
94,39.9038,49.0158,1547509356367
95,43.8526,76.7764,1547509357367
96,40.2267,53.767,1547509358358
97,40.0516,51.1907,1547509359358
98,40.1477,52.6046,1547509360368
99,37.7626,15.4294,1547509361362
100,36.4034,11.8916,1547509362356
101,29.529,68.6156,1547509363355
102,28.2975,69.9245,1547509364359
103,29.7221,68.4104,1547509365363
104,30.8465,67.2153,1547509366365
105,31.8451,66.154,1547509367363
106,31.8451,66.154,1547509368361
107,39.3053,40.209,1547509369362
108,39.6406,45.1429,1547509370358
109,39.3007,40.1401,1547509371354
110,38.1293,22.9032,1547509372354
111,31.5621,66.4548,1547509373361
112,29.7924,68.3357,1547509374361
113,26.4013,71.9398,1547509375353
114,21.1473,77.524,1547509376353
115,20.5233,78.1872,1547509377356
116,26.7846,71.5325,1547509378357
117,28.616,69.586,1547509379358
118,35.3615,27.9314,1547509380361
119,35.3615,27.9314,1547509381367
120,44.3273,78.5696,1547509382368
121,48.3686,93.837,1547509383363
122,48.3686,93.837,1547509384363
123,47.9265,92.1668,1547509385366
124,46.3703,86.2876,1547509386364
125,41.8677,69.2779,1547509387362
126,38.609,29.9613,1547509388361
127,36.2022,15.9362,1547509389362
128,37.924,18.674,1547509390362
129,42.3889,71.2471,1547509391367
130,44.1621,77.9457,1547509392366
131,44.3333,78.5925,1547509393358
132,44.0676,77.5886,1547509394358
133,43.2388,74.4576,1547509395356
134,42.198,70.5259,1547509396354
135,43.7436,76.3648,1547509397354
136,42.1415,70.3124,1547509398350
137,42.8279,72.9055,1547509399352
138,44.2533,78.2903,1547509400353
139,40.6122,59.4401,1547509401356
140,39.967,49.9455,1547509402366
141,41.3197,67.2076,1547509403363
142,43.1238,74.0232,1547509404353
143,40.3768,55.976,1547509405357
144,42.9672,73.4317,1547509406362
145,42.6804,72.3484,1547509407365
146,43.2972,74.6782,1547509408364
147,33.8029,45.1181,1547509409356
148,35.425,27.231,1547509410356
149,33.6235,47.0969,1547509411364
150,32.1752,63.0675,1547509412367
151,31.5016,66.5191,1547509413365
152,41.7253,68.7402,1547509450365
153,40.7254,61.1064,1547509451351
154,41.1431,66.5406,1547509452356
155,41.9527,69.5992,1547509453365
156,41.9527,69.5992,1547509454363
157,42.8671,73.0537,1547509455361
158,39.6652,45.5044,1547509456363
159,40.9425,64.3009,1547509457364
160,41.3828,67.4461,1547509458360
161,40.8311,62.6623,1547509459358
162,38.7001,31.3025,1547509460360
163,38.7672,32.29,1547509461357
164,38.1553,23.2858,1547509462350
165,38.1553,23.2858,1547509463354
166,40.9624,64.5944,1547509464357
167,38.8972,34.2029,1547509465357
168,39.5912,44.416,1547509466362
169,34.8532,33.5358,1547509467357
170,34.8532,33.5358,1547509468355
171,35.3378,28.1917,1547509469360
172,35.0847,30.9828,1547509470356
173,37.783,15.8399,1547509471352
174,37.6302,12.7674,1547509472350
175,37.6302,12.7674,1547509473357
176,41.0258,66.0974,1547509474363
177,41.0258,66.0974,1547509475365
178,39.4269,41.9985,1547509476365
179,38.1151,22.6933,1547509477363
180,36.5107,9.73373,1547509478361
181,36.4417,11.1207,1547509479361
182,39.6313,45.0059,1547509480360
183,39.6313,45.0059,1547509481357
184,44.1504,77.9015,1547509482353
185,43.0975,73.9238,1547509483359
186,46.3666,86.2737,1547509484359
187,47.3288,89.9087,1547509485353
188,43.6632,76.061,1547509486363
189,40.7803,61.9136,1547509487368
190,39.3878,41.4218,1547509488365
191,39.3878,41.4218,1547509489358
192,37.1991,4.10267,1547509490362
193,35.5435,25.9237,1547509491368
194,38.3747,26.5138,1547509492361
195,42.0248,69.8716,1547509493356
196,41.8688,69.2822,1547509494358
197,41.0873,66.3299,1547509495359
198,42.5816,71.9748,1547509496365
199,40.7921,62.0881,1547509497369
200,36.7681,4.56168,1547509498367
201,36.7681,4.56168,1547509499365
202,39.5418,43.6889,1547509500366
203,38.379,26.5776,1547509501364
204,37.4725,9.59844,1547509502364
205,40.3191,55.1268,1547509503358
206,39.6586,45.4077,1547509504355
207,39.7838,47.2501,1547509505363
208,40.5622,58.7045,1547509506366
209,40.8483,62.9143,1547509507357
210,42.0705,70.0442,1547509508351
211,43.1954,74.2939,1547509509352
212,38.1489,23.1918,1547509510355
213,38.1347,22.9826,1547509511355
214,39.1416,37.799,1547509512356
215,39.1416,37.799,1547509513358
216,35.6582,24.6584,1547509514353
217,37.5761,11.6803,1547509515356
218,40.8124,62.3868,1547509516363
219,42.7624,72.658,1547509517362
220,42.7624,72.658,1547509518359
221,42.7624,72.658,1547509519356
222,40.2383,53.9386,1547509520356
223,37.7837,15.8528,1547509521353
224,35.7148,24.0344,1547509522348
225,34.7699,34.4543,1547509523356
226,33.4866,48.6062,1547509524367
227,33.4866,48.6062,1547509525364
228,33.8275,44.8471,1547509526363
